ticker,COST US Equity,COST US Equity,COST US Equity,COST US Equity,COST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-04,54.063,53.938,42.9936,51.975,49.7028,DOWN,0
2000-04-05,53.5,53.938,43.0717,52.575,49.7791,DOWN,0
2000-04-06,51.875,54.5,43.1458,52.9,49.8078,UP,1
2000-04-07,52.813,51.25,43.228,52.95,49.8853,UP,1
2000-04-10,54.25,52.25,43.3159,53.3,50.0503,UP,1
2000-04-11,57.438,53.5,43.4117,53.975,50.2203,DOWN,0
2000-04-12,55.063,57.063,43.4892,54.2875,50.2841,DOWN,0
2000-04-13,54.625,56.25,43.5622,54.8375,50.2978,DOWN,0
2000-04-14,50.875,54.125,43.6125,54.45,50.2316,DOWN,0
2000-04-17,49.125,49.5,43.6536,53.425,50.1541,UP,1
2000-04-18,50.938,49.25,43.7048,52.125,50.1478,UP,1
2000-04-19,52.25,51.125,43.76,51.5625,50.1316,UP,1
2000-04-20,54.813,52.125,43.8177,51.6,50.1703,UP,1
2000-04-24,56.0,53.25,43.8828,52.625,50.2478,UP,1
2000-04-25,57.0,56.625,43.9564,54.2,50.3541,DOWN,0
2000-04-26,54.938,56.594,44.0214,55.0,50.4378,UP,1
2000-04-27,56.063,53.0,44.0916,55.7625,50.5716,DOWN,0
2000-04-28,54.063,55.75,44.1519,55.6125,50.6978,UP,1
2000-05-01,58.438,54.063,44.23,56.1,50.9866,DOWN,0
2000-05-02,54.75,56.75,44.2891,55.65,51.1828,DOWN,0
2000-05-03,52.188,52.063,44.3445,55.1,51.3466,DOWN,0
2000-05-04,48.938,51.563,44.3892,53.675,51.4341,DOWN,0
2000-05-05,48.813,47.813,44.4384,52.625,51.5228,DOWN,0
2000-05-08,47.438,48.625,44.483,50.425,51.5191,UP,1
2000-05-09,49.188,48.063,44.5364,49.3125,51.5241,DOWN,0
2000-05-10,48.938,49.0,44.5884,48.6625,51.5103,UP,1
2000-05-11,49.813,49.5,44.6453,48.8375,51.5766,DOWN,0
2000-05-12,47.813,49.5,44.6983,48.6375,51.5403,UP,1
2000-05-15,48.938,47.875,44.7561,48.9375,51.5203,UP,1
2000-05-16,51.313,49.688,44.8284,49.3625,51.5441,DOWN,0
2000-05-17,47.734,50.313,44.883,49.1219,51.5913,DOWN,0
2000-05-18,46.75,47.75,44.9341,48.5094,51.6138,DOWN,0
2000-05-19,45.0,45.828,44.9747,47.9469,51.6225,DOWN,0
2000-05-22,43.125,45.25,45.0109,46.7844,51.6025,DOWN,0
2000-05-23,40.625,42.938,45.0348,44.6469,51.555,DOWN,0
2000-05-24,31.875,29.0,45.0139,41.475,51.3263,DOWN,0
2000-05-25,30.0,32.0,44.9758,38.125,50.93,UP,1
2000-05-26,30.875,30.625,44.9427,35.3,50.4284,UP,1
2000-05-30,32.5,31.75,44.9181,33.175,49.9997,DOWN,0
2000-05-31,31.938,32.5,44.8886,31.4375,49.5922,UP,1
2000-06-01,32.375,32.688,44.853,31.5375,49.1959,UP,1
2000-06-02,34.25,32.938,44.8275,32.3875,48.8234,DOWN,0
2000-06-05,33.25,34.25,44.8017,32.8625,48.4159,DOWN,0
2000-06-06,31.75,33.0,44.7642,32.7125,47.9734,UP,1
2000-06-07,32.75,32.063,44.7278,32.875,47.5597,DOWN,0
2000-06-08,32.063,32.813,44.6845,32.8125,47.1784,UP,1
2000-06-09,32.313,32.375,44.6498,32.425,46.8147,DOWN,0
2000-06-12,31.438,32.25,44.6108,32.0625,46.4384,UP,1
2000-06-13,32.125,31.438,44.5788,32.1375,46.0297,UP,1
2000-06-14,32.563,32.5,44.5514,32.1,45.6309,UP,1
2000-06-15,33.188,32.875,44.5305,32.325,45.2134,DOWN,0
2000-06-16,32.5,33.375,44.5084,32.3625,44.7934,DOWN,0
2000-06-19,32.0,32.25,44.4881,32.475,44.3959,DOWN,0
2000-06-20,31.625,32.563,44.4611,32.375,43.9722,UP,1
2000-06-21,32.375,31.625,44.4414,32.3375,43.5347,DOWN,0
2000-06-22,32.0,32.438,44.4216,32.1,43.0259,DOWN,0
2000-06-23,32.0,32.063,44.4027,32.0,42.5647,DOWN,0
2000-06-26,31.875,32.188,44.3873,31.975,42.1097,UP,1
2000-06-27,33.0,31.875,44.3803,32.25,41.7522,DOWN,0
2000-06-28,32.313,33.0,44.373,32.2375,41.4159,DOWN,0
2000-06-29,32.063,32.188,44.3656,32.25,41.0384,UP,1
2000-06-30,33.0,32.125,44.3639,32.45,40.6534,UP,1
2000-07-03,34.188,33.0,44.3661,32.9125,40.2409,DOWN,0
2000-07-05,33.25,34.375,44.367,32.9625,39.7859,DOWN,0
2000-07-06,32.875,33.188,44.3645,33.075,39.3034,UP,1
2000-07-07,34.563,32.875,44.3663,33.575,38.8959,UP,1
2000-07-10,37.063,34.688,44.3758,34.3875,38.5159,DOWN,0
2000-07-11,35.563,37.0,44.3728,34.6625,38.1459,UP,1
2000-07-12,36.563,35.75,44.3745,35.325,37.7084,DOWN,0
2000-07-13,36.5,36.125,44.3759,36.05,37.3434,DOWN,0
2000-07-14,36.0,37.063,44.38,36.3375,37.0197,DOWN,0
2000-07-17,35.5,36.0,44.3775,36.025,36.7509,DOWN,0
2000-07-18,33.875,35.5,44.3644,35.6875,36.4522,DOWN,0
2000-07-19,32.938,34.031,44.3359,34.9625,36.1622,DOWN,0
2000-07-20,32.938,33.063,44.3023,34.25,35.8372,DOWN,0
2000-07-21,32.25,32.75,44.2667,33.5,35.5034,DOWN,0
2000-07-24,31.688,32.313,44.2298,32.7375,35.1409,DOWN,0
2000-07-25,31.688,31.875,44.1818,32.3,34.8184,DOWN,0
2000-07-26,31.313,31.813,44.1285,31.975,34.4659,UP,1
2000-07-27,31.938,31.438,44.0863,31.775,34.0784,UP,1
2000-07-28,32.25,32.313,44.0546,31.775,33.7688,UP,1
2000-07-31,32.563,32.188,44.0201,31.95,33.485,DOWN,0
2000-08-01,32.5,32.25,43.9963,32.1125,33.235,UP,1
2000-08-02,33.563,32.5,43.9793,32.5625,33.0438,UP,1
2000-08-03,34.563,33.313,43.9663,33.0875,32.9225,UP,1
2000-08-04,35.5,34.563,43.9541,33.7375,32.995,UP,1
2000-08-07,36.688,35.25,43.9538,34.5625,33.1287,UP,1
2000-08-08,37.563,36.438,43.9552,35.575,33.2625,DOWN,0
2000-08-09,36.188,37.313,43.9512,36.1,33.3363,DOWN,0
2000-08-10,34.375,36.25,43.943,36.0625,33.385,UP,1
2000-08-11,34.938,34.813,43.9377,35.95,33.4363,UP,1
2000-08-14,35.75,35.0,43.9207,35.7625,33.4663,DOWN,0
2000-08-15,34.75,35.875,43.8937,35.2,33.4963,DOWN,0
2000-08-16,33.063,33.25,43.8626,34.575,33.5225,DOWN,0
2000-08-17,33.0,33.0,43.8262,34.3,33.5275,UP,1
2000-08-18,33.438,32.938,43.7901,34.0,33.555,DOWN,0
2000-08-21,32.75,33.563,43.7504,33.4,33.5638,UP,1
2000-08-22,32.938,32.875,43.7013,33.0375,33.5938,DOWN,0
2000-08-23,32.25,32.688,43.6463,32.875,33.5963,UP,1
2000-08-24,32.375,32.563,43.5951,32.75,33.5925,UP,1
2000-08-25,32.938,32.5,43.5468,32.65,33.5875,UP,1
2000-08-28,33.063,33.0,43.4884,32.7125,33.5988,UP,1
2000-08-29,34.75,32.938,43.4399,33.075,33.6538,UP,1
2000-08-30,35.625,34.563,43.3999,33.75,33.7338,DOWN,0
2000-08-31,34.438,35.188,43.3545,34.1625,33.775,UP,1
2000-09-01,35.313,34.813,43.3159,34.6375,33.8413,UP,1
2000-09-05,36.188,35.375,43.2818,35.2625,33.925,UP,1
2000-09-06,36.563,36.25,43.2512,35.625,34.0188,DOWN,0
2000-09-07,36.5,36.625,43.2266,35.8,34.0888,UP,1
2000-09-08,37.688,36.438,43.2009,36.45,34.1963,DOWN,0
2000-09-11,37.625,37.875,43.1712,36.9125,34.3075,UP,1
2000-09-12,37.641,37.938,43.1381,37.2031,34.4003,UP,1
2000-09-13,38.375,37.625,43.0992,37.5656,34.4841,DOWN,0
2000-09-14,37.188,38.438,43.0559,37.7031,34.5628,DOWN,0
2000-09-15,35.313,38.063,42.9939,37.2281,34.6116,DOWN,0
2000-09-18,34.063,35.313,42.9252,36.5156,34.6016,DOWN,0
2000-09-19,33.438,34.688,42.8456,35.675,34.5291,UP,1
2000-09-20,34.25,33.625,42.7719,34.85,34.5028,UP,1
2000-09-21,35.375,34.25,42.71,34.4875,34.4791,DOWN,0
2000-09-22,34.938,34.813,42.6542,34.4125,34.4478,DOWN,0
2000-09-25,34.875,35.0,42.5988,34.575,34.4253,DOWN,0
2000-09-26,33.813,34.688,42.5384,34.65,34.3916,UP,1
2000-09-27,34.563,34.125,42.4764,34.7125,34.4053,UP,1
2000-09-28,35.875,34.813,42.4272,34.8125,34.4641,DOWN,0
2000-09-29,34.938,35.938,42.3736,34.8125,34.5041,DOWN,0
2000-10-02,32.938,33.563,42.3133,34.425,34.5178,UP,1
2000-10-03,33.828,33.25,42.256,34.4281,34.5606,UP,1
2000-10-04,34.484,34.0,42.2077,34.4125,34.6166,DOWN,0
2000-10-05,33.625,34.469,42.158,33.9625,34.6628,DOWN,0
2000-10-06,33.5,33.906,42.1067,33.675,34.6941,UP,1
2000-10-09,34.188,33.438,42.0548,33.925,34.7328,DOWN,0
2000-10-10,33.0,34.313,41.9961,33.7594,34.7416,DOWN,0
2000-10-11,30.625,32.625,41.9211,32.9875,34.7041,UP,1
2000-10-12,31.25,30.0,41.8502,32.5125,34.6578,UP,1
2000-10-13,32.125,30.625,41.7825,32.2375,34.6091,DOWN,0
2000-10-16,32.0,32.063,41.7144,31.8,34.5391,DOWN,0
2000-10-17,32.0,32.094,41.6519,31.6,34.4453,UP,1
2000-10-18,33.0,31.875,41.6066,32.075,34.3541,UP,1
2000-10-19,34.938,33.125,41.5673,32.8125,34.3291,DOWN,0
2000-10-20,34.313,33.75,41.5207,33.25,34.3278,DOWN,0
2000-10-23,33.563,34.188,41.4559,33.5625,34.3003,UP,1
2000-10-24,33.938,33.75,41.388,33.95,34.2641,DOWN,0
2000-10-25,33.0,34.0,41.324,33.95,34.2291,DOWN,0
2000-10-26,33.0,33.031,41.2602,33.5625,34.2278,UP,1
2000-10-27,33.688,33.063,41.1913,33.4375,34.2416,UP,1
2000-10-30,34.563,33.719,41.1188,33.6375,34.2641,UP,1
2000-10-31,36.625,35.0,41.0457,34.175,34.3416,DOWN,0
2000-11-01,35.75,36.688,40.9651,34.725,34.3978,UP,1
2000-11-02,36.188,33.875,40.896,35.3625,34.4766,DOWN,0
2000-11-03,35.313,35.938,40.8301,35.6875,34.5353,DOWN,0
2000-11-06,34.563,35.5,40.7679,35.6875,34.5678,UP,1
2000-11-07,35.75,33.75,40.6982,35.5125,34.6216,DOWN,0
2000-11-08,35.563,36.906,40.6238,35.475,34.6378,DOWN,0
2000-11-09,34.063,35.5,40.5495,35.05,34.6066,DOWN,0
2000-11-10,33.0,33.938,40.4845,34.5875,34.5778,UP,1
2000-11-13,34.438,32.75,40.412,34.5625,34.5603,UP,1
2000-11-14,36.875,34.625,40.337,34.7875,34.5741,DOWN,0
2000-11-15,36.75,36.656,40.251,35.025,34.5778,DOWN,0
2000-11-16,35.313,36.406,40.1566,35.275,34.5541,UP,1
2000-11-17,36.063,35.313,40.072,35.8875,34.5216,DOWN,0
2000-11-20,34.938,35.938,39.9904,35.9875,34.4678,UP,1
2000-11-21,36.063,35.188,39.9054,35.825,34.4363,DOWN,0
2000-11-22,34.5,35.625,39.8135,35.375,34.3588,UP,1
