ticker,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-03-04,49.56,50.35,49.906,48.7999,55.8455,UP,1
2016-03-07,49.68,49.13,50.016,48.6167,55.82,DOWN,0
2016-03-08,47.31,49.11,49.416,48.3935,55.7832,UP,1
2016-03-09,47.59,47.65,48.828,48.1731,55.7468,DOWN,0
2016-03-10,47.26,47.89,48.28,47.9579,55.7104,UP,1
2016-03-11,48.87,47.79,48.142,47.7447,55.6806,UP,1
2016-03-14,49.69,48.83,48.144,47.5483,55.6553,DOWN,0
2016-03-15,48.41,49.13,48.364,47.3445,55.6246,UP,1
2016-03-16,49.71,48.39,48.788,47.1789,55.5993,UP,1
2016-03-17,51.42,50.54,49.62,47.0531,55.5836,UP,1
2016-03-18,52.45,51.54,50.336,46.9627,55.5691,UP,1
2016-03-21,52.71,52.13,50.94,46.9025,55.5572,DOWN,0
2016-03-22,51.64,51.55,51.586,46.8339,55.5397,DOWN,0
2016-03-23,49.77,51.67,51.598,46.7093,55.5167,UP,1
2016-03-24,51.08,49.71,51.53,46.6139,55.498,UP,1
2016-03-28,51.35,51.11,51.31,46.5947,55.481,DOWN,0
2016-03-29,51.26,51.13,51.02,46.604,55.4626,UP,1
2016-03-30,54.18,52.66,51.528,46.7312,55.4589,UP,1
2016-03-31,55.29,54.29,52.632,46.893,55.4618,DOWN,0
2016-04-01,54.52,54.71,53.32,47.0378,55.4595,UP,1
2016-04-04,54.64,54.58,53.978,47.1726,55.4561,DOWN,0
2016-04-05,53.96,54.03,54.518,47.2922,55.4454,UP,1
2016-04-06,54.99,54.09,54.68,47.4456,55.4405,DOWN,0
2016-04-07,53.79,54.93,54.38,47.5492,55.4256,DOWN,0
2016-04-08,53.64,54.26,54.204,47.7174,55.4114,DOWN,0
2016-04-11,53.53,54.64,53.982,47.9388,55.3959,UP,1
2016-04-12,53.93,53.57,53.976,48.11,55.3826,UP,1
2016-04-13,55.16,54.33,54.01,48.272,55.3754,DOWN,0
2016-04-14,54.52,55.0,54.156,48.502,55.371,DOWN,0
2016-04-15,53.08,54.66,54.044,48.7244,55.3562,DOWN,0
2016-04-18,52.14,53.06,53.766,48.9172,55.3359,DOWN,0
2016-04-19,51.5,52.47,53.28,49.158,55.316,DOWN,0
2016-04-20,50.9,51.43,52.428,49.412,55.2938,DOWN,0
2016-04-21,49.97,50.69,51.518,49.6278,55.2609,DOWN,0
2016-04-22,48.66,50.02,50.634,49.8262,55.2253,UP,1
2016-04-25,49.31,48.73,50.068,50.0324,55.1944,DOWN,0
2016-04-26,48.85,49.14,49.538,50.2228,55.1504,UP,1
2016-04-27,49.8,48.69,49.318,50.4076,55.1069,DOWN,0
2016-04-28,48.73,49.42,49.07,50.5256,55.0545,UP,1
2016-04-29,48.89,49.5,49.116,50.6664,55.0052,UP,1
2016-05-02,49.83,48.83,49.22,50.8132,54.9584,UP,1
2016-05-03,50.14,49.38,49.478,50.9344,54.9141,DOWN,0
2016-05-04,49.16,49.54,49.35,50.9806,54.8643,DOWN,0
2016-05-05,48.88,49.18,49.38,51.0002,54.8122,UP,1
2016-05-06,48.89,48.55,49.38,51.0049,54.7572,UP,1
2016-05-09,49.25,48.88,49.264,50.9972,54.7043,DOWN,0
2016-05-10,46.89,45.27,48.614,50.9524,54.6449,DOWN,0
2016-05-11,46.68,46.81,48.118,50.8798,54.5877,UP,1
2016-05-12,47.19,47.02,47.78,50.813,54.5315,DOWN,0
2016-05-13,46.38,47.05,47.278,50.7406,54.464,UP,1
2016-05-16,47.35,46.33,46.898,50.6964,54.4023,DOWN,0
2016-05-17,47.23,47.11,46.966,50.6474,54.3263,UP,1
2016-05-18,47.58,47.18,47.146,50.6528,54.2542,DOWN,0
2016-05-19,46.39,47.2,46.986,50.6288,54.189,UP,1
2016-05-20,47.21,46.48,47.152,50.6278,54.1192,DOWN,0
2016-05-23,46.74,46.77,47.03,50.5852,54.0522,UP,1
2016-05-24,47.81,46.97,47.146,50.5476,53.9859,DOWN,0
2016-05-25,46.57,47.88,46.944,50.5108,53.9117,DOWN,0
2016-05-26,45.78,46.34,46.822,50.4322,53.8437,UP,1
2016-05-27,47.09,45.8,46.798,50.3456,53.7869,DOWN,0
2016-05-31,46.41,47.04,46.732,50.2248,53.722,UP,1
2016-06-01,46.59,46.18,46.488,50.1024,53.6579,DOWN,0
2016-06-02,46.55,46.26,46.484,50.0006,53.5901,DOWN,0
2016-06-03,45.73,46.27,46.474,49.9198,53.5186,DOWN,0
2016-06-06,45.4,45.5,46.136,49.8062,53.447,UP,1
2016-06-07,45.91,45.76,46.036,49.6974,53.3915,DOWN,0
2016-06-08,45.46,46.18,45.81,49.5814,53.3383,UP,1
2016-06-09,45.61,45.45,45.622,49.41,53.2917,DOWN,0
2016-06-10,44.53,44.91,45.382,49.1948,53.2404,DOWN,0
2016-06-13,43.83,44.35,45.068,48.981,53.1753,DOWN,0
2016-06-14,43.22,43.59,44.53,48.7526,53.1026,UP,1
2016-06-15,43.36,43.33,44.11,48.5406,53.0307,DOWN,0
2016-06-16,43.3,43.04,43.648,48.3068,52.9592,UP,1
2016-06-17,43.38,43.51,43.418,48.0986,52.8963,UP,1
2016-06-20,44.22,44.01,43.496,47.9102,52.8304,UP,1
2016-06-21,44.46,44.23,43.744,47.7288,52.7647,DOWN,0
2016-06-22,44.24,44.29,43.92,47.535,52.7,DOWN,0
2016-06-23,44.23,44.88,44.106,47.3164,52.6269,DOWN,0
2016-06-24,40.38,41.7,43.506,47.0336,52.5301,DOWN,0
2016-06-27,38.21,39.54,42.304,46.7362,52.4223,UP,1
2016-06-28,38.44,39.41,41.1,46.4622,52.3098,UP,1
2016-06-29,39.28,38.76,40.108,46.2178,52.1992,UP,1
2016-06-30,39.84,39.5,39.23,45.9966,52.0894,UP,1
2016-07-01,41.06,40.0,39.366,45.8184,51.9832,DOWN,0
2016-07-05,40.51,40.75,39.826,45.6554,51.8752,DOWN,0
2016-07-06,40.3,40.3,40.198,45.4752,51.7699,UP,1
2016-07-07,40.59,40.26,40.46,45.31,51.6613,UP,1
2016-07-08,42.06,40.93,40.904,45.1552,51.5705,UP,1
2016-07-11,43.16,42.37,41.324,45.0438,51.4753,UP,1
2016-07-12,44.55,43.54,42.132,44.957,51.3908,DOWN,0
2016-07-13,43.98,44.59,42.868,44.84,51.3073,DOWN,0
2016-07-14,42.77,44.37,43.304,44.6926,51.2337,DOWN,0
2016-07-15,41.19,42.52,43.13,44.5332,51.1592,DOWN,0
2016-07-18,41.16,41.37,42.73,44.3788,51.0785,DOWN,0
2016-07-19,40.14,41.13,41.848,44.2038,50.9925,UP,1
2016-07-20,41.19,40.1,41.29,44.0426,50.9062,DOWN,0
2016-07-21,41.12,41.24,40.96,43.9272,50.8169,DOWN,0
2016-07-22,41.11,41.26,40.944,43.8158,50.7382,UP,1
2016-07-25,41.69,41.23,41.05,43.7058,50.6611,UP,1
2016-07-26,41.87,41.9,41.396,43.6156,50.5849,UP,1
2016-07-27,42.13,41.93,41.584,43.5112,50.5058,UP,1
2016-07-28,42.96,42.25,41.952,43.4258,50.4217,DOWN,0
2016-07-29,42.6,43.0,42.25,43.3262,50.3379,DOWN,0
2016-08-01,42.46,42.5,42.404,43.2476,50.2661,DOWN,0
2016-08-02,39.76,41.99,41.982,43.0986,50.1627,UP,1
2016-08-03,40.45,39.75,41.646,42.9728,50.0649,UP,1
2016-08-04,41.66,40.28,41.386,42.8498,49.9682,UP,1
2016-08-05,43.1,41.95,41.486,42.7804,49.8795,DOWN,0
2016-08-08,42.96,42.98,41.586,42.724,49.7933,DOWN,0
2016-08-09,37.91,39.55,41.216,42.5404,49.6784,DOWN,0
2016-08-10,37.3,38.07,40.586,42.3582,49.5537,UP,1
2016-08-11,38.78,37.68,40.01,42.202,49.4314,DOWN,0
2016-08-12,38.44,38.53,39.078,42.0398,49.3055,DOWN,0
2016-08-15,38.37,38.46,38.16,41.8926,49.185,DOWN,0
2016-08-16,37.63,38.15,38.104,41.7372,49.0563,UP,1
2016-08-17,38.66,37.8,38.376,41.5922,48.9315,UP,1
2016-08-18,38.7,38.54,38.36,41.457,48.8062,DOWN,0
2016-08-19,38.21,38.26,38.314,41.309,48.6945,DOWN,0
2016-08-22,37.68,38.19,38.176,41.172,48.5882,DOWN,0
2016-08-23,37.68,37.7,38.186,41.049,48.478,DOWN,0
2016-08-24,36.86,37.79,37.826,40.9218,48.3595,DOWN,0
2016-08-25,36.18,36.68,37.322,40.7782,48.2467,DOWN,0
2016-08-26,35.8,36.15,36.84,40.6282,48.1332,DOWN,0
2016-08-29,35.52,36.04,36.408,40.471,48.0196,UP,1
2016-08-30,35.85,35.63,36.042,40.3036,47.9134,UP,1
2016-08-31,35.89,35.93,35.848,40.1322,47.8168,UP,1
2016-09-01,37.05,37.47,36.022,39.9884,47.7304,DOWN,0
2016-09-02,35.61,36.27,35.984,39.816,47.6342,DOWN,0
2016-09-06,35.31,35.73,35.942,39.7146,47.5321,DOWN,0
2016-09-07,34.97,35.27,35.766,39.6498,47.4226,DOWN,0
2016-09-08,34.4,35.0,35.468,39.569,47.309,UP,1
2016-09-09,34.5,34.4,34.958,39.4734,47.19,UP,1
2016-09-12,35.25,34.42,34.886,39.3816,47.0801,UP,1
