ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-03-26,93.26,92.98,84.4824,93.392,92.7116,DOWN,0
2013-03-27,93.16,92.58,84.5564,93.068,92.7688,UP,1
2013-03-28,93.91,93.31,84.6321,93.228,92.829,DOWN,0
2013-04-01,93.7,93.85,84.7093,93.316,92.8918,UP,1
2013-04-02,95.5,94.02,84.7899,93.906,92.9904,DOWN,0
2013-04-03,94.29,95.5,84.8638,94.112,93.0384,UP,1
2013-04-04,94.57,94.37,84.9351,94.394,93.1044,DOWN,0
2013-04-05,92.39,93.21,84.9942,94.09,93.1348,UP,1
2013-04-08,93.03,92.31,85.053,93.956,93.1764,UP,1
2013-04-09,93.15,93.44,85.1068,93.486,93.1872,UP,1
2013-04-10,95.12,93.6,85.1707,93.652,93.2346,UP,1
2013-04-11,95.46,95.29,85.2478,93.83,93.291,DOWN,0
2013-04-12,94.33,94.65,85.314,94.218,93.3348,DOWN,0
2013-04-15,91.31,93.97,85.3729,93.874,93.3296,UP,1
2013-04-16,91.69,91.97,85.4422,93.582,93.3016,DOWN,0
2013-04-17,89.85,91.11,85.5008,92.528,93.2822,DOWN,0
2013-04-18,88.24,89.53,85.5575,91.084,93.2152,UP,1
2013-04-19,88.45,88.44,85.6024,89.908,93.14,UP,1
2013-04-22,89.23,88.68,85.6561,89.492,93.0966,UP,1
2013-04-23,92.1,89.45,85.7194,89.574,93.088,UP,1
2013-04-24,92.48,92.1,85.7827,90.1,93.0882,UP,1
2013-04-25,92.88,92.77,85.8606,91.028,93.106,DOWN,0
2013-04-26,92.3,92.43,85.9423,91.798,93.0876,UP,1
2013-04-29,92.45,92.42,86.0312,92.442,93.0672,DOWN,0
2013-04-30,92.4,92.15,86.1167,92.502,93.063,DOWN,0
2013-05-01,92.38,92.29,86.2016,92.482,93.0434,UP,1
2013-05-02,92.63,92.8,86.2816,92.432,93.0494,UP,1
2013-05-03,93.0,93.63,86.3656,92.572,93.0736,UP,1
2013-05-06,93.53,92.9,86.4477,92.788,93.0912,UP,1
2013-05-07,94.47,93.52,86.5269,93.202,93.1722,UP,1
2013-05-08,95.8,94.35,86.6133,93.886,93.2584,UP,1
2013-05-09,96.42,95.59,86.713,94.644,93.3272,UP,1
2013-05-10,96.91,96.5,86.8196,95.426,93.411,DOWN,0
2013-05-13,96.5,96.52,86.9237,96.02,93.4656,UP,1
2013-05-14,97.75,96.5,87.0369,96.676,93.5458,UP,1
2013-05-15,98.49,97.53,87.1439,97.214,93.6164,DOWN,0
2013-05-16,97.07,98.09,87.2339,97.344,93.6654,UP,1
2013-05-17,98.0,97.5,87.3334,97.562,93.7402,DOWN,0
2013-05-20,97.53,97.71,87.4336,97.768,93.8012,UP,1
2013-05-21,98.08,97.75,87.5374,97.834,93.8686,DOWN,0
2013-05-22,96.7,98.16,87.6439,97.476,93.9178,UP,1
2013-05-23,97.17,95.89,87.7442,97.496,93.9764,UP,1
2013-05-24,97.79,97.08,87.8482,97.454,94.039,UP,1
2013-05-28,99.27,98.66,87.9511,97.802,94.128,DOWN,0
2013-05-29,97.57,98.56,88.0426,97.7,94.2,UP,1
2013-05-30,97.72,97.8,88.1384,97.904,94.2746,DOWN,0
2013-05-31,96.71,97.23,88.2287,97.812,94.3132,UP,1
2013-06-03,97.01,97.09,88.3237,97.656,94.3912,DOWN,0
2013-06-04,96.59,97.0,88.42,97.12,94.4578,DOWN,0
2013-06-05,96.22,96.36,88.5094,96.85,94.5312,UP,1
2013-06-06,97.33,96.19,88.6152,96.772,94.6126,UP,1
2013-06-07,98.38,97.97,88.7308,97.106,94.717,DOWN,0
2013-06-10,98.33,98.59,88.8437,97.37,94.8054,DOWN,0
