ticker,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-25,5.0625,5.0938,5.782,5.15,5.1994,UP,1
2000-09-26,5.125,5.0625,5.7645,5.1313,5.1975,DOWN,0
2000-09-27,5.0625,5.0625,5.7462,5.1,5.1919,DOWN,0
2000-09-28,5.0273,5.0938,5.7296,5.0742,5.1874,DOWN,0
2000-09-29,5.0273,5.0,5.7135,5.0609,5.1886,DOWN,0
2000-10-02,4.5625,4.9375,5.6948,4.9609,5.1786,UP,1
2000-10-03,4.6563,4.5938,5.6721,4.8672,5.1761,DOWN,0
2000-10-04,4.5938,4.6563,5.6521,4.7734,5.1717,DOWN,0
2000-10-05,4.5625,4.625,5.6318,4.6805,5.1661,DOWN,0
2000-10-06,4.4688,4.625,5.6126,4.5688,5.158,UP,1
2000-10-09,4.5,4.4063,5.5932,4.5563,5.1517,DOWN,0
2000-10-10,4.25,4.5,5.5723,4.475,5.1361,DOWN,0
2000-10-11,4.25,4.25,5.5515,4.4063,5.1223,DOWN,0
2000-10-12,4.2188,4.25,5.5309,4.3375,5.1067,DOWN,0
2000-10-13,4.1875,4.2188,5.5101,4.2813,5.0892,UP,1
2000-10-16,4.4063,4.25,5.4878,4.2625,5.0755,DOWN,0
2000-10-17,4.1875,4.4688,5.4657,4.25,5.0561,DOWN,0
2000-10-18,4.1563,4.125,5.4442,4.2313,5.033,UP,1
2000-10-19,4.6875,4.1563,5.4254,4.325,5.018,UP,1
2000-10-20,5.0625,4.625,5.4103,4.5,5.0105,DOWN,0
2000-10-23,5.0,5.0,5.3963,4.6188,5.0017,DOWN,0
2000-10-24,4.9063,4.9375,5.3815,4.7625,4.993,DOWN,0
2000-10-25,4.875,4.875,5.3676,4.9063,4.9842,DOWN,0
2000-10-26,4.8125,4.8438,5.3554,4.9313,4.9717,UP,1
2000-10-27,4.875,4.7188,5.3432,4.8938,4.9617,DOWN,0
2000-10-30,4.8438,4.8125,5.3329,4.8625,4.953,UP,1
2000-10-31,5.0625,4.8438,5.3238,4.8938,4.9442,DOWN,0
2000-11-01,4.8438,5.0,5.3131,4.8875,4.933,DOWN,0
2000-11-02,4.7813,4.8438,5.302,4.8813,4.9236,UP,1
2000-11-03,4.9063,4.7188,5.292,4.8875,4.9161,UP,1
2000-11-06,4.9375,4.9063,5.2828,4.9063,4.9105,UP,1
2000-11-07,5.0,4.9375,5.2767,4.8938,4.9042,DOWN,0
2000-11-08,4.9063,5.0,5.2718,4.9063,4.8967,UP,1
2000-11-09,5.0,4.875,5.2679,4.95,4.8911,DOWN,0
2000-11-10,4.9688,5.0,5.2645,4.9625,4.8867,DOWN,0
2000-11-13,4.9063,4.9375,5.2612,4.9563,4.8798,UP,1
2000-11-14,5.0313,5.0625,5.2585,4.9625,4.8748,UP,1
2000-11-15,5.1875,5.0625,5.2559,5.0188,4.8723,DOWN,0
2000-11-16,5.1563,5.1875,5.2529,5.05,4.8686,UP,1
2000-11-17,5.1875,5.2188,5.2499,5.0938,4.8667,DOWN,0
2000-11-20,4.9063,5.125,5.2451,5.0938,4.858,DOWN,0
2000-11-21,4.9063,4.875,5.2406,5.0688,4.8511,UP,1
2000-11-22,4.9688,4.5938,5.2357,5.025,4.8442,UP,1
2000-11-24,5.0938,4.9688,5.2296,5.0125,4.843,DOWN,0
2000-11-27,4.9688,5.0938,5.2223,4.9688,4.8386,DOWN,0
2000-11-28,4.875,4.9375,5.2156,4.9625,4.833,DOWN,0
2000-11-29,4.5625,4.9375,5.2095,4.8938,4.8198,DOWN,0
2000-11-30,4.5,4.6563,5.2035,4.8,4.8055,UP,1
2000-12-01,4.625,4.4063,5.1979,4.7063,4.7948,DOWN,0
2000-12-04,4.5313,4.5938,5.1924,4.6188,4.7836,UP,1
2000-12-05,4.8125,4.7188,5.1885,4.6063,4.7786,DOWN,0
2000-12-06,4.75,4.8438,5.1849,4.6438,4.7711,DOWN,0
2000-12-07,4.5313,4.6875,5.1813,4.65,4.7605,UP,1
2000-12-08,4.625,4.5625,5.1807,4.65,4.7524,DOWN,0
2000-12-11,4.5938,4.5625,5.1804,4.6625,4.7438,DOWN,0
2000-12-12,4.5938,4.625,5.1796,4.6188,4.7444,DOWN,0
2000-12-13,4.5625,4.5938,5.1781,4.5813,4.7425,UP,1
2000-12-14,4.5938,4.5313,5.1767,4.5938,4.7425,DOWN,0
2000-12-15,4.5938,4.5625,5.1756,4.5875,4.7431,UP,1
2000-12-18,4.8125,4.5938,5.1776,4.6313,4.75,DOWN,0
2000-12-19,4.6875,4.75,5.1788,4.65,4.7538,DOWN,0
2000-12-20,4.5625,4.625,5.1795,4.65,4.76,UP,1
2000-12-21,4.9063,4.5625,5.1809,4.7125,4.7731,UP,1
2000-12-22,5.0625,4.9375,5.1834,4.8063,4.79,DOWN,0
2000-12-26,4.75,5.0,5.1838,4.7938,4.8012,UP,1
2000-12-27,5.9375,4.6875,5.1887,5.0438,4.8319,UP,1
2000-12-28,6.375,5.875,5.1932,5.4063,4.8756,DOWN,0
2000-12-29,5.875,6.3125,5.1938,5.6,4.91,DOWN,0
2001-01-02,5.625,5.8125,5.1945,5.7125,4.9288,DOWN,0
2001-01-03,5.625,5.5625,5.1959,5.8875,4.94,UP,1
2001-01-04,5.7188,5.5625,5.1982,5.8438,4.9544,DOWN,0
2001-01-05,5.5938,5.6563,5.1999,5.6875,4.9681,DOWN,0
2001-01-08,5.5938,5.6563,5.2024,5.6313,4.9825,UP,1
2001-01-09,6.375,5.5938,5.2085,5.7813,5.0138,UP,1
2001-01-10,6.4063,6.25,5.2146,5.9375,5.0444,UP,1
2001-01-11,6.5938,6.3438,5.222,6.1125,5.0794,UP,1
2001-01-12,6.625,6.6563,5.2293,6.3188,5.1106,UP,1
2001-01-16,6.7188,6.5938,5.2363,6.5438,5.1481,DOWN,0
2001-01-17,6.5625,6.6875,5.2426,6.5813,5.1838,UP,1
2001-01-18,6.5938,6.5938,5.2474,6.6188,5.2175,UP,1
2001-01-19,6.625,6.625,5.2534,6.625,5.2513,UP,1
2001-01-22,6.7188,6.6875,5.2596,6.6438,5.2856,DOWN,0
2001-01-23,6.6563,6.7188,5.2654,6.6313,5.3206,DOWN,0
2001-01-24,6.6563,6.6563,5.2704,6.65,5.3538,DOWN,0
2001-01-25,6.4688,6.5938,5.2762,6.625,5.3838,UP,1
2001-01-26,6.6875,6.4688,5.2826,6.6375,5.4194,DOWN,0
2001-01-29,6.685,6.745,5.2874,6.6308,5.4525,DOWN,0
2001-01-30,6.495,6.7,5.2922,6.5985,5.4786,UP,1
2001-01-31,6.925,6.525,5.2989,6.6523,5.514,DOWN,0
2001-02-01,6.73,6.875,5.3036,6.7045,5.5448,DOWN,0
2001-02-02,6.715,6.75,5.3066,6.71,5.581,UP,1
2001-02-05,6.75,6.715,5.3103,6.723,5.6179,DOWN,0
2001-02-06,6.7,6.745,5.3171,6.764,5.6525,UP,1
2001-02-07,6.795,6.675,5.3239,6.738,5.6865,UP,1
2001-02-08,6.82,6.795,5.3291,6.756,5.7236,DOWN,0
2001-02-09,6.74,6.82,5.3345,6.761,5.7609,UP,1
2001-02-12,6.745,6.63,5.3409,6.76,5.8045,DOWN,0
2001-02-13,6.615,6.745,5.3457,6.743,5.8468,UP,1
2001-02-14,6.745,6.62,5.3497,6.733,5.8892,UP,1
2001-02-15,6.875,6.795,5.3549,6.744,5.9361,DOWN,0
2001-02-16,6.82,6.895,5.3593,6.76,5.9762,DOWN,0
2001-02-20,6.75,6.815,5.3618,6.761,6.0162,UP,1
2001-02-21,6.82,6.845,5.3645,6.802,6.062,DOWN,0
2001-02-22,6.82,6.85,5.3686,6.817,6.1059,DOWN,0
2001-02-23,6.82,6.775,5.3727,6.806,6.1504,UP,1
2001-02-26,6.945,6.825,5.3773,6.831,6.1975,UP,1
2001-02-27,7.0,6.975,5.382,6.881,6.2462,DOWN,0
2001-02-28,7.0,7.05,5.3879,6.917,6.2943,DOWN,0
2001-03-01,7.0,7.025,5.3929,6.953,6.3425,DOWN,0
2001-03-02,6.95,7.0,5.3978,6.979,6.3852,DOWN,0
2001-03-05,6.65,6.945,5.4036,6.92,6.4244,UP,1
2001-03-06,6.78,6.675,5.4096,6.876,6.4688,UP,1
2001-03-07,6.875,6.825,5.4159,6.851,6.5082,UP,1
2001-03-08,6.885,6.825,5.4227,6.828,6.5446,DOWN,0
2001-03-09,6.8,6.85,5.4293,6.798,6.5856,DOWN,0
2001-03-12,6.225,6.75,5.4326,6.713,6.5914,UP,1
2001-03-13,6.5,6.225,5.4376,6.657,6.5939,DOWN,0
2001-03-14,6.35,6.45,5.4414,6.552,6.6034,UP,1
2001-03-15,6.475,6.4,5.4458,6.47,6.6204,DOWN,0
2001-03-16,6.23,6.625,5.4493,6.356,6.6325,UP,1
2001-03-19,6.42,6.2,5.4532,6.395,6.6465,DOWN,0
2001-03-20,6.245,6.4,5.4559,6.344,6.6595,DOWN,0
2001-03-21,6.0,6.12,5.4577,6.274,6.6677,DOWN,0
2001-03-22,5.995,6.05,5.4595,6.178,6.6601,UP,1
2001-03-23,6.115,5.995,5.4617,6.155,6.6542,UP,1
2001-03-26,6.24,6.065,5.4647,6.119,6.6472,UP,1
2001-03-27,6.31,6.215,5.4674,6.132,6.6409,DOWN,0
2001-03-28,6.265,6.26,5.4699,6.185,6.6318,DOWN,0
2001-03-29,6.14,6.265,5.472,6.214,6.6233,UP,1
2001-03-30,6.35,6.09,5.4763,6.261,6.6185,DOWN,0
2001-04-02,6.325,6.3,5.4807,6.278,6.6125,DOWN,0
2001-04-03,6.0,6.275,5.4834,6.216,6.5981,UP,1
2001-04-04,6.515,6.005,5.4886,6.266,6.5953,UP,1
2001-04-05,6.87,6.515,5.4967,6.412,6.5995,DOWN,0
2001-04-06,6.55,6.87,5.5034,6.452,6.6012,UP,1
2001-04-09,6.6,6.5,5.51,6.507,6.5994,UP,1
2001-04-10,6.655,6.625,5.5186,6.638,6.5988,DOWN,0
2001-04-11,6.6,6.7,5.5272,6.655,6.6009,DOWN,0
