ticker,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-11-15,34.8372,34.8671,29.6703,36.057,36.4437,UP,1
2012-11-16,36.065,34.927,29.7417,35.6617,36.5086,UP,1
2012-11-19,36.7437,36.7138,29.8169,35.7475,36.5631,UP,1
2012-11-20,38.0314,37.0532,29.8905,36.1249,36.6463,UP,1
2012-11-21,38.251,38.0614,29.9686,36.7857,36.7487,UP,1
2012-11-23,38.6104,38.4008,30.048,37.5403,36.8605,DOWN,0
2012-11-26,38.4706,38.261,30.1237,38.0214,36.9408,UP,1
2012-11-27,38.6503,38.5106,30.1985,38.4028,37.0127,DOWN,0
2012-11-28,38.3109,38.3808,30.2735,38.4586,37.0508,DOWN,0
2012-11-29,38.1612,38.4606,30.3447,38.4407,37.0965,DOWN,0
2012-11-30,37.9715,38.1812,30.4158,38.3129,37.1454,DOWN,0
2012-12-03,37.7419,38.241,30.4869,38.1672,37.1764,DOWN,0
2012-12-04,37.712,38.2111,30.5586,37.9795,37.1999,DOWN,0
2012-12-05,36.3544,37.722,30.6238,37.5882,37.1782,DOWN,0
2012-12-06,36.2247,36.065,30.6925,37.2009,37.1648,UP,1
2012-12-07,36.624,36.3744,30.7654,36.9314,37.1734,DOWN,0
2012-12-10,36.5341,36.6339,30.8349,36.6898,37.2125,DOWN,0
2012-12-11,36.3445,36.7038,30.905,36.4163,37.2355,UP,1
2012-12-12,37.8018,36.6539,30.9795,36.7058,37.2973,DOWN,0
2012-12-13,37.133,37.682,31.0528,36.8875,37.3483,UP,1
2012-12-14,37.2428,37.0432,31.1223,37.0113,37.3946,UP,1
2012-12-17,38.7302,37.2828,31.1993,37.4505,37.4223,UP,1
2012-12-18,39.6385,38.8699,31.2829,38.1093,37.4662,DOWN,0
2012-12-19,39.1993,39.5986,31.3648,38.3888,37.4932,UP,1
2012-12-20,39.2193,39.0396,31.4493,38.806,37.5267,DOWN,0
2012-12-21,38.3908,38.6902,31.5234,39.0356,37.5591,DOWN,0
2012-12-24,38.2111,38.3009,31.5912,38.9318,37.589,DOWN,0
