ticker,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2017-07-07,201.0937,201.8627,227.9868,206.5075,215.6863,DOWN,0
2017-07-10,200.2478,200.9399,227.8403,205.0156,215.2187,UP,1
2017-07-11,202.8624,200.1709,227.6996,203.37,214.8173,UP,1
2017-07-12,204.4004,204.0928,227.5723,202.1857,214.4543,UP,1
2017-07-13,206.0153,204.4004,227.4666,202.9239,214.116,DOWN,0
2017-07-14,205.9384,205.6308,227.3474,203.8929,213.7392,UP,1
2017-07-17,206.246,205.7846,227.229,205.0925,213.3731,UP,1
2017-07-18,206.7843,205.7846,227.1275,205.8769,213.0148,UP,1
2017-07-19,207.1688,206.4767,227.0244,206.4306,212.6872,DOWN,0
2017-07-20,205.2463,207.784,226.911,206.2768,212.3427,DOWN,0
2017-07-21,199.2481,195.1724,226.773,204.9387,211.9136,DOWN,0
2017-07-24,195.5569,198.2484,226.6165,202.8009,211.3845,UP,1
2017-07-25,195.6338,196.6335,226.4692,200.5708,210.9492,UP,1
2017-07-26,196.7873,196.7873,226.335,198.4945,210.5509,UP,1
2017-07-27,198.3253,196.7873,226.217,197.1103,210.2048,DOWN,0
2017-07-28,196.3259,198.8636,226.0866,196.5258,209.9157,UP,1
2017-07-31,196.9411,196.4028,225.9601,196.8027,209.6281,DOWN,0
2017-08-01,195.6338,197.0949,225.8321,196.8027,209.2267,UP,1
2017-08-02,196.249,195.6338,225.7025,196.695,208.8176,UP,1
2017-08-03,198.0946,196.7873,225.5837,196.6489,208.43,UP,1
2017-08-04,198.2484,198.0177,225.4607,197.0334,208.1147,DOWN,0
2017-08-07,197.0949,197.9408,225.3288,197.0641,207.8286,DOWN,0
2017-08-08,196.5566,197.0949,225.1938,197.2487,207.5379,UP,1
2017-08-09,197.7101,196.4797,225.0681,197.5409,207.2842,DOWN,0
2017-08-10,194.5572,197.7101,224.9289,196.8334,206.9643,DOWN,0
2017-08-11,193.7882,195.3262,224.7962,195.9414,206.5767,UP,1
2017-08-14,195.0186,194.4034,224.6613,195.5261,206.1891,DOWN,0
2017-08-15,193.3268,193.8651,224.5271,194.8802,205.7523,DOWN,0
2017-08-16,193.0192,193.173,224.3687,193.942,205.3171,DOWN,0
2017-08-17,190.3277,192.7885,224.2014,193.0961,204.8664,DOWN,0
2017-08-18,188.7897,189.4049,224.0349,192.0964,204.3989,DOWN,0
2017-08-21,188.3283,188.3283,223.8811,190.7583,203.8683,UP,1
2017-08-22,189.1742,188.9435,223.7396,189.9278,203.2008,DOWN,0
2017-08-23,187.5593,188.559,223.5839,188.8358,202.5763,DOWN,0
2017-08-24,186.8672,187.8669,223.3913,188.1437,201.9012,UP,1
2017-08-25,188.3283,187.5593,223.2017,188.0515,201.2167,DOWN,0
2017-08-28,188.1745,188.6359,223.0033,188.0207,200.52,DOWN,0
2017-08-29,187.9438,187.0979,222.7738,187.7746,199.8495,DOWN,0
2017-08-30,186.7134,188.3283,222.5265,187.6054,199.2573,UP,1
