ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-06-10,56.73,56.24,55.274,51.414,,DOWN,0
2014-06-11,56.34,56.4,55.912,51.4974,,DOWN,0
2014-06-12,56.12,56.18,56.274,51.5414,,DOWN,0
2014-06-13,56.09,56.26,56.326,51.5698,,UP,1
2014-06-16,57.13,55.93,56.482,51.6134,,UP,1
2014-06-17,57.25,56.88,56.586,51.6838,,UP,1
2014-06-18,57.34,57.23,56.786,51.7982,,DOWN,0
2014-06-19,57.27,57.33,57.016,51.9154,,UP,1
2014-06-20,57.62,57.14,57.322,52.0378,,DOWN,0
2014-06-23,57.56,57.72,57.408,52.1754,,DOWN,0
2014-06-24,56.68,57.3,57.294,52.3088,,UP,1
2014-06-25,56.69,56.62,57.164,52.4472,,DOWN,0
2014-06-26,56.32,56.72,56.974,52.5744,,DOWN,0
2014-06-27,55.58,56.45,56.566,52.6814,,UP,1
2014-06-30,56.68,55.52,56.39,52.812,,UP,1
2014-07-01,57.06,56.77,56.466,52.9406,,UP,1
2014-07-02,57.37,57.0,56.602,53.068,,DOWN,0
2014-07-03,57.16,57.46,56.77,53.2032,,DOWN,0
2014-07-07,56.04,57.04,56.862,53.3192,,DOWN,0
2014-07-08,55.51,56.04,56.628,53.4386,,UP,1
2014-07-09,55.61,55.5,56.338,53.5744,,DOWN,0
2014-07-10,55.6,54.85,55.984,53.7084,,UP,1
2014-07-11,56.03,55.67,55.758,53.842,,DOWN,0
2014-07-14,55.98,56.1,55.746,53.9366,,DOWN,0
2014-07-15,55.61,55.85,55.766,54.0348,,DOWN,0
2014-07-16,55.43,55.79,55.73,54.1422,,DOWN,0
2014-07-17,54.27,55.05,55.464,54.2298,,UP,1
2014-07-18,54.89,54.35,55.236,54.329,,DOWN,0
2014-07-21,54.76,54.79,54.992,54.437,,UP,1
2014-07-22,54.9,55.15,54.85,54.535,,DOWN,0
2014-07-23,54.45,54.92,54.654,54.6144,,UP,1
2014-07-24,54.97,54.42,54.794,54.7042,,UP,1
2014-07-25,55.1,54.63,54.836,54.8104,,DOWN,0
2014-07-28,53.57,55.1,54.598,54.916,,DOWN,0
2014-07-29,52.45,53.52,54.108,54.9794,,UP,1
2014-07-30,53.66,52.55,53.95,55.0484,,DOWN,0
2014-07-31,51.43,50.9,53.242,55.067,,DOWN,0
2014-08-01,50.36,51.43,52.294,55.06,,DOWN,0
2014-08-04,50.12,50.59,51.604,55.0326,,UP,1
2014-08-05,50.4,50.14,51.194,54.9914,,DOWN,0
2014-08-06,50.12,49.3,50.486,54.9444,,DOWN,0
2014-08-07,49.87,50.5,50.174,54.883,,UP,1
2014-08-08,50.61,49.92,50.224,54.8248,,DOWN,0
2014-08-11,50.36,50.76,50.272,54.7842,,UP,1
2014-08-12,50.96,50.29,50.384,54.762,,UP,1
2014-08-13,52.24,51.06,50.808,54.7586,,DOWN,0
2014-08-14,52.02,52.23,51.238,54.736,,UP,1
2014-08-15,52.26,52.33,51.568,54.695,,UP,1
2014-08-18,52.64,52.51,52.024,54.6312,,DOWN,0
2014-08-19,52.61,52.8,52.354,54.5564,,DOWN,0
2014-08-20,52.52,52.63,52.41,54.4722,,DOWN,0
2014-08-21,52.14,52.63,52.434,54.3882,,DOWN,0
2014-08-22,51.97,52.05,52.376,54.3052,,UP,1
2014-08-25,52.47,52.22,52.342,54.2328,,DOWN,0
2014-08-26,52.38,52.47,52.296,54.1378,,DOWN,0
2014-08-27,52.01,52.26,52.194,54.033,,DOWN,0
2014-08-28,51.55,51.73,52.076,53.9172,,DOWN,0
2014-08-29,51.43,51.55,51.968,53.8004,,UP,1
2014-09-02,52.27,51.53,51.928,53.6934,,DOWN,0
2014-09-03,52.19,52.64,51.89,53.586,,UP,1
2014-09-04,52.33,52.28,51.954,53.499,50.6861,UP,1
2014-09-05,52.48,52.47,52.14,53.4148,50.7062,DOWN,0
2014-09-08,52.22,52.31,52.298,53.3328,50.7383,DOWN,0
2014-09-09,51.74,52.16,52.192,53.256,50.7737,UP,1
2014-09-10,51.95,51.63,52.144,53.1614,50.8145,UP,1
2014-09-11,52.06,51.79,52.09,53.0614,50.8549,DOWN,0
