ticker,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2008-06-26,10.49,11.22,11.528,13.7262,,UP,1
2008-06-27,11.27,10.45,11.25,13.6716,,DOWN,0
2008-06-30,11.24,11.24,11.182,13.6144,,UP,1
2008-07-01,11.3,11.1,11.118,13.5596,,DOWN,0
2008-07-02,10.79,11.28,11.018,13.51,,DOWN,0
2008-07-03,10.08,10.81,10.936,13.4458,,DOWN,0
2008-07-07,9.62,10.16,10.606,13.3702,,UP,1
2008-07-08,10.05,9.6,10.368,13.2936,,DOWN,0
2008-07-09,9.75,10.07,10.058,13.2124,,DOWN,0
2008-07-10,9.75,9.75,9.85,13.124,,DOWN,0
2008-07-11,9.44,9.64,9.722,13.0298,,UP,1
2008-07-14,9.57,9.73,9.712,12.922,,UP,1
2008-07-15,9.59,9.45,9.62,12.8168,,UP,1
2008-07-16,10.0,9.65,9.67,12.7258,,UP,1
2008-07-17,10.35,10.02,9.79,12.6454,,DOWN,0
2008-07-18,9.89,10.36,9.88,12.5532,,UP,1
2008-07-21,10.36,10.09,10.038,12.4734,,UP,1
2008-07-22,10.73,10.29,10.266,12.4038,,UP,1
2008-07-23,11.49,10.86,10.564,12.3482,,DOWN,0
2008-07-24,11.46,11.57,10.786,12.2854,,DOWN,0
2008-07-25,11.39,11.54,11.086,12.2194,,DOWN,0
2008-07-28,10.6,11.33,11.134,12.133,,UP,1
2008-07-29,11.04,10.66,11.196,12.0614,,DOWN,0
2008-07-30,10.93,11.11,11.084,11.9968,,DOWN,0
2008-07-31,9.43,10.51,10.678,11.907,,UP,1
2008-08-01,9.45,9.46,10.29,11.8092,,DOWN,0
2008-08-04,9.38,9.48,10.046,11.711,,UP,1
2008-08-05,9.5,9.55,9.738,11.6258,,UP,1
2008-08-06,9.87,9.5,9.526,11.5358,,UP,1
2008-08-07,10.22,9.8,9.684,11.4404,,UP,1
2008-08-08,11.11,10.27,10.016,11.3646,16.1323,UP,1
2008-08-11,11.58,10.98,10.456,11.311,16.1002,UP,1
2008-08-12,11.76,11.51,10.908,11.2604,16.0099,UP,1
2008-08-13,11.91,11.69,11.316,11.219,15.9095,UP,1
2008-08-14,11.98,11.85,11.668,11.192,15.7959,UP,1
2008-08-15,12.17,12.08,11.88,11.1492,15.6796,UP,1
2008-08-18,12.23,12.2,12.01,11.117,15.5697,DOWN,0
2008-08-19,11.88,12.12,12.034,11.0876,15.4655,UP,1
2008-08-20,12.01,11.96,12.054,11.0474,15.3634,DOWN,0
2008-08-21,11.6,11.86,11.978,11.0178,15.2639,UP,1
2008-08-22,12.03,11.68,11.95,11.0068,15.1669,DOWN,0
2008-08-25,11.44,12.01,11.792,10.9766,15.0774,UP,1
2008-08-26,11.95,11.43,11.806,10.9466,14.9871,DOWN,0
2008-08-27,11.2,11.93,11.644,10.9096,14.8936,UP,1
2008-08-28,11.45,11.23,11.614,10.8942,14.8057,DOWN,0
2008-08-29,10.88,11.42,11.384,10.8672,14.7144,UP,1
2008-09-02,11.46,11.12,11.388,10.8432,14.622,DOWN,0
2008-09-03,11.38,11.46,11.274,10.8392,14.5279,DOWN,0
2008-09-04,11.06,11.08,11.246,10.828,14.4297,UP,1
2008-09-05,12.63,11.6,11.482,10.8548,14.3469,UP,1
2008-09-08,13.76,12.76,12.058,10.9202,14.2807,DOWN,0
2008-09-09,13.44,13.27,12.454,10.9636,14.2262,UP,1
2008-09-10,13.7,13.62,12.918,11.0128,14.1738,UP,1
2008-09-11,13.92,13.48,13.49,11.0652,14.1224,UP,1
2008-09-12,14.0,13.79,13.764,11.1294,14.0731,DOWN,0
2008-09-15,13.73,13.7,13.758,11.2024,14.0175,UP,1
2008-09-16,13.93,13.39,13.856,11.2886,13.9632,DOWN,0
2008-09-17,13.86,13.76,13.888,11.3648,13.9038,UP,1
2008-09-18,13.95,14.0,13.894,11.4488,13.842,UP,1
2008-09-19,14.7,14.62,14.034,11.5478,13.7863,DOWN,0
2008-09-22,12.84,14.58,13.856,11.6158,13.7178,DOWN,0
2008-09-23,12.69,12.83,13.608,11.6782,13.6438,DOWN,0
2008-09-24,12.17,12.31,13.27,11.7298,13.5647,UP,1
2008-09-25,12.58,12.21,12.996,11.7814,13.4901,UP,1
2008-09-26,13.09,12.19,12.674,11.8362,13.4511,DOWN,0
2008-09-29,13.08,13.15,12.722,11.9,13.4187,UP,1
2008-09-30,13.28,13.21,12.84,11.9584,13.3923,DOWN,0
2008-10-01,13.16,13.13,13.038,12.007,13.3653,DOWN,0
2008-10-02,12.62,13.12,13.046,12.0296,13.3391,DOWN,0
2008-10-03,12.16,12.94,12.86,12.0436,13.3114,DOWN,0
2008-10-06,11.79,11.93,12.602,12.0516,13.2816,DOWN,0
2008-10-07,10.9,12.0,12.126,12.0576,13.2524,UP,1
2008-10-08,11.1,10.74,11.714,12.0588,13.225,DOWN,0
2008-10-09,10.34,11.34,11.258,12.047,13.1927,UP,1
2008-10-10,11.89,9.97,11.204,12.0962,13.1654,DOWN,0
2008-10-13,11.45,12.55,11.136,12.1362,13.1363,UP,1
2008-10-14,11.53,11.64,11.262,12.1792,13.1084,DOWN,0
2008-10-15,10.31,11.49,11.104,12.1954,13.0742,UP,1
2008-10-16,10.45,10.46,11.126,12.207,13.0437,UP,1
2008-10-17,10.57,10.29,10.862,12.214,13.0191,UP,1
2008-10-20,10.6,10.69,10.692,12.2038,12.9996,DOWN,0
2008-10-21,10.23,10.44,10.432,12.1768,12.9882,DOWN,0
2008-10-22,9.38,9.97,10.246,12.1292,12.9673,DOWN,0
2008-10-23,9.32,9.41,10.02,12.0774,12.9414,DOWN,0
2008-10-24,8.97,8.57,9.7,12.0172,12.9059,DOWN,0
2008-10-27,8.05,8.77,9.19,11.9348,12.8672,UP,1
2008-10-28,9.15,8.19,8.974,11.8732,12.8327,UP,1
2008-10-29,9.875,9.15,9.073,11.8331,12.804,DOWN,0
2008-10-30,9.28,10.13,9.065,11.7785,12.7709,DOWN,0
2008-10-31,8.82,9.22,9.035,11.7229,12.7412,UP,1
2008-11-03,9.0,8.81,9.225,11.6623,12.7237,UP,1
2008-11-04,10.04,9.23,9.403,11.6343,12.711,DOWN,0
2008-11-05,8.84,9.93,9.196,11.5721,12.6839,DOWN,0
2008-11-06,8.63,8.85,9.066,11.5207,12.6556,UP,1
2008-11-07,8.74,8.73,9.05,11.4665,12.6233,UP,1
2008-11-10,9.04,9.1,9.058,11.4297,12.591,DOWN,0
2008-11-11,8.5,8.98,8.75,11.3705,12.5518,DOWN,0
2008-11-12,7.98,8.44,8.578,11.3025,12.5139,UP,1
2008-11-13,8.05,8.02,8.462,11.2423,12.478,DOWN,0
2008-11-14,7.6,7.88,8.234,11.1417,12.4422,UP,1
2008-11-17,7.79,7.56,7.984,11.0223,12.411,DOWN,0
2008-11-18,7.57,8.0,7.798,10.9049,12.3789,DOWN,0
2008-11-19,7.53,7.6,7.708,10.7815,12.3455,DOWN,0
2008-11-20,7.18,7.47,7.534,10.6467,12.3018,UP,1
2008-11-21,7.42,7.22,7.498,10.5151,12.2612,UP,1
2008-11-24,8.74,7.54,7.688,10.4153,12.2294,DOWN,0
2008-11-25,7.03,7.34,7.58,10.2773,12.19,UP,1
2008-11-26,7.07,6.85,7.488,10.1415,12.1507,UP,1
2008-11-28,7.18,7.06,7.488,10.0061,12.1127,DOWN,0
2008-12-01,5.76,7.03,7.156,9.8273,12.0675,UP,1
2008-12-02,6.28,5.87,6.664,9.6961,12.025,UP,1
2008-12-03,6.99,6.2,6.656,9.5821,11.9854,UP,1
2008-12-04,7.6,6.96,6.762,9.4907,11.9495,UP,1
2008-12-05,8.47,6.77,7.02,9.4085,11.9218,UP,1
2008-12-08,9.78,8.57,7.824,9.3423,11.9,DOWN,0
2008-12-09,9.67,9.58,8.502,9.2741,11.8725,DOWN,0
2008-12-10,8.49,9.68,8.802,9.1783,11.8408,DOWN,0
2008-12-11,8.34,8.43,8.95,9.0819,11.8094,UP,1
2008-12-12,9.21,8.74,9.098,9.0137,11.7854,DOWN,0
2008-12-15,9.01,9.23,8.944,8.9507,11.7567,UP,1
2008-12-16,9.67,9.17,8.944,8.9083,11.7335,DOWN,0
2008-12-17,9.51,9.51,9.148,8.8805,11.7088,UP,1
2008-12-18,9.88,9.68,9.456,8.8561,11.6867,UP,1
2008-12-19,10.3,9.89,9.674,8.8553,11.6708,DOWN,0
2008-12-22,9.67,10.31,9.806,8.8109,11.6557,DOWN,0
2008-12-23,9.27,9.73,9.726,8.7673,11.638,DOWN,0
2008-12-24,9.13,9.24,9.65,8.7193,11.6225,DOWN,0
2008-12-26,9.06,9.255,9.486,8.6943,11.6154,DOWN,0
2008-12-29,7.7,9.06,8.966,8.6393,11.6004,UP,1
2008-12-30,8.06,7.7,8.644,8.5891,11.5843,UP,1
2008-12-31,8.28,8.17,8.446,8.5427,11.5667,UP,1
2009-01-02,8.3,8.31,8.28,8.5041,11.5507,UP,1
2009-01-05,8.75,8.32,8.218,8.4915,11.5305,UP,1
2009-01-06,8.99,8.87,8.476,8.4849,11.5055,DOWN,0
2009-01-07,8.78,8.89,8.62,8.4811,11.4743,DOWN,0
2009-01-08,6.97,7.1,8.358,8.4595,11.4359,DOWN,0
2009-01-09,6.91,7.12,8.08,8.4147,11.3981,DOWN,0
2009-01-12,6.78,6.88,7.686,8.3528,11.3619,UP,1
2009-01-13,6.8,6.74,7.248,8.3032,11.3257,DOWN,0
2009-01-14,6.47,6.69,6.786,8.2562,11.2865,DOWN,0
2009-01-15,6.11,6.45,6.614,8.1984,11.2471,DOWN,0
2009-01-16,6.05,6.22,6.442,8.1186,11.207,DOWN,0
2009-01-20,5.94,6.11,6.274,8.0606,11.1676,UP,1
2009-01-21,6.5,6.04,6.214,8.018,11.1325,UP,1
2009-01-22,6.54,6.4,6.228,7.974,11.0943,DOWN,0
2009-01-23,6.5,6.48,6.306,7.9232,11.0582,UP,1
2009-01-26,6.51,6.49,6.398,7.8834,11.0162,UP,1
2009-01-27,6.59,6.51,6.528,7.8556,10.9776,UP,1
2009-01-28,6.89,6.65,6.606,7.8324,10.94,DOWN,0
2009-01-29,6.43,6.84,6.584,7.809,10.9011,DOWN,0
2009-01-30,5.83,6.5,6.45,7.7698,10.8596,UP,1
2009-02-02,6.15,5.75,6.378,7.7414,10.8204,DOWN,0
2009-02-03,6.1,6.18,6.28,7.7128,10.7804,DOWN,0
2009-02-04,5.92,6.07,6.086,7.6876,10.7398,UP,1
2009-02-05,6.17,5.88,6.034,7.6626,10.7043,UP,1
2009-02-06,6.75,6.18,6.218,7.6228,10.6716,DOWN,0
2009-02-09,6.69,6.7,6.326,7.616,10.638,DOWN,0
2009-02-10,6.51,6.67,6.408,7.6048,10.6012,DOWN,0
2009-02-11,6.18,6.48,6.46,7.5848,10.563,UP,1
2009-02-12,6.2,6.31,6.466,7.5936,10.5232,UP,1
2009-02-13,6.3,6.19,6.376,7.594,10.4839,DOWN,0
2009-02-17,5.96,6.09,6.23,7.5734,10.4389,UP,1
2009-02-18,6.34,6.02,6.196,7.5482,10.3964,DOWN,0
2009-02-19,5.89,6.44,6.138,7.4966,10.3531,DOWN,0
2009-02-20,5.51,5.83,6.0,7.4112,10.3088,UP,1
2009-02-23,5.58,5.54,5.856,7.3294,10.2642,UP,1
2009-02-24,5.89,5.68,5.842,7.2774,10.2219,DOWN,0
2009-02-25,5.67,5.86,5.708,7.224,10.1792,DOWN,0
2009-02-26,5.37,5.7,5.604,7.1472,10.1347,UP,1
2009-02-27,5.6,5.27,5.622,7.079,10.0897,DOWN,0
2009-03-02,5.47,5.49,5.6,6.995,10.0436,DOWN,0
2009-03-03,5.16,5.49,5.454,6.908,9.9948,DOWN,0
2009-03-04,4.92,5.26,5.304,6.8088,9.9463,DOWN,0
2009-03-05,4.62,4.88,5.154,6.6952,9.8986,DOWN,0
2009-03-06,4.4,4.66,4.914,6.5898,9.851,DOWN,0
2009-03-09,4.29,4.33,4.678,6.4902,9.8007,UP,1
2009-03-10,4.51,4.39,4.548,6.3978,9.7518,UP,1
2009-03-11,4.67,4.56,4.498,6.31,9.7064,UP,1
2009-03-12,5.45,4.65,4.664,6.265,9.6618,UP,1
