ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-17,48.875,47.25,37.1749,48.0375,41.73,DOWN,0
2000-08-18,48.625,48.9375,37.1974,48.175,41.935,DOWN,0
2000-08-21,48.5625,48.5625,37.2121,48.2,42.145,UP,1
2000-08-22,49.1875,48.4375,37.2212,48.4375,42.3675,DOWN,0
2000-08-23,49.0625,48.5,37.234,48.8625,42.57,DOWN,0
2000-08-24,47.9375,49.0,37.2428,48.675,42.7475,DOWN,0
2000-08-25,46.75,47.375,37.2484,48.3,42.9225,DOWN,0
2000-08-28,46.5,46.1875,37.2549,47.8875,43.1238,UP,1
2000-08-29,47.3125,46.5,37.2596,47.5125,43.3263,UP,1
2000-08-30,52.125,47.375,37.2899,48.125,43.6575,UP,1
2000-08-31,54.0196,51.5,37.3213,49.3414,44.0129,DOWN,0
2000-09-01,51.875,54.0,37.3466,50.3664,44.3191,DOWN,0
2000-09-05,51.0,51.25,37.3669,51.2664,44.5704,UP,1
2000-09-06,53.0,53.5,37.4025,52.4039,44.8691,DOWN,0
2000-09-07,52.875,52.5,37.4404,52.5539,45.1616,UP,1
2000-09-08,55.0,52.75,37.4922,52.75,45.5273,UP,1
2000-09-11,56.125,54.375,37.556,53.6,45.9223,DOWN,0
2000-09-12,54.5625,55.5,37.6154,54.3125,46.291,DOWN,0
2000-09-13,53.4375,55.25,37.6725,54.4,46.621,UP,1
2000-09-14,53.8125,53.125,37.7332,54.5875,46.9535,DOWN,0
2000-09-15,52.25,52.875,37.7879,54.0375,47.2385,DOWN,0
2000-09-18,49.9375,51.5,37.8316,52.8,47.4173,UP,1
2000-09-19,51.875,50.1875,37.8822,52.2625,47.6573,DOWN,0
2000-09-20,51.0625,51.0,37.9357,51.7875,47.8485,DOWN,0
2000-09-21,50.1875,51.125,37.9797,51.0625,47.9848,UP,1
2000-09-22,52.1875,50.1875,38.046,51.05,48.1785,DOWN,0
2000-09-25,51.6875,52.25,38.1044,51.4,48.346,DOWN,0
2000-09-26,50.6875,51.25,38.1563,51.1625,48.5141,DOWN,0
2000-09-27,50.0625,50.6875,38.2114,50.9625,48.6679,DOWN,0
2000-09-28,48.875,48.5,38.263,50.7,48.7916,DOWN,0
2000-09-29,48.125,49.25,38.3136,49.8875,48.8541,DOWN,0
2000-10-02,47.875,48.5,38.3605,49.125,48.9454,DOWN,0
2000-10-03,47.5,48.0,38.4133,48.4875,49.0241,DOWN,0
2000-10-04,47.0,47.75,38.4614,47.875,49.0579,UP,1
2000-10-05,48.375,46.6875,38.5177,47.775,49.1266,DOWN,0
2000-10-06,46.625,48.125,38.5652,47.475,49.1479,DOWN,0
2000-10-09,46.125,47.375,38.6049,47.125,49.1754,DOWN,0
2000-10-10,45.0625,46.0625,38.6364,46.6375,49.2041,UP,1
2000-10-11,46.375,45.3125,38.6727,46.5125,49.2441,DOWN,0
2000-10-12,42.0,46.375,38.6861,45.2375,49.1954,UP,1
2000-10-13,45.1875,42.5625,38.7139,44.95,49.2029,DOWN,0
2000-10-16,44.625,44.5,38.7371,44.65,49.1804,DOWN,0
2000-10-17,43.375,44.5625,38.7586,44.3125,49.1279,DOWN,0
2000-10-18,42.375,42.5,38.7808,43.5125,49.0541,UP,1
2000-10-19,44.25,42.5,38.8189,43.9625,49.0229,UP,1
2000-10-20,44.5,44.0,38.8564,43.825,49.0029,DOWN,0
2000-10-23,44.25,44.0,38.888,43.75,48.9291,UP,1
2000-10-24,46.375,45.0,38.9299,44.35,48.8879,UP,1
2000-10-25,47.0,45.5,38.9777,45.275,48.8679,DOWN,0
2000-10-26,45.625,47.0,39.0196,45.55,48.8416,UP,1
2000-10-27,46.4375,45.625,39.0542,45.9375,48.7929,UP,1
2000-10-30,48.25,46.875,39.1011,46.7375,48.7854,UP,1
2000-10-31,48.375,48.3125,39.1533,47.1375,48.7816,DOWN,0
2000-11-01,48.0,48.375,39.2102,47.3375,48.7579,UP,1
2000-11-02,48.625,47.875,39.2796,47.9375,48.7491,DOWN,0
2000-11-03,46.3125,48.375,39.3321,47.9125,48.7166,DOWN,0
2000-11-06,46.125,46.0,39.388,47.4875,48.7041,UP,1
