ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-24,17.616,19.094,24.7541,20.5597,34.8946,UP,1
2000-04-25,18.345,18.326,24.7825,20.2565,34.5319,UP,1
2000-04-26,18.48,18.719,24.8108,19.5158,34.1719,DOWN,0
2000-04-27,17.808,18.269,24.8328,18.3261,33.8134,UP,1
2000-04-28,19.65,18.614,24.8597,18.3798,33.458,UP,1
2000-05-01,22.145,20.13,24.8966,19.2856,33.0927,DOWN,0
2000-05-02,20.552,22.106,24.9334,19.7269,32.6939,DOWN,0
2000-05-03,19.938,20.571,24.9699,20.0186,32.3258,UP,1
2000-05-04,21.991,20.111,25.0158,20.8553,31.9125,UP,1
2000-05-05,23.085,22.068,25.0672,21.5422,31.5222,DOWN,0
2000-05-08,22.932,23.143,25.1141,21.6996,31.1369,DOWN,0
2000-05-09,22.433,22.97,25.1568,22.0757,30.7657,DOWN,0
2000-05-10,22.202,22.106,25.1926,22.5286,30.3447,UP,1
2000-05-11,22.605,23.085,25.2289,22.6514,29.8953,UP,1
2000-05-12,24.102,23.622,25.2731,22.8548,29.5234,DOWN,0
2000-05-15,23.066,24.112,25.3123,22.8817,29.0636,DOWN,0
2000-05-16,23.008,23.488,25.3506,22.9968,28.4718,DOWN,0
2000-05-17,21.991,22.26,25.3839,22.9546,27.938,UP,1
2000-05-18,22.03,22.106,25.4177,22.8395,27.4413,DOWN,0
2000-05-19,21.454,21.876,25.4471,22.3098,26.9931,DOWN,0
2000-05-22,19.017,21.377,25.4629,21.5,26.5793,UP,1
2000-05-23,19.382,19.113,25.4739,20.7747,26.2562,UP,1
2000-05-24,19.631,19.19,25.4826,20.3026,26.004,DOWN,0
2000-05-25,18.422,19.996,25.4823,19.5811,25.7058,UP,1
2000-05-26,19.382,18.787,25.489,19.1666,25.3573,UP,1
2000-05-30,20.072,19.506,25.4937,19.3777,25.0284,DOWN,0
2000-05-31,19.593,19.996,25.4968,19.4199,24.7663,UP,1
2000-06-01,23.066,20.264,25.5223,20.1069,24.5178,UP,1
2000-06-02,26.539,23.949,25.563,21.7303,24.2426,UP,1
2000-06-05,27.249,25.906,25.6046,23.3039,24.0131,UP,1
2000-06-06,29.533,28.554,25.6556,25.196,23.873,DOWN,0
2000-06-07,29.207,29.61,25.6963,27.1187,23.736,DOWN,0
2000-06-08,28.669,29.283,25.7356,28.2394,23.6124,UP,1
2000-06-09,30.78,28.995,25.7882,29.0876,23.6347,DOWN,0
2000-06-12,29.149,30.684,25.8344,29.4676,23.685,UP,1
2000-06-13,31.759,28.708,25.8932,29.9128,23.7168,DOWN,0
2000-06-14,29.955,31.624,25.9449,30.0624,23.7379,UP,1
2000-06-15,30.051,30.281,25.9976,30.3388,23.7464,UP,1
2000-06-16,32.104,29.859,26.0587,30.6036,23.713,UP,1
2000-06-19,36.921,32.814,26.1462,32.1579,23.794,DOWN,0
2000-06-20,35.904,36.729,26.2241,32.9869,23.8899,UP,1
2000-06-21,37.65,35.424,26.3086,34.5259,24.048,DOWN,0
2000-06-22,33.313,37.727,26.3702,35.1784,24.1712,UP,1
2000-06-23,34.848,34.081,26.4495,35.7272,24.3743,UP,1
2000-06-26,36.211,34.944,26.5496,35.5852,24.6226,DOWN,0
2000-06-27,35.405,35.462,26.6348,35.4854,24.8885,UP,1
2000-06-28,38.878,35.405,26.7447,35.731,25.2689,DOWN,0
2000-06-29,38.091,38.36,26.8513,36.6867,25.587,DOWN,0
2000-06-30,36.019,38.072,26.9506,36.9208,25.8323,UP,1
2000-07-03,36.537,35.981,27.0507,36.986,26.1754,UP,1
2000-07-05,39.991,36.767,27.1686,37.9033,26.6229,UP,1
2000-07-06,40.874,40.471,27.2931,38.3024,27.0735,DOWN,0
2000-07-07,39.953,40.874,27.4098,38.6747,27.5029,DOWN,0
2000-07-10,39.761,39.914,27.5337,39.4231,27.942,UP,1
2000-07-11,40.241,39.377,27.663,40.1638,28.3538,DOWN,0
2000-07-12,38.379,40.74,27.782,39.8415,28.6785,DOWN,0
2000-07-13,35.117,38.187,27.8851,38.6901,28.9698,UP,1
2000-07-14,36.23,35.309,27.9909,37.9455,29.2956,UP,1
2000-07-17,38.936,37.669,28.1134,37.7805,29.6345,DOWN,0
2000-07-18,38.149,38.648,28.2318,37.3622,29.9358,DOWN,0
2000-07-19,36.691,38.322,28.3427,37.0244,30.211,UP,1
2000-07-20,36.882,36.998,28.4519,37.3775,30.5,DOWN,0
2000-07-21,36.633,36.729,28.553,37.4581,30.7886,DOWN,0
2000-07-24,36.268,37.17,28.6532,36.9246,31.0618,DOWN,0
2000-07-25,35.443,36.216,28.7502,36.3835,31.2886,UP,1
2000-07-26,38.552,35.376,28.8593,36.7558,31.5984,UP,1
2000-07-27,39.166,37.765,28.9721,37.2125,31.9215,DOWN,0
2000-07-28,35.616,39.3,29.0711,37.0091,32.194,UP,1
2000-07-31,37.708,36.211,29.1831,37.2969,32.5076,UP,1
2000-08-01,39.531,38.015,29.3093,38.1144,32.8691,UP,1
2000-08-02,41.277,39.319,29.4474,38.6594,33.3143,UP,1
2000-08-03,41.718,39.684,29.5808,39.1698,33.761,UP,1
2000-08-04,42.064,42.217,29.7111,40.4594,34.2097,UP,1
2000-08-07,43.829,42.332,29.8416,41.6837,34.7178,DOWN,0
2000-08-08,41.795,43.656,29.9661,42.1365,35.1661,DOWN,0
2000-08-09,41.45,42.236,30.0863,42.1711,35.5936,UP,1
2000-08-10,43.1,41.68,30.2168,42.4474,36.0638,DOWN,0
2000-08-11,41.757,42.735,30.3414,42.386,36.4376,DOWN,0
2000-08-14,40.778,42.083,30.4583,41.7758,36.7224,DOWN,0
2000-08-15,39.66,40.471,30.5674,41.3488,36.9706,DOWN,0
2000-08-16,38.609,40.528,30.6672,40.7808,37.1521,UP,1
2000-08-17,40.394,38.571,30.7801,40.2396,37.3759,UP,1
