ticker,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-01-04,24.202,23.144,22.4232,19.6176,14.5567,UP,1
2007-01-05,24.912,24.38,23.1276,19.7862,14.611,UP,1
2007-01-08,25.138,25.07,23.7952,19.9537,14.6687,DOWN,0
2007-01-09,24.93,25.138,24.4652,20.1181,14.7263,UP,1
2007-01-10,27.05,24.866,25.2464,20.3164,14.7944,UP,1
2007-01-11,27.308,27.05,25.8676,20.5248,14.8611,DOWN,0
2007-01-12,26.946,26.864,26.2744,20.7351,14.9272,DOWN,0
2007-01-16,25.838,26.91,26.4144,20.9142,14.9886,UP,1
2007-01-17,26.644,25.514,26.7572,21.1075,15.0505,DOWN,0
2007-01-18,25.838,26.552,26.5148,21.291,15.1107,DOWN,0
2007-01-19,25.382,25.464,26.1296,21.4717,15.1745,DOWN,0
2007-01-22,24.82,25.382,25.7044,21.6285,15.2336,UP,1
2007-01-23,25.9,24.816,25.7168,21.798,15.3003,UP,1
2007-01-24,27.28,26.17,25.844,21.9919,15.3769,DOWN,0
2007-01-25,26.348,27.62,25.946,22.1849,15.4556,UP,1
2007-01-26,27.034,26.526,26.2764,22.3851,15.5362,DOWN,0
2007-01-29,25.976,27.1,26.5076,22.5506,15.6095,UP,1
2007-01-30,26.288,25.52,26.5852,22.6902,15.6833,DOWN,0
2007-01-31,26.11,26.204,26.3512,22.8298,15.7551,UP,1
2007-02-01,27.11,26.39,26.5036,22.9936,15.8328,UP,1
2007-02-02,28.494,27.6,26.7956,23.1587,15.9091,UP,1
2007-02-05,28.72,28.54,27.3444,23.3424,15.9834,DOWN,0
2007-02-06,28.572,28.8,27.8012,23.5093,16.0563,UP,1
2007-02-07,29.61,28.1,28.5012,23.697,16.1353,UP,1
2007-02-08,30.41,29.752,29.1612,23.8888,16.2201,DOWN,0
2007-02-09,29.872,30.1,29.4368,24.0838,16.2997,DOWN,0
2007-02-12,28.714,29.76,29.4356,24.2548,16.3729,UP,1
2007-02-13,30.172,28.954,29.7556,24.4699,16.4522,UP,1
2007-02-14,30.328,30.2,29.8992,24.6834,16.5325,UP,1
2007-02-15,31.016,30.498,30.0204,24.9234,16.6206,UP,1
2007-02-16,31.664,30.98,30.3788,25.1607,16.7113,UP,1
2007-02-20,32.518,31.9,31.1396,25.3859,16.8037,UP,1
2007-02-21,32.772,32.72,31.6596,25.6213,16.8986,DOWN,0
2007-02-22,32.116,32.948,32.0172,25.8443,16.9849,UP,1
2007-02-23,32.388,32.03,32.2916,26.0596,17.068,DOWN,0
2007-02-26,31.442,32.63,32.2472,26.2356,17.148,DOWN,0
2007-02-27,28.916,30.46,31.5268,26.374,17.2148,UP,1
2007-02-28,30.154,29.062,31.0032,26.5483,17.2864,DOWN,0
2007-03-01,30.116,29.1,30.6032,26.7354,17.3614,DOWN,0
2007-03-02,27.716,29.6,29.6688,26.8643,17.4236,DOWN,0
2007-03-05,27.422,27.176,28.8648,26.9824,17.4849,UP,1
2007-03-06,28.486,28.5,28.7788,27.1169,17.5573,DOWN,0
2007-03-07,25.82,28.13,27.912,27.1933,17.6185,UP,1
2007-03-08,26.272,26.22,27.1432,27.2923,17.6798,DOWN,0
2007-03-09,26.2,26.76,26.84,27.3994,17.7512,UP,1
2007-03-12,26.89,26.02,26.7336,27.5154,17.8267,DOWN,0
2007-03-13,25.802,26.89,26.1968,27.6036,17.9014,UP,1
2007-03-14,26.386,25.9,26.31,27.6953,17.9773,DOWN,0
2007-03-15,25.62,26.518,26.1796,27.7761,18.048,DOWN,0
2007-03-16,25.276,25.828,25.9948,27.8188,18.1212,UP,1
2007-03-19,25.598,25.57,25.7364,27.8467,18.1935,UP,1
2007-03-20,25.978,25.598,25.7716,27.868,18.2677,DOWN,0
2007-03-21,25.95,26.15,25.6844,27.8842,18.3426,DOWN,0
2007-03-22,25.452,26.174,25.6508,27.8947,18.4183,DOWN,0
2007-03-23,24.712,25.46,25.538,27.8479,18.4915,DOWN,0
2007-03-26,24.17,24.7,25.2524,27.7852,18.5617,UP,1
2007-03-27,24.588,24.248,24.9744,27.738,18.6347,DOWN,0
2007-03-28,24.392,24.402,24.6628,27.7091,18.7058,UP,1
2007-03-29,24.594,24.688,24.4912,27.6681,18.7797,DOWN,0
