ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2003-06-19,9.9032,9.9032,8.3152,9.7408,,DOWN,0
2003-06-20,9.7942,9.7942,8.824,9.5548,,UP,1
2003-07-02,10.3075,10.3075,9.4179,9.352,,UP,1
2003-07-03,10.5731,10.5731,10.1724,9.1352,,UP,1
2003-07-07,11.6563,11.6563,10.4469,8.9533,,DOWN,0
2003-07-08,11.4445,11.4445,10.7551,8.8207,,DOWN,0
2003-07-09,11.2359,11.2359,11.0435,8.6872,,DOWN,0
2003-07-10,10.7943,10.7943,11.1408,8.5833,,UP,1
2003-07-11,11.0921,11.0921,11.2446,8.4984,,UP,1
2003-07-14,11.7276,11.7276,11.2589,8.5271,,UP,1
2003-07-15,12.5729,12.5729,11.4846,8.6585,,DOWN,0
2003-07-16,11.9883,11.9883,11.6351,8.7973,,DOWN,0
2003-07-17,11.4286,11.4286,11.7619,8.8649,,DOWN,0
2003-07-18,11.3576,11.3576,11.815,8.892,,DOWN,0
2003-07-21,11.2815,11.2815,11.7258,8.9327,,UP,1
2003-07-22,12.0643,12.0643,11.6241,8.9979,,UP,1
2003-07-23,12.5938,12.5938,11.7452,9.0738,,UP,1
2003-07-24,13.218,13.218,12.1031,9.1485,,DOWN,0
2003-07-25,12.7108,12.7108,12.3737,9.2237,,UP,1
2003-07-28,13.167,13.167,12.7508,9.3108,,DOWN,0
2003-07-29,12.8129,12.8129,12.9005,9.4116,,UP,1
2003-07-30,12.9186,12.9186,12.9655,9.516,,UP,1
2003-07-31,13.1965,13.1965,12.9612,9.6129,,UP,1
2003-08-01,13.3725,13.3725,13.0935,9.7102,,UP,1
2003-08-04,13.4748,13.4748,13.1551,9.8157,,UP,1
2003-08-05,13.4777,13.4777,13.288,9.9153,,DOWN,0
2003-08-06,12.666,12.666,13.2375,9.9836,,DOWN,0
2003-08-07,12.4486,12.4486,13.0879,10.048,,DOWN,0
2003-08-08,12.1508,12.1508,12.8436,10.1133,,DOWN,0
2003-08-11,12.1212,12.1212,12.5729,10.1976,,UP,1
2003-08-12,12.4954,12.4954,12.3764,10.2999,,UP,1
2003-08-13,12.879,12.879,12.419,10.4029,,DOWN,0
2003-08-14,12.7491,12.7491,12.4791,10.5171,,UP,1
2003-08-18,13.2431,13.2431,12.6976,10.6373,,UP,1
2003-08-19,13.685,13.685,13.0103,10.7552,,UP,1
2003-08-20,14.0011,14.0011,13.3115,10.9098,,UP,1
2003-08-21,14.6535,14.6535,13.6664,11.0729,,UP,1
2003-08-22,15.3348,15.3348,14.1835,11.2299,,DOWN,0
2003-08-25,14.8878,14.8878,14.5125,11.3739,,DOWN,0
2003-08-26,14.7024,14.7024,14.7159,11.5043,,UP,1
2003-08-27,15.6052,15.6052,15.0367,11.6588,,UP,1
2003-08-28,15.8512,15.8512,15.2763,11.8118,,DOWN,0
2003-08-29,15.81,15.81,15.3713,11.9763,,DOWN,0
2003-09-02,15.5334,15.5334,15.5004,12.1353,,DOWN,0
2003-09-03,15.0715,15.0715,15.5743,12.2995,,DOWN,0
2003-09-04,14.9482,14.9482,15.4429,12.4535,,UP,1
2003-09-05,15.8385,15.8385,15.4403,12.6253,,UP,1
2003-09-09,16.2104,16.2104,15.5204,12.8027,,DOWN,0
2003-09-10,15.4605,15.4605,15.5058,12.9759,,DOWN,0
2003-09-11,14.9166,14.9166,15.4748,13.0686,23.66,DOWN,0
2003-09-12,14.7326,14.7326,15.4317,13.1651,23.5099,UP,1
2003-09-15,14.9367,14.9367,15.2514,13.268,23.2746,DOWN,0
2003-09-16,14.5,14.5,14.9093,13.3518,23.0194,UP,1
2003-09-17,15.3662,15.3662,14.8904,13.4477,22.772,DOWN,0
2003-09-18,15.15,15.15,14.9371,13.5176,22.494,DOWN,0
2003-09-19,14.9043,14.9043,14.9714,13.5868,22.172,DOWN,0
2003-09-22,14.1528,14.1528,14.8147,13.6451,21.8513,UP,1
2003-09-23,14.482,14.482,14.8111,13.7189,21.4927,DOWN,0
2003-09-24,14.2181,14.2181,14.5815,13.7814,20.9262,DOWN,0
2003-09-25,13.9016,13.9016,14.3318,13.8249,20.2883,DOWN,0
2003-09-26,13.3225,13.3225,14.0154,13.8399,19.6624,DOWN,0
2003-09-29,12.9139,12.9139,13.7676,13.8584,19.0624,UP,1
2003-09-30,13.0815,13.0815,13.4875,13.8914,18.4447,UP,1
2003-10-01,13.2118,13.2118,13.2863,13.9285,17.7928,UP,1
2003-10-02,13.6635,13.6635,13.2386,13.9762,17.2363,UP,1
2003-10-06,14.5669,14.5669,13.4875,14.0262,16.625,UP,1
2003-10-07,14.7954,14.7954,13.8638,14.0702,16.0071,UP,1
2003-10-08,15.0842,15.0842,14.2644,14.1076,15.9038,UP,1
2003-10-09,15.3665,15.3665,14.6953,14.1607,15.7731,DOWN,0
2003-10-10,14.7972,14.7972,14.922,14.1933,15.6596,UP,1
2003-10-13,15.2333,15.2333,15.0553,14.2417,15.5682,UP,1
2003-10-15,15.9613,15.9613,15.2885,14.3025,15.5212,DOWN,0
2003-10-16,15.6012,15.6012,15.3919,14.3506,15.4836,UP,1
2003-10-17,15.7459,15.7459,15.4678,14.3981,15.4498,DOWN,0
2003-10-20,15.656,15.656,15.6395,14.4417,15.4131,UP,1
2003-10-21,16.0262,16.0262,15.7981,14.4927,15.3782,DOWN,0
2003-10-22,15.8718,15.8718,15.7802,14.5568,15.3351,DOWN,0
2003-10-23,15.4757,15.4757,15.7551,14.6174,15.2899,UP,1
2003-10-24,15.5912,15.5912,15.7242,14.6862,15.2179,DOWN,0
2003-10-27,15.5486,15.5486,15.7027,14.7547,15.1606,UP,1
2003-10-28,16.8096,16.8096,15.8594,14.841,15.1057,UP,1
2003-10-29,17.18,17.18,16.121,14.927,15.0691,UP,1
