ticker,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2004-12-03,61.75,61.95,53.9522,61.912,59.0166,DOWN,0
2004-12-06,61.45,61.74,54.0197,61.822,59.1416,DOWN,0
2004-12-07,61.26,61.6,54.087,61.702,59.2652,DOWN,0
2004-12-08,61.12,61.2,54.155,61.526,59.3796,DOWN,0
2004-12-09,61.0,60.9,54.2231,61.316,59.4684,DOWN,0
2004-12-10,60.81,61.1,54.2899,61.128,59.5316,UP,1
2004-12-13,61.83,61.24,54.3628,61.204,59.6088,UP,1
2004-12-14,62.92,61.71,54.4409,61.536,59.6872,UP,1
2004-12-15,63.34,63.16,54.5235,61.98,59.769,UP,1
2004-12-16,64.52,63.9,54.611,62.684,59.8714,DOWN,0
2004-12-17,63.99,64.2,54.6939,63.32,59.956,UP,1
2004-12-20,65.4,64.57,54.7834,64.034,60.0974,UP,1
2004-12-21,66.19,65.4,54.8781,64.688,60.2534,DOWN,0
2004-12-22,65.47,66.25,54.9735,65.114,60.416,DOWN,0
2004-12-23,65.4,65.77,55.0725,65.29,60.5778,DOWN,0
2004-12-27,65.33,65.7,55.1715,65.558,60.7496,UP,1
2004-12-28,66.19,65.33,55.2691,65.716,60.918,DOWN,0
2004-12-29,66.01,66.27,55.3704,65.68,61.0782,UP,1
2004-12-30,66.22,66.3,55.4699,65.83,61.2636,UP,1
2004-12-31,66.62,66.47,55.5675,66.074,61.4426,DOWN,0
2005-01-03,65.1,66.52,55.6592,66.028,61.5872,DOWN,0
2005-01-04,64.0,65.55,55.7465,65.59,61.7164,DOWN,0
2005-01-05,63.06,64.1,55.833,65.0,61.8352,DOWN,0
2005-01-06,62.54,63.0,55.9175,64.264,61.9434,DOWN,0
2005-01-07,62.02,62.78,56.0018,63.344,62.0452,DOWN,0
2005-01-10,61.86,62.25,56.0778,62.696,62.1202,UP,1
2005-01-11,61.92,61.86,56.1551,62.28,62.1868,UP,1
2005-01-12,62.04,61.95,56.2268,62.076,62.2634,DOWN,0
2005-01-13,61.08,61.95,56.2913,61.784,62.3266,UP,1
2005-01-14,62.7,61.33,56.3648,61.92,62.423,UP,1
2005-01-18,62.94,62.45,56.4405,62.136,62.4924,DOWN,0
2005-01-19,62.27,62.74,56.509,62.206,62.5458,DOWN,0
2005-01-20,61.61,62.21,56.5724,62.12,62.589,DOWN,0
2005-01-21,60.81,61.61,56.6305,62.066,62.608,DOWN,0
2005-01-24,60.02,60.95,56.6806,61.53,62.6164,UP,1
2005-01-25,60.09,60.25,56.7302,60.96,62.619,UP,1
2005-01-26,60.4,59.99,56.779,60.586,62.6258,UP,1
2005-01-27,60.69,60.6,56.8335,60.402,62.6136,DOWN,0
2005-01-28,60.18,60.7,56.8835,60.276,62.5922,UP,1
2005-01-31,61.21,60.75,56.9364,60.514,62.599,UP,1
2005-02-01,61.76,61.21,56.9741,60.848,62.5962,UP,1
2005-02-02,62.18,61.99,57.0159,61.204,62.6314,DOWN,0
2005-02-03,62.1,61.98,57.0514,61.486,62.642,UP,1
2005-02-04,63.73,62.2,57.0927,62.196,62.6932,UP,1
2005-02-07,63.8,63.2,57.1312,62.714,62.7324,DOWN,0
2005-02-08,63.4,63.9,57.1744,63.042,62.7628,DOWN,0
2005-02-09,62.78,63.45,57.2192,63.162,62.7804,UP,1
2005-02-10,63.26,62.75,57.2648,63.394,62.8084,UP,1
2005-02-11,63.41,63.3,57.3163,63.33,62.8366,DOWN,0
2005-02-14,63.36,63.6,57.3668,63.242,62.8628,DOWN,0
2005-02-15,62.86,63.2,57.4191,63.134,62.885,DOWN,0
2005-02-16,62.44,62.85,57.4693,63.066,62.9048,DOWN,0
2005-02-17,61.85,62.47,57.5129,62.784,62.9166,DOWN,0
2005-02-18,61.38,61.85,57.5535,62.378,62.9218,DOWN,0
2005-02-22,60.7,61.13,57.5957,61.846,62.9158,UP,1
2005-02-23,61.4,60.85,57.6442,61.554,62.9276,UP,1
2005-02-24,62.26,61.3,57.7043,61.518,62.9362,UP,1
