ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-01,35.4878,34.1068,28.7769,35.0944,30.7313,DOWN,0
2000-05-02,34.9438,35.4878,28.8142,34.8768,30.9221,DOWN,0
2000-05-03,34.5672,34.7764,28.8493,34.6927,31.0979,UP,1
2000-05-04,34.7764,34.4835,28.883,34.7597,31.2787,UP,1
2000-05-05,34.8182,34.8182,28.9165,34.9187,31.4662,DOWN,0
2000-05-08,34.6508,34.5672,28.9502,34.7513,31.662,DOWN,0
2000-05-09,34.1487,34.7345,28.9801,34.5923,31.8453,DOWN,0
2000-05-10,33.3954,34.1487,29.006,34.3579,31.9968,UP,1
2000-05-11,33.8557,33.6046,29.037,34.1738,32.1617,UP,1
2000-05-12,34.3998,33.8557,29.073,34.0901,32.3274,UP,1
2000-05-15,34.4835,34.3998,29.1132,34.0566,32.458,UP,1
2000-05-16,35.1112,34.6508,29.1598,34.2491,32.6011,UP,1
2000-05-17,35.4878,35.0693,29.209,34.6676,32.7651,UP,1
2000-05-18,35.5297,35.3204,29.2561,35.0024,32.935,DOWN,0
2000-05-19,34.1487,35.3623,29.2965,34.9522,33.0639,DOWN,0
2000-05-22,33.772,34.4835,29.3348,34.8099,33.1803,DOWN,0
2000-05-23,33.3117,33.772,29.3718,34.45,33.2975,UP,1
2000-05-24,33.3954,33.2698,29.409,34.0315,33.4255,DOWN,0
2000-05-25,32.935,33.4791,29.4423,33.5126,33.5176,DOWN,0
2000-05-26,32.4329,32.935,29.4722,33.1694,33.5728,UP,1
2000-05-30,33.1024,32.5584,29.5038,33.0355,33.6339,DOWN,0
2000-05-31,31.1355,33.1024,29.5241,32.6003,33.6448,UP,1
2000-06-01,32.684,31.2192,29.5505,32.458,33.6783,UP,1
2000-06-02,33.3954,33.1443,29.5831,32.55,33.7176,DOWN,0
2000-06-05,33.228,33.228,29.6151,32.7091,33.757,UP,1
2000-06-06,33.6883,33.2698,29.6461,32.8262,33.8147,DOWN,0
2000-06-07,32.8513,33.6046,29.6708,33.1694,33.8549,UP,1
2000-06-08,32.8932,32.9769,29.697,33.2112,33.8942,UP,1
2000-06-09,33.3117,32.9769,29.7271,33.1945,33.9294,DOWN,0
2000-06-12,32.1138,32.9769,29.7539,32.9717,33.9297,UP,1
2000-06-13,32.7258,32.2236,29.7849,32.7792,33.9431,DOWN,0
2000-06-14,32.5584,32.8095,29.8182,32.7206,33.9523,DOWN,0
2000-06-15,32.1399,32.5584,29.8494,32.5699,33.9263,DOWN,0
2000-06-16,31.5122,30.9263,29.8751,32.21,33.8929,DOWN,0
2000-06-19,30.6334,30.9681,29.8971,31.9139,33.8326,DOWN,0
2000-06-20,29.4197,30.7171,29.9105,31.2527,33.7506,UP,1
2000-06-21,30.173,29.4197,29.927,30.7756,33.6711,UP,1
2000-06-22,30.3404,30.0056,29.9416,30.4157,33.5748,DOWN,0
2000-06-23,29.3779,30.2567,29.9531,29.9889,33.4627,DOWN,0
2000-06-26,29.2105,29.3779,29.9624,29.7043,33.3371,DOWN,0
2000-06-27,28.8757,29.3779,29.9703,29.5955,33.2308,UP,1
2000-06-28,29.4015,28.9594,29.9813,29.4412,33.1426,DOWN,0
2000-06-29,27.4947,29.1268,29.9865,28.872,33.0195,DOWN,0
2000-06-30,27.1599,27.9969,29.9888,28.4285,32.8881,UP,1
2000-07-03,28.2061,27.2436,29.9936,28.2276,32.7751,DOWN,0
2000-07-05,27.7039,28.792,29.9964,27.9932,32.6195,UP,1
2000-07-06,28.1643,27.7039,30.0026,27.7458,32.4621,UP,1
2000-07-07,29.1268,28.1643,30.0152,28.0722,32.3349,UP,1
2000-07-10,29.2105,29.1268,30.0311,28.4823,32.2303,UP,1
2000-07-11,29.336,29.2105,30.0462,28.7083,32.1365,UP,1
2000-07-12,29.9638,29.2523,30.0658,29.1603,32.026,UP,1
2000-07-13,30.7171,29.7964,30.0895,29.6708,31.9415,UP,1
2000-07-14,31.3866,31.0518,30.1127,30.1228,31.8779,DOWN,0
2000-07-17,30.8008,31.4703,30.1299,30.4409,31.7984,UP,1
2000-07-18,31.3448,31.3029,30.1518,30.8426,31.7289,DOWN,0
2000-07-19,30.7171,31.2192,30.1679,30.9933,31.6502,UP,1
2000-07-20,31.4285,30.7171,30.1885,31.1355,31.5958,DOWN,0
2000-07-21,31.1774,31.554,30.2073,31.0937,31.5515,UP,1
2000-07-24,31.6377,31.0937,30.2274,31.2611,31.5071,UP,1
2000-07-25,31.8051,31.8051,30.2485,31.3532,31.4552,DOWN,0
2000-07-26,31.1355,31.6796,30.2673,31.4369,31.3883,UP,1
2000-07-27,31.554,31.1774,30.291,31.462,31.3171,DOWN,0
2000-07-28,30.8845,31.5122,30.3165,31.4034,31.225,DOWN,0
2000-07-31,30.6752,30.8845,30.3422,31.2109,31.128,UP,1
2000-08-01,30.7589,30.7589,30.3623,31.0016,31.0602,UP,1
2000-08-02,30.8008,30.6334,30.3828,30.9347,31.0007,DOWN,0
2000-08-03,30.2149,30.9263,30.4031,30.6668,30.9388,DOWN,0
2000-08-04,30.1312,30.1312,30.4172,30.5162,30.8735,UP,1
2000-08-07,30.6752,29.8382,30.4326,30.5162,30.8283,UP,1
2000-08-08,31.5959,30.6752,30.4479,30.6836,30.8116,DOWN,0
2000-08-09,31.0518,31.4703,30.4624,30.7338,30.7706,UP,1
2000-08-10,31.2611,31.1355,30.4787,30.943,30.7731,UP,1
2000-08-11,32.1818,31.2192,30.4986,31.3532,30.763,UP,1
2000-08-14,32.391,32.0981,30.5189,31.6963,30.743,DOWN,0
2000-08-15,32.1818,32.4747,30.5373,31.8135,30.722,DOWN,0
2000-08-16,32.1818,32.1818,30.5576,32.0395,30.6919,UP,1
