ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-05-04,21.06,20.92,20.2327,20.7333,20.0324,DOWN,0
2007-05-07,20.9667,21.0333,20.2439,20.836,20.0329,DOWN,0
2007-05-08,20.8667,20.9333,20.2559,20.9093,20.0401,DOWN,0
2007-05-09,20.8067,20.7933,20.2691,20.908,20.0579,DOWN,0
2007-05-10,20.3467,20.68,20.2781,20.8093,20.0635,UP,1
2007-05-11,20.68,20.4333,20.2886,20.7333,20.0767,DOWN,0
2007-05-14,20.4467,20.7,20.3001,20.6293,20.0917,DOWN,0
2007-05-15,20.1333,20.4867,20.3059,20.4827,20.1128,UP,1
2007-05-16,20.2467,20.2467,20.3104,20.3707,20.1293,DOWN,0
2007-05-17,20.2467,20.1733,20.3148,20.3507,20.1472,UP,1
2007-05-18,20.4467,20.3,20.3223,20.304,20.1673,UP,1
2007-05-21,20.66,20.4,20.3283,20.3467,20.1931,DOWN,0
2007-05-22,20.64,21.24,20.3338,20.448,20.218,DOWN,0
2007-05-23,20.5933,20.6933,20.3391,20.5173,20.2599,DOWN,0
2007-05-24,20.1667,20.62,20.3437,20.5013,20.2856,DOWN,0
2007-05-25,20.0933,20.22,20.3491,20.4307,20.3055,UP,1
2007-05-29,20.3667,20.1733,20.3577,20.372,20.3297,UP,1
2007-05-30,20.7,20.2267,20.3666,20.384,20.354,UP,1
2007-05-31,22.2067,22.0867,20.3836,20.7067,20.4063,UP,1
2007-06-01,22.3333,22.54,20.4013,21.14,20.446,DOWN,0
2007-06-04,22.1,22.2467,20.4161,21.5413,20.4808,DOWN,0
2007-06-05,21.68,21.9467,20.4275,21.804,20.5041,DOWN,0
2007-06-06,21.3867,21.6667,20.436,21.9413,20.5245,DOWN,0
2007-06-07,20.8667,21.3467,20.4421,21.6733,20.5408,UP,1
2007-06-08,21.3667,20.9,20.4522,21.48,20.5708,UP,1
2007-06-11,21.5333,21.3533,20.464,21.3667,20.6037,DOWN,0
2007-06-12,21.18,21.4067,20.476,21.2667,20.6305,UP,1
2007-06-13,21.3267,21.3267,20.4906,21.2547,20.66,UP,1
2007-06-14,21.56,21.3333,20.5078,21.3933,20.6921,UP,1
