ticker,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-05-21,25.85,24.59,25.402,26.1234,23.4894,UP,1
2012-05-22,26.07,25.85,25.472,26.1444,23.5098,DOWN,0
2012-05-23,26.0,25.97,25.598,26.1594,23.5488,UP,1
2012-05-24,26.1,26.05,25.73,26.1662,23.5876,DOWN,0
2012-05-25,26.02,26.09,26.008,26.1782,23.6248,UP,1
2012-05-29,26.35,26.29,26.108,26.1964,23.6592,DOWN,0
2012-05-30,26.0,26.2,26.094,26.2132,23.6831,DOWN,0
2012-05-31,25.99,25.92,26.092,26.2396,23.7001,DOWN,0
2012-06-01,24.74,25.49,25.82,26.234,23.715,DOWN,0
2012-06-04,24.4,24.87,25.496,26.2264,23.732,UP,1
2012-06-05,25.03,24.32,25.232,26.226,23.7574,UP,1
2012-06-06,25.77,25.15,25.186,26.2352,23.7899,DOWN,0
2012-06-07,25.45,25.89,25.078,26.2586,23.8218,UP,1
2012-06-08,25.75,25.36,25.28,26.2944,23.8527,UP,1
2012-06-11,26.09,26.41,25.618,26.3384,23.8829,UP,1
2012-06-12,26.2,26.35,25.852,26.3676,23.9186,UP,1
2012-06-13,26.22,26.14,25.942,26.3724,23.9522,UP,1
2012-06-14,26.4,26.38,26.132,26.362,23.9843,UP,1
2012-06-15,26.73,26.38,26.328,26.3594,24.0187,UP,1
2012-06-18,26.87,26.35,26.484,26.3576,24.0529,UP,1
2012-06-19,27.15,27.0,26.674,26.3636,24.0927,UP,1
2012-06-20,27.23,27.28,26.876,26.3812,24.1356,DOWN,0
2012-06-21,26.53,27.27,26.902,26.3772,24.1744,DOWN,0
2012-06-22,26.25,26.57,26.806,26.3508,24.2065,DOWN,0
2012-06-25,25.61,26.24,26.554,26.323,24.2371,UP,1
2012-06-26,26.19,25.63,26.362,26.3032,24.2765,UP,1
2012-06-27,26.61,26.14,26.238,26.2832,24.3176,UP,1
2012-06-28,29.47,26.55,26.826,26.3228,24.3766,UP,1
2012-06-29,30.43,29.79,27.662,26.3794,24.4357,DOWN,0
2012-07-02,29.99,30.44,28.538,26.4396,24.4815,DOWN,0
2012-07-03,29.5,29.47,29.2,26.5044,24.5228,DOWN,0
2012-07-05,28.74,29.37,29.626,26.542,24.5675,DOWN,0
2012-07-06,28.41,28.34,29.414,26.5692,24.61,DOWN,0
2012-07-09,28.15,28.51,28.958,26.5862,24.6517,DOWN,0
2012-07-10,28.03,28.26,28.566,26.6022,24.6922,DOWN,0
2012-07-11,27.91,28.08,28.248,26.622,24.7345,DOWN,0
2012-07-12,27.83,27.69,28.066,26.6274,24.7744,UP,1
