ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-31,4.2422,4.1875,4.7368,4.3016,4.7034,UP,1
2000-08-01,4.2969,4.2656,4.7329,4.2703,4.6819,UP,1
2000-08-02,4.3828,4.3281,4.7295,4.2797,4.6652,UP,1
2000-08-03,4.4531,4.3828,4.7271,4.3094,4.6509,UP,1
2000-08-04,4.5,4.5,4.7257,4.375,4.6372,DOWN,0
2000-08-07,4.4844,4.5156,4.7251,4.4234,4.6239,UP,1
2000-08-08,4.5156,4.4844,4.7241,4.4672,4.6147,DOWN,0
2000-08-09,4.4141,4.5469,4.7226,4.4734,4.6011,DOWN,0
2000-08-10,4.4063,4.4453,4.7211,4.4641,4.5898,UP,1
2000-08-11,4.625,4.4219,4.7205,4.4891,4.5808,DOWN,0
2000-08-14,4.6016,4.625,4.7191,4.5125,4.5714,DOWN,0
2000-08-15,4.5703,4.6172,4.7173,4.5234,4.5603,UP,1
2000-08-16,4.6094,4.5625,4.7154,4.5625,4.5523,DOWN,0
2000-08-17,4.5469,4.6172,4.7129,4.5906,4.5428,DOWN,0
2000-08-18,4.5313,4.5391,4.7103,4.5719,4.5355,DOWN,0
2000-08-21,4.5,4.5469,4.7075,4.5516,4.5308,UP,1
2000-08-22,4.5938,4.4844,4.7052,4.5563,4.5261,DOWN,0
2000-08-23,4.5664,4.625,4.7027,4.5477,4.5212,DOWN,0
2000-08-24,4.5547,4.5781,4.7008,4.5492,4.5176,DOWN,0
2000-08-25,4.4922,4.5234,4.6985,4.5414,4.5148,DOWN,0
2000-08-28,4.4531,4.5,4.6961,4.532,4.5143,UP,1
2000-08-29,4.4766,4.4375,4.6927,4.5086,4.5134,DOWN,0
2000-08-30,4.2734,4.4531,4.6879,4.45,4.5091,UP,1
2000-08-31,4.2969,4.2813,4.6832,4.3984,4.506,UP,1
2000-09-01,4.3594,4.3047,4.679,4.3719,4.5027,UP,1
2000-09-05,4.375,4.3594,4.675,4.3563,4.4987,UP,1
2000-09-06,4.4141,4.3672,4.6707,4.3438,4.4951,DOWN,0
2000-09-07,4.3438,4.4297,4.6662,4.3578,4.4898,UP,1
2000-09-08,4.3633,4.3516,4.6631,4.3711,4.4845,DOWN,0
2000-09-11,4.3359,4.4063,4.6596,4.3664,4.4791,DOWN,0
2000-09-12,4.2422,4.2031,4.6555,4.3398,4.4761,DOWN,0
2000-09-13,4.2422,4.25,4.6514,4.3055,4.4684,DOWN,0
2000-09-14,4.1797,4.25,4.647,4.2727,4.46,DOWN,0
2000-09-15,4.0313,4.1719,4.6416,4.2063,4.4489,DOWN,0
2000-09-18,4.0234,4.0625,4.6366,4.1438,4.4397,DOWN,0
2000-09-19,3.9844,4.0391,4.6312,4.0922,4.4269,UP,1
2000-09-20,4.0078,4.0,4.6263,4.0453,4.4152,DOWN,0
2000-09-21,3.9766,3.875,4.6212,4.0047,4.4022,UP,1
2000-09-22,4.0234,3.9531,4.6163,4.0031,4.3911,UP,1
2000-09-25,4.0859,4.0313,4.6117,4.0156,4.3811,DOWN,0
2000-09-26,4.0,4.0938,4.6068,4.0188,4.3691,DOWN,0
