ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-03-15,139.8125,136.875,136.8156,139.2063,140.3806,UP,1
2000-03-16,146.3438,141.625,136.898,140.3,140.5125,UP,1
2000-03-17,146.9375,145.8125,136.9797,141.6625,140.6513,DOWN,0
2000-03-20,146.1875,146.875,137.0446,143.1813,140.82,UP,1
2000-03-21,149.1875,145.5313,137.1227,145.6938,140.8887,UP,1
2000-03-22,150.0938,149.5625,137.2119,147.75,140.9656,UP,1
2000-03-23,152.6563,149.1563,137.3146,149.0125,141.1288,UP,1
2000-03-24,153.5625,152.875,137.4278,150.3375,141.3388,DOWN,0
2000-03-27,151.9375,153.375,137.5385,151.4875,141.4775,DOWN,0
2000-03-28,151.0625,151.25,137.6441,151.8625,141.5594,UP,1
2000-03-29,151.2188,151.5625,137.7461,152.0875,141.6675,DOWN,0
2000-03-30,148.6875,150.1563,137.823,151.2938,141.7012,UP,1
2000-03-31,150.375,149.625,137.9021,150.6563,141.8138,UP,1
2000-04-03,151.25,150.125,137.9867,150.5188,141.95,DOWN,0
2000-04-04,145.75,151.75,138.0424,149.4563,142.0581,UP,1
2000-04-05,149.1875,147.875,138.1199,149.05,142.2031,UP,1
2000-04-06,150.4844,150.25,138.2071,149.4094,142.3966,UP,1
2000-04-07,151.4375,151.5625,138.3042,149.6219,142.6203,DOWN,0
2000-04-10,150.8438,151.75,138.3999,149.5406,142.9197,DOWN,0
2000-04-11,150.4063,150.0,138.4853,150.4719,143.1366,DOWN,0
2000-04-12,146.2813,150.375,138.5439,149.8906,143.2434,DOWN,0
2000-04-13,144.25,147.4688,138.5802,148.6438,143.3072,DOWN,0
2000-04-14,136.0,142.625,138.57,145.5563,143.1634,UP,1
2000-04-17,140.75,135.1875,138.5767,143.5375,143.1266,UP,1
2000-04-18,144.4688,140.5625,138.6022,142.35,143.1684,DOWN,0
2000-04-19,143.125,144.5,138.62,141.7188,143.1447,UP,1
2000-04-20,143.8125,143.5625,138.6407,141.6313,143.1953,DOWN,0
2000-04-24,142.25,141.5,138.6495,142.8813,143.2091,UP,1
2000-04-25,148.1563,144.625,138.6909,144.3625,143.3984,DOWN,0
2000-04-26,146.4844,147.9688,138.7264,144.7656,143.5381,DOWN,0
2000-04-27,146.0,143.0,138.7556,145.3406,143.6363,DOWN,0
2000-04-28,145.0938,147.0,138.7759,145.5969,143.7581,UP,1
2000-05-01,147.0625,146.5625,138.8021,146.5594,143.9338,DOWN,0
2000-05-02,144.125,145.5,138.8184,145.7531,144.11,DOWN,0
2000-05-03,140.75,144.0,138.8322,144.6063,144.2256,UP,1
2000-05-04,141.8125,142.0,138.8521,143.7688,144.3306,UP,1
2000-05-05,143.5313,141.0625,138.8897,143.4563,144.525,DOWN,0
2000-05-08,142.4531,142.75,138.9232,142.5344,144.7075,DOWN,0
2000-05-09,141.3125,143.0625,138.956,141.9719,144.8113,DOWN,0
2000-05-10,138.125,140.5,138.9673,141.4469,144.825,UP,1
2000-05-11,141.2813,140.125,138.9921,141.3406,144.8819,UP,1
2000-05-12,142.8125,141.8125,139.0342,141.1969,144.9675,UP,1
2000-05-15,145.2813,142.75,139.0968,141.7625,145.0506,UP,1
2000-05-16,146.6875,146.5625,139.1649,142.8375,145.1894,DOWN,0
2000-05-17,145.1563,145.6875,139.2285,144.2438,145.3516,DOWN,0
2000-05-18,143.375,145.625,139.2923,144.6625,145.4816,DOWN,0
2000-05-19,141.125,142.5625,139.3388,144.325,145.4866,DOWN,0
2000-05-22,140.0625,141.25,139.3873,143.2813,145.4853,DOWN,0
2000-05-23,138.0,140.4375,139.4268,141.5438,145.4734,UP,1
2000-05-24,140.25,138.0,139.4848,140.5625,145.5459,DOWN,0
2000-05-25,137.8438,140.6875,139.5229,139.4563,145.5066,UP,1
2000-05-26,138.0,138.8125,139.5622,138.8313,145.3397,UP,1
2000-05-30,142.5,140.0,139.6089,139.3188,145.2509,UP,1
2000-05-31,142.8125,142.5625,139.6542,140.2813,145.1834,UP,1
2000-06-01,145.3125,143.6875,139.7077,141.2938,145.1059,UP,1
2000-06-02,147.8438,148.9375,139.7786,143.2938,145.0609,DOWN,0
2000-06-05,147.125,147.4688,139.8514,145.1188,144.9503,DOWN,0
2000-06-06,146.4688,146.625,139.9142,145.9125,144.8084,UP,1
