ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-03-30,20.875,19.75,26.1609,18.8375,18.1602,DOWN,0
2000-03-31,20.438,21.063,26.0884,19.425,18.1577,DOWN,0
2000-04-03,20.438,20.063,26.0143,19.95,18.1465,DOWN,0
2000-04-04,20.313,21.0,25.9396,20.2625,18.1615,UP,1
2000-04-05,20.938,20.313,25.8696,20.6,18.1952,UP,1
2000-04-06,21.188,21.75,25.7993,20.6625,18.2177,DOWN,0
2000-04-07,21.063,21.313,25.7287,20.7875,18.2502,UP,1
2000-04-10,21.125,20.5,25.6549,20.925,18.2952,DOWN,0
2000-04-11,20.875,20.938,25.5805,21.0375,18.3427,UP,1
2000-04-12,22.063,20.938,25.5052,21.2625,18.4102,DOWN,0
2000-04-13,21.625,21.375,25.4271,21.35,18.469,DOWN,0
2000-04-14,20.688,21.188,25.334,21.275,18.5102,UP,1
2000-04-17,21.313,20.625,25.2505,21.3125,18.554,DOWN,0
2000-04-18,21.0,21.125,25.1659,21.3375,18.599,DOWN,0
2000-04-19,20.875,20.938,25.0815,21.1,18.649,UP,1
2000-04-20,22.688,21.75,25.0049,21.3125,18.7352,UP,1
2000-04-24,25.875,22.375,24.9443,22.35,18.8865,DOWN,0
2000-04-25,25.563,25.875,24.8852,23.2,19.0477,DOWN,0
2000-04-26,24.125,24.75,24.8196,23.825,19.169,DOWN,0
2000-04-27,23.875,24.0,24.7496,24.425,19.284,UP,1
2000-04-28,24.875,24.0,24.6821,24.8625,19.4265,UP,1
2000-05-01,27.0,24.25,24.6227,25.0875,19.6065,DOWN,0
2000-05-02,26.063,26.25,24.5593,25.1875,19.779,DOWN,0
2000-05-03,25.563,25.813,24.4971,25.475,19.9302,UP,1
2000-05-04,26.313,25.563,24.4391,25.9625,20.1002,DOWN,0
2000-05-05,26.188,25.75,24.3797,26.225,20.2727,DOWN,0
2000-05-08,26.063,26.0,24.3213,26.0375,20.439,DOWN,0
2000-05-09,26.0,25.813,24.2691,26.025,20.609,UP,1
2000-05-10,26.063,25.813,24.2194,26.125,20.7815,UP,1
2000-05-11,26.188,26.0,24.1732,26.1,20.9515,DOWN,0
2000-05-12,25.813,25.625,24.1285,26.025,21.1252,DOWN,0
2000-05-15,25.625,25.688,24.0826,25.9375,21.2977,DOWN,0
2000-05-16,25.188,24.75,24.0322,25.775,21.4415,DOWN,0
2000-05-17,24.563,24.938,23.9794,25.475,21.5865,UP,1
2000-05-18,24.875,24.438,23.9307,25.2125,21.7315,DOWN,0
2000-05-19,24.313,24.125,23.8791,24.9125,21.8752,DOWN,0
2000-05-22,23.563,24.375,23.8257,24.5,22.0102,UP,1
2000-05-23,25.125,24.25,23.7754,24.4875,22.174,DOWN,0
2000-05-24,25.063,25.0,23.7244,24.5875,22.3427,DOWN,0
2000-05-25,24.313,24.813,23.6654,24.475,22.4865,DOWN,0
2000-05-26,24.063,24.563,23.6069,24.425,22.6065,UP,1
2000-05-30,24.75,24.313,23.5479,24.6625,22.7415,DOWN,0
2000-05-31,24.688,24.875,23.4894,24.575,22.88,UP,1
2000-06-01,25.063,24.375,23.4294,24.575,23.035,UP,1
2000-06-02,25.938,25.313,23.3713,24.9,23.2113,DOWN,0
2000-06-05,25.875,25.938,23.3141,25.2625,23.3875,UP,1
2000-06-06,25.938,26.0,23.2551,25.5,23.5563,DOWN,0
2000-06-07,25.375,25.938,23.1857,25.6375,23.7075,DOWN,0
2000-06-08,24.75,24.875,23.1151,25.575,23.8275,UP,1
2000-06-09,25.313,24.875,23.0482,25.45,23.9488,UP,1
2000-06-12,25.563,25.438,22.9847,25.3875,24.0425,DOWN,0
2000-06-13,25.25,25.313,22.9229,25.25,24.1388,DOWN,0
2000-06-14,24.688,25.375,22.8591,25.1125,24.2238,UP,1
2000-06-15,25.0,25.125,22.7991,25.1625,24.3175,DOWN,0
2000-06-16,24.313,25.0,22.7363,24.9625,24.385,UP,1
2000-06-19,24.688,24.438,22.6757,24.7875,24.455,DOWN,0
2000-06-20,24.5,24.688,22.6151,24.6375,24.5238,DOWN,0
2000-06-21,24.0,24.438,22.5601,24.5,24.5813,DOWN,0
