ticker,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-12-18,70.95,71.06,67.1957,70.858,70.0484,DOWN,0
2012-12-19,70.63,70.91,67.2243,70.792,70.068,UP,1
2012-12-20,70.75,70.74,67.2563,70.792,70.0942,DOWN,0
2012-12-21,70.27,70.56,67.2862,70.708,70.1314,DOWN,0
2012-12-24,70.02,70.32,67.312,70.524,70.1674,UP,1
2012-12-26,70.17,69.95,67.3392,70.368,70.2114,DOWN,0
2012-12-27,70.09,70.13,67.3641,70.26,70.2538,DOWN,0
2012-12-28,69.48,69.84,67.3849,70.006,70.2714,UP,1
2012-12-31,70.1,69.24,67.41,69.972,70.2824,UP,1
2013-01-02,70.84,71.02,67.4388,70.136,70.2792,DOWN,0
2013-01-03,70.74,70.98,67.4669,70.25,70.2436,UP,1
2013-01-04,71.55,71.24,67.4986,70.542,70.2374,DOWN,0
2013-01-07,71.4,71.5,67.5308,70.926,70.2298,UP,1
2013-01-08,71.41,71.31,67.5641,71.188,70.2402,UP,1
2013-01-09,71.73,71.64,67.6004,71.366,70.26,UP,1
2013-01-10,72.19,71.81,67.6386,71.656,70.281,UP,1
2013-01-11,72.35,72.19,67.6746,71.816,70.31,UP,1
2013-01-14,72.56,72.6,67.7103,72.048,70.3448,DOWN,0
2013-01-15,72.37,72.25,67.7441,72.24,70.3622,UP,1
2013-01-16,72.58,72.26,67.7793,72.41,70.3958,UP,1
2013-01-17,72.9,72.88,67.814,72.552,70.438,UP,1
2013-01-18,73.23,72.9,67.8491,72.728,70.4824,DOWN,0
2013-01-22,72.69,72.92,67.8832,72.754,70.5294,UP,1
2013-01-23,72.85,72.52,67.9205,72.85,70.5934,UP,1
2013-01-24,73.1,72.96,67.9593,72.954,70.658,UP,1
2013-01-25,73.92,73.13,68.0043,73.158,70.7428,DOWN,0
2013-01-28,73.62,73.96,68.0514,73.236,70.825,UP,1
2013-01-29,74.41,73.67,68.1028,73.58,70.9278,DOWN,0
2013-01-30,74.09,74.45,68.1525,73.828,71.0282,DOWN,0
2013-01-31,73.92,74.08,68.2044,73.992,71.1228,UP,1
2013-02-01,74.18,74.14,68.2554,74.044,71.2214,DOWN,0
2013-02-04,74.11,73.56,68.3048,74.142,71.3102,UP,1
2013-02-05,74.66,74.49,68.3618,74.192,71.4116,UP,1
2013-02-06,75.39,74.57,68.4236,74.452,71.5282,DOWN,0
2013-02-07,75.06,74.82,68.4804,74.68,71.6476,UP,1
2013-02-08,75.48,75.17,68.5409,74.94,71.781,DOWN,0
2013-02-11,75.41,75.28,68.5991,75.2,71.9034,UP,1
2013-02-12,75.8,75.42,68.6559,75.428,72.035,DOWN,0
2013-02-13,75.66,75.79,68.7105,75.482,72.1536,UP,1
2013-02-14,75.81,75.5,68.7653,75.632,72.2768,UP,1
2013-02-15,76.16,75.72,68.8206,75.768,72.4028,UP,1
2013-02-19,76.96,76.03,68.8793,76.078,72.5426,DOWN,0
2013-02-20,76.65,76.79,68.9359,76.248,72.6746,UP,1
2013-02-21,76.87,76.47,68.9936,76.49,72.803,DOWN,0
2013-02-22,76.25,76.39,69.0511,76.578,72.916,DOWN,0
2013-02-25,75.57,76.47,69.105,76.46,73.0054,UP,1
2013-02-26,75.75,75.88,69.1588,76.218,73.1012,UP,1
2013-02-27,76.32,75.68,69.219,76.152,73.2126,DOWN,0
2013-02-28,76.11,76.23,69.2767,76.0,73.321,UP,1
2013-03-01,76.7,75.79,69.3386,76.09,73.4362,UP,1
2013-03-04,77.2,76.73,69.4049,76.416,73.5612,UP,1
2013-03-05,77.66,77.56,69.4752,76.798,73.7018,DOWN,0
2013-03-06,77.39,77.69,69.5436,77.012,73.8346,UP,1
2013-03-07,77.75,77.62,69.6145,77.34,73.9842,UP,1
2013-03-08,78.19,77.84,69.6888,77.638,74.1476,UP,1
2013-03-11,78.44,77.92,69.7636,77.886,74.313,UP,1
2013-03-12,78.56,78.5,69.8388,78.066,74.4824,DOWN,0
2013-03-13,78.55,78.52,69.9152,78.298,74.6638,UP,1
2013-03-14,79.1,78.67,69.9952,78.568,74.8438,UP,1
2013-03-15,79.19,78.62,70.0786,78.768,75.0108,DOWN,0
2013-03-18,78.81,78.72,70.1597,78.842,75.1722,UP,1
2013-03-19,78.86,78.98,70.243,78.902,75.3184,UP,1
2013-03-20,79.45,79.18,70.3281,79.082,75.4794,DOWN,0
2013-03-21,79.01,79.12,70.4142,79.064,75.6314,UP,1
2013-03-22,79.74,79.11,70.5012,79.174,75.7916,DOWN,0
2013-03-25,79.68,79.83,70.5886,79.348,75.9414,UP,1
2013-03-26,80.85,79.93,70.6788,79.746,76.1114,UP,1
2013-03-27,81.27,80.56,70.7712,80.11,76.2856,UP,1
2013-03-28,81.53,81.37,70.8639,80.614,76.4688,UP,1
2013-04-01,81.93,81.39,70.963,81.052,76.6558,UP,1
2013-04-02,82.69,82.0,71.061,81.654,76.8516,DOWN,0
2013-04-03,82.07,82.74,71.1491,81.898,77.0284,UP,1
2013-04-04,82.41,82.2,71.2339,82.126,77.2228,DOWN,0
2013-04-05,82.04,81.79,71.3141,82.228,77.4066,DOWN,0
2013-04-08,81.11,81.27,71.3881,82.064,77.5668,UP,1
2013-04-09,81.52,81.26,71.4621,81.83,77.7188,UP,1
2013-04-10,82.02,81.83,71.5372,81.82,77.8868,UP,1
2013-04-11,82.32,82.14,71.6169,81.802,78.045,UP,1
2013-04-12,82.74,82.25,71.6974,81.942,78.218,DOWN,0
2013-04-15,81.71,82.72,71.7735,82.062,78.3738,UP,1
2013-04-16,83.44,82.33,71.8586,82.446,78.559,UP,1
2013-04-17,83.9,83.36,71.9439,82.822,78.7548,DOWN,0
2013-04-18,83.18,83.96,72.0251,82.994,78.9252,UP,1
2013-04-19,84.49,83.51,72.1097,83.344,79.1072,UP,1
2013-04-22,84.83,84.59,72.1939,83.968,79.3026,UP,1
2013-04-23,85.45,84.99,72.2809,84.37,79.502,DOWN,0
2013-04-24,84.39,85.68,72.364,84.468,79.6816,UP,1
2013-04-25,85.22,84.54,72.4519,84.876,79.87,DOWN,0
2013-04-26,85.12,85.3,72.5386,85.002,80.0592,UP,1
2013-04-29,85.58,85.02,72.6271,85.152,80.2546,DOWN,0
2013-04-30,85.23,85.39,72.7137,85.108,80.436,DOWN,0
2013-05-01,84.23,84.5,72.7963,85.076,80.5814,UP,1
2013-05-02,85.16,84.44,72.8791,85.064,80.7516,UP,1
2013-05-03,85.75,85.58,72.9656,85.19,80.9292,DOWN,0
2013-05-06,84.68,85.78,73.044,85.01,81.0978,UP,1
2013-05-07,85.53,84.87,73.1248,85.07,81.297,DOWN,0
2013-05-08,85.46,85.48,73.2044,85.316,81.4912,DOWN,0
2013-05-09,85.15,85.45,73.287,85.314,81.6678,UP,1
2013-05-10,85.76,85.29,73.3753,85.316,81.8608,UP,1
2013-05-13,85.85,85.56,73.4678,85.55,82.0438,UP,1
2013-05-14,86.97,85.76,73.565,85.838,82.2392,UP,1
2013-05-15,87.64,86.94,73.6595,86.274,82.4388,DOWN,0
2013-05-16,87.45,87.33,73.7491,86.734,82.64,UP,1
2013-05-17,88.09,87.47,73.8423,87.2,82.8468,DOWN,0
2013-05-20,88.01,88.1,73.9363,87.632,83.0432,UP,1
2013-05-21,88.59,87.94,74.0323,87.956,83.2462,DOWN,0
2013-05-22,88.46,88.7,74.1324,88.12,83.4442,DOWN,0
