ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-12-28,50.37,51.0,67.2334,50.084,62.3716,UP,1
2018-12-31,51.46,50.53,67.1435,50.412,62.0336,UP,1
2019-01-02,51.73,51.2,67.0595,51.012,61.6892,DOWN,0
2019-01-03,50.98,51.21,66.9723,51.044,61.3558,UP,1
2019-01-04,54.0,51.82,66.9105,51.708,61.096,UP,1
2019-01-07,54.37,54.11,66.8481,52.508,60.8256,DOWN,0
2019-01-08,54.06,55.4,66.7895,53.028,60.6002,DOWN,0
2019-01-09,53.92,54.36,66.7341,53.466,60.3718,UP,1
2019-01-10,55.16,53.66,66.6817,54.302,60.1734,UP,1
2019-01-11,56.07,54.83,66.6353,54.716,59.973,DOWN,0
2019-01-14,55.96,55.6,66.5851,55.034,59.757,UP,1
2019-01-15,56.77,56.04,66.5393,55.576,59.5456,UP,1
2019-01-16,57.27,56.63,66.5067,56.246,59.3204,DOWN,0
2019-01-17,56.72,56.83,66.4685,56.558,59.1016,UP,1
2019-01-18,57.37,57.29,66.437,56.818,58.8776,DOWN,0
2019-01-22,56.85,57.1,66.4003,56.996,58.6296,UP,1
2019-01-23,56.96,56.99,66.37,57.034,58.2472,DOWN,0
2019-01-24,56.39,56.82,66.3381,56.858,57.972,UP,1
2019-01-25,57.09,57.11,66.3076,56.932,57.7198,DOWN,0
2019-01-28,56.07,56.68,66.2732,56.672,57.4772,UP,1
2019-01-29,56.61,56.37,66.2419,56.624,57.32,DOWN,0
2019-01-30,55.84,57.0,66.2066,56.4,57.1498,UP,1
2019-01-31,56.13,55.8,66.1714,56.348,56.9796,UP,1
2019-02-01,56.3,56.0,66.1375,56.19,56.857,UP,1
2019-02-04,56.6,56.3,66.0997,56.296,56.78,UP,1
2019-02-05,56.85,56.85,66.0633,56.344,56.7432,DOWN,0
2019-02-06,56.15,56.73,66.0253,56.406,56.6736,UP,1
2019-02-07,57.03,56.09,65.995,56.586,56.621,DOWN,0
2019-02-08,56.13,56.75,65.9614,56.552,56.528,DOWN,0
2019-02-11,55.99,56.17,65.9249,56.43,56.3942,UP,1
2019-02-12,57.36,56.56,65.897,56.532,56.2292,UP,1
2019-02-13,57.92,57.5,65.8705,56.886,56.0744,UP,1
2019-02-14,58.09,57.49,65.847,57.098,55.915,UP,1
