ticker,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-12-04,28.31,29.0,29.374,28.6277,,UP,1
2017-12-05,28.36,28.39,28.802,28.6189,,UP,1
2017-12-06,28.46,28.22,28.612,28.6173,,UP,1
2017-12-07,29.17,30.86,28.604,28.6181,,DOWN,0
2017-12-08,27.16,28.76,28.292,28.5815,,DOWN,0
2017-12-11,26.49,26.61,27.928,28.5471,,DOWN,0
2017-12-12,25.56,26.25,27.368,28.5053,,UP,1
2017-12-13,26.05,25.7,26.886,28.4661,,UP,1
2017-12-14,26.06,26.0,26.264,28.4465,,DOWN,0
2017-12-15,25.95,26.13,26.022,28.4105,,DOWN,0
2017-12-18,25.23,25.92,25.77,28.3553,,UP,1
2017-12-19,25.48,25.13,25.754,28.3049,,DOWN,0
2017-12-20,25.4,25.42,25.624,28.2417,,UP,1
2017-12-21,25.68,25.28,25.548,28.1839,,DOWN,0
2017-12-22,25.52,25.6,25.462,28.1241,,UP,1
2017-12-26,26.07,25.53,25.63,28.0929,,DOWN,0
2017-12-27,26.01,26.11,25.736,28.0815,,DOWN,0
2017-12-28,25.76,26.09,25.808,28.0613,,DOWN,0
2017-12-29,25.61,25.73,25.794,28.0187,,UP,1
2018-01-02,26.46,25.55,25.982,27.9875,,UP,1
2018-01-03,26.49,25.87,26.066,27.9453,,UP,1
2018-01-04,26.57,26.5,26.178,27.9185,,DOWN,0
2018-01-05,26.54,26.5,26.334,27.8963,,DOWN,0
2018-01-08,26.39,26.65,26.49,27.8731,,UP,1
2018-01-09,26.42,26.4,26.482,27.8497,,UP,1
2018-01-10,26.51,26.1,26.486,27.8215,,UP,1
2018-01-11,26.57,26.6,26.486,27.7999,,UP,1
2018-01-12,27.0,26.59,26.578,27.7615,,DOWN,0
2018-01-16,26.35,27.0,26.57,27.7091,,UP,1
2018-01-17,26.78,26.58,26.642,27.6753,,UP,1
2018-01-18,27.0,26.9,26.74,27.6453,,UP,1
2018-01-19,29.18,27.15,27.262,27.6501,,UP,1
2018-01-22,29.8,30.92,27.822,27.6755,26.0604,UP,1
2018-01-23,30.38,30.55,28.628,27.6999,26.1273,UP,1
2018-01-24,30.79,30.76,29.43,27.7357,26.1637,DOWN,0
2018-01-25,30.52,30.93,30.134,27.7623,26.2001,UP,1
2018-01-26,30.98,30.77,30.494,27.7988,26.2384,DOWN,0
2018-01-29,30.41,31.16,30.616,27.824,26.2755,DOWN,0
2018-01-30,29.8,30.21,30.5,27.8476,26.3021,DOWN,0
2018-01-31,29.45,30.11,30.232,27.8428,26.3269,UP,1
2018-02-01,29.86,29.39,30.1,27.8552,26.3584,DOWN,0
2018-02-02,29.3,29.73,29.764,27.8504,26.3881,DOWN,0
2018-02-05,28.53,29.0,29.388,27.8214,26.4107,UP,1
2018-02-06,28.84,27.82,29.196,27.7984,26.4335,UP,1
2018-02-07,29.4,28.89,29.186,27.7608,26.4608,DOWN,0
2018-02-08,28.56,29.51,28.926,27.7154,26.48,UP,1
2018-02-09,28.87,28.78,28.84,27.6684,26.4968,UP,1
2018-02-12,30.63,30.38,29.26,27.6928,26.5183,UP,1
2018-02-13,31.57,30.67,29.806,27.74,26.5459,UP,1
2018-02-14,33.92,31.86,30.71,27.844,26.5879,DOWN,0
2018-02-15,33.36,34.51,31.67,27.945,26.6309,UP,1
2018-02-16,34.75,33.68,32.846,28.0728,26.6798,UP,1
2018-02-20,35.84,34.74,33.888,28.2204,26.7342,DOWN,0
2018-02-21,35.33,36.1,34.64,28.3436,26.7851,UP,1
2018-02-22,35.82,36.83,35.02,28.5168,26.8455,UP,1
2018-02-23,36.49,36.31,35.646,28.7168,26.9087,UP,1
2018-02-26,37.7,36.8,36.236,28.9596,26.9799,UP,1
2018-02-27,37.74,37.91,36.616,29.1934,27.0519,UP,1
2018-02-28,38.59,37.91,37.268,29.444,27.1264,DOWN,0
2018-03-01,36.4,38.65,37.384,29.653,27.1897,UP,1
2018-03-02,37.48,35.84,37.582,29.898,27.2608,UP,1
2018-03-05,38.84,37.47,37.81,30.1652,27.3404,DOWN,0
2018-03-06,38.22,39.31,37.906,30.4216,27.4166,UP,1
2018-03-07,39.14,37.53,38.016,30.6908,27.4911,UP,1
2018-03-08,42.6,40.32,39.256,31.0324,27.579,DOWN,0
2018-03-09,39.71,42.72,39.702,31.3052,27.655,DOWN,0
2018-03-12,39.69,39.88,39.872,31.5788,27.7322,UP,1
2018-03-13,40.5,39.67,40.328,31.8736,27.8094,DOWN,0
2018-03-14,39.7,40.38,40.44,32.1554,27.878,DOWN,0
2018-03-15,38.74,39.69,39.668,32.401,27.9417,DOWN,0
2018-03-16,38.57,38.76,39.44,32.6426,28.0041,DOWN,0
2018-03-19,37.99,38.21,39.1,32.871,28.0675,UP,1
2018-03-20,38.99,37.55,38.798,33.12,28.1378,UP,1
2018-03-21,39.51,39.35,38.76,33.3824,28.2123,DOWN,0
2018-03-22,39.21,39.14,38.854,33.6382,28.2841,DOWN,0
2018-03-23,38.38,39.04,38.816,33.8756,28.3476,UP,1
2018-03-26,39.8,39.0,39.178,34.1402,28.4108,DOWN,0
2018-03-27,38.46,39.95,39.072,34.3694,28.4777,DOWN,0
2018-03-28,38.27,38.21,38.824,34.6078,28.55,UP,1
2018-03-29,39.85,38.37,38.952,34.8692,28.6216,DOWN,0
2018-04-02,39.02,39.8,39.08,35.1096,28.6839,DOWN,0
2018-04-03,38.99,39.13,38.918,35.3058,28.7507,UP,1
2018-04-04,39.56,38.26,39.138,35.501,28.8161,DOWN,0
2018-04-05,38.98,40.0,39.28,35.673,28.8744,DOWN,0
2018-04-06,38.64,38.57,39.038,35.83,28.9346,UP,1
2018-04-09,38.66,39.08,38.966,35.9928,28.9982,UP,1
2018-04-10,39.22,39.45,39.012,36.1576,29.0628,UP,1
2018-04-11,40.35,39.14,39.17,36.3564,29.1369,UP,1
2018-04-12,40.75,40.43,39.524,36.5754,29.2142,DOWN,0
2018-04-13,40.59,41.07,39.914,36.7982,29.297,UP,1
2018-04-16,40.6,41.11,40.302,37.013,29.38,UP,1
2018-04-17,41.56,40.85,40.77,37.2582,29.4714,DOWN,0
2018-04-18,41.54,41.73,41.008,37.5184,29.5651,DOWN,0
2018-04-19,41.08,41.6,41.074,37.7632,29.658,UP,1
2018-04-20,41.97,41.0,41.35,38.0146,29.7559,UP,1
2018-04-23,43.32,43.7197,41.894,38.3098,29.8586,DOWN,0
2018-04-24,41.96,43.8497,41.974,38.5716,29.9514,UP,1
2018-04-25,42.0,42.0,42.066,38.799,30.0454,UP,1
2018-04-26,42.78,42.54,42.406,39.0232,30.1442,DOWN,0
2018-04-27,41.74,43.0,42.36,39.1796,30.2363,UP,1
2018-04-30,42.81,42.04,42.258,39.3686,30.3344,UP,1
2018-05-01,43.44,42.8,42.554,39.5424,30.4359,UP,1
2018-05-02,44.58,43.55,43.07,39.7172,30.54,UP,1
2018-05-03,45.54,44.5,43.622,39.9214,30.6489,UP,1
2018-05-04,45.76,45.55,44.426,40.1202,30.757,UP,1
2018-05-07,47.05,46.04,45.274,40.3314,30.8721,UP,1
2018-05-08,47.75,47.46,46.136,40.5324,30.9895,UP,1
2018-05-09,49.28,48.0,47.076,40.7632,31.1176,UP,1
2018-05-10,50.4,49.76,48.048,40.9994,31.2512,UP,1
2018-05-11,50.5,50.22,48.996,41.2814,31.3861,DOWN,0
2018-05-14,48.15,50.62,49.216,41.4948,31.5134,UP,1
2018-05-15,48.52,47.85,49.37,41.6884,31.6441,UP,1
2018-05-16,48.99,48.51,49.312,41.9038,31.7793,UP,1
2018-05-17,49.23,48.9,49.078,42.1056,31.912,UP,1
2018-05-18,49.72,49.41,48.922,42.248,32.0497,UP,1
2018-05-21,50.54,50.12,49.4,42.4646,32.1883,DOWN,0
2018-05-22,48.51,50.59,49.398,42.641,32.3158,UP,1
2018-05-23,49.52,48.46,49.504,42.8214,32.4462,UP,1
2018-05-24,50.68,49.54,49.794,43.041,32.5818,UP,1
2018-05-25,51.88,50.85,50.226,43.3038,32.7228,UP,1
2018-05-29,53.66,52.12,50.85,43.6056,32.8763,UP,1
2018-05-30,55.36,54.42,52.22,43.953,33.0342,UP,1
2018-05-31,56.21,55.4,53.558,44.2974,33.1951,UP,1
2018-06-01,57.35,56.52,54.892,44.6542,33.3638,UP,1
2018-06-04,57.36,58.03,55.988,45.0172,33.5277,DOWN,0
2018-06-05,54.58,55.98,56.172,45.3412,33.6794,DOWN,0
2018-06-06,54.14,55.0,55.928,45.628,33.8258,DOWN,0
2018-06-07,50.88,57.45,54.862,45.8764,33.9548,UP,1
2018-06-08,51.28,50.93,53.648,46.1366,34.0827,UP,1
2018-06-11,51.61,50.83,52.498,46.3718,34.2136,UP,1
2018-06-12,52.94,51.6,52.17,46.6502,34.3512,DOWN,0
2018-06-13,52.59,53.24,51.86,46.9222,34.4895,UP,1
2018-06-14,52.81,52.67,52.246,47.1872,34.6313,UP,1
2018-06-15,54.48,52.23,52.886,47.4972,34.7812,UP,1
2018-06-18,55.0,54.29,53.564,47.8244,34.9247,DOWN,0
2018-06-19,52.93,54.03,53.562,48.1098,35.0544,UP,1
2018-06-20,53.69,53.19,53.782,48.3992,35.1899,DOWN,0
2018-06-21,53.22,53.81,53.864,48.6566,35.3242,DOWN,0
2018-06-22,51.89,52.64,53.346,48.8794,35.4486,DOWN,0
2018-06-25,49.02,51.08,52.15,49.048,35.5581,UP,1
2018-06-26,49.57,49.52,51.478,49.2274,35.6544,DOWN,0
2018-06-27,48.31,50.78,50.402,49.3624,35.745,UP,1
2018-06-28,50.38,48.03,49.834,49.5392,35.8499,DOWN,0
2018-06-29,50.37,50.62,49.53,49.725,35.954,UP,1
2018-07-02,51.42,49.9,50.01,49.914,36.0662,DOWN,0
2018-07-03,50.82,51.61,50.26,50.064,36.1772,UP,1
2018-07-05,51.59,51.11,50.916,50.2566,36.2889,UP,1
2018-07-06,52.57,51.21,51.354,50.468,36.4045,DOWN,0
2018-07-09,51.86,53.0,51.652,50.6496,36.518,DOWN,0
2018-07-10,50.93,52.35,51.554,50.8334,36.6256,UP,1
2018-07-11,51.16,50.01,51.622,51.0004,36.7354,UP,1
2018-07-12,54.66,51.52,52.236,51.2248,36.8647,DOWN,0
2018-07-13,54.15,54.81,52.552,51.4162,36.9928,DOWN,0
2018-07-16,54.07,53.98,52.994,51.5868,37.1175,UP,1
2018-07-17,55.83,53.65,53.974,51.7882,37.2517,UP,1
2018-07-18,56.35,55.5,55.012,51.9742,37.3924,DOWN,0
2018-07-19,55.98,56.25,55.276,52.1388,37.534,UP,1
2018-07-20,56.33,56.27,55.712,52.2798,37.6756,UP,1
2018-07-23,57.15,56.17,56.328,52.4148,37.8262,DOWN,0
2018-07-24,55.12,57.73,56.186,52.5072,37.963,UP,1
2018-07-25,57.38,55.15,56.392,52.6918,38.11,UP,1
2018-07-26,57.79,56.6,56.754,52.8772,38.2589,DOWN,0
2018-07-27,55.11,58.57,56.51,52.9996,38.3917,DOWN,0
2018-07-30,49.81,55.44,55.042,53.0112,38.4979,DOWN,0
2018-07-31,49.65,50.26,53.948,53.0098,38.6036,UP,1
2018-08-01,52.01,50.0,52.874,53.0392,38.7255,UP,1
2018-08-02,54.59,51.39,52.234,53.1608,38.8655,DOWN,0
2018-08-03,52.93,54.51,51.798,53.229,38.9963,UP,1
2018-08-06,55.38,53.1,52.912,53.323,39.1345,DOWN,0
2018-08-07,54.87,55.81,53.956,53.3828,39.2688,UP,1
2018-08-08,54.91,54.94,54.536,53.4078,39.4003,UP,1
2018-08-09,56.71,55.01,54.96,53.4348,39.5443,DOWN,0
2018-08-10,56.11,56.27,55.596,53.4328,39.6866,DOWN,0
2018-08-13,54.92,55.88,55.504,53.3842,39.8235,UP,1
2018-08-14,55.56,55.3,55.642,53.3482,39.9633,DOWN,0
2018-08-15,54.45,54.9,55.55,53.3456,40.096,UP,1
2018-08-16,54.86,55.29,55.18,53.36,40.232,UP,1
