ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-21,22.9688,22.8125,21.7108,23.25,24.5656,DOWN,0
2000-06-22,22.9688,23.0625,21.7098,23.0438,24.5425,UP,1
2000-06-23,23.0625,23.1563,21.7089,22.9063,24.5144,UP,1
2000-06-26,23.25,23.0625,21.7092,22.9813,24.4963,UP,1
2000-06-27,24.25,23.2813,21.7158,23.3,24.5219,DOWN,0
2000-06-28,24.1758,24.3125,21.7227,23.5414,24.546,DOWN,0
2000-06-29,23.7188,24.0625,21.7256,23.6914,24.571,UP,1
2000-06-30,23.875,23.5313,21.7351,23.8539,24.6073,UP,1
2000-07-03,24.6563,23.875,21.7495,24.1352,24.636,UP,1
2000-07-05,24.7344,25.25,21.7652,24.232,24.6613,DOWN,0
2000-07-06,23.375,24.125,21.7767,24.0719,24.6482,UP,1
2000-07-07,24.1563,23.875,21.793,24.1594,24.6688,DOWN,0
2000-07-10,24.0,24.0938,21.813,24.1844,24.6845,UP,1
2000-07-11,24.9063,23.875,21.8395,24.2344,24.6595,DOWN,0
2000-07-12,24.5313,24.9063,21.8611,24.1938,24.6251,UP,1
2000-07-13,24.9063,24.5625,21.8855,24.5,24.5957,DOWN,0
2000-07-14,24.4375,24.8438,21.9059,24.5563,24.5663,DOWN,0
2000-07-17,23.9063,24.3125,21.9258,24.5375,24.5226,UP,1
2000-07-18,24.0313,23.9063,21.9469,24.3625,24.4813,DOWN,0
2000-07-19,23.625,23.9688,21.965,24.1813,24.4395,DOWN,0
2000-07-20,23.4063,23.6875,21.9844,23.8813,24.3913,UP,1
2000-07-21,23.7188,23.5313,22.0047,23.7375,24.3563,DOWN,0
2000-07-24,23.5938,23.5938,22.0228,23.675,24.2982,DOWN,0
2000-07-25,23.3125,23.5,22.0366,23.5313,24.2426,DOWN,0
2000-07-26,23.0313,23.3125,22.0495,23.4125,24.1688,UP,1
2000-07-27,23.6875,23.125,22.0674,23.4688,24.1138,DOWN,0
2000-07-28,23.5313,24.0,22.0872,23.4313,24.0651,DOWN,0
2000-07-31,23.4375,23.4063,22.1042,23.4,24.0182,DOWN,0
2000-08-01,23.25,23.4375,22.1252,23.3875,23.9545,DOWN,0
2000-08-02,23.1563,23.25,22.1436,23.4125,23.8763,UP,1
2000-08-03,23.7188,23.0938,22.1674,23.4188,23.817,DOWN,0
2000-08-04,21.4375,23.1563,22.1813,23.0,23.7195,UP,1
2000-08-07,22.125,21.4375,22.2002,22.7375,23.6645,DOWN,0
2000-08-08,22.0,22.125,22.2167,22.4875,23.6145,UP,1
2000-08-09,22.375,22.125,22.2297,22.3313,23.5757,DOWN,0
2000-08-10,22.0313,22.5,22.2438,21.9938,23.5607,UP,1
2000-08-11,22.4375,21.9063,22.2603,22.1938,23.5338,DOWN,0
2000-08-14,22.4375,22.4375,22.2774,22.2563,23.5082,UP,1
2000-08-15,22.8594,22.4375,22.2952,22.4281,23.5048,UP,1
2000-08-16,23.1875,23.0,22.3168,22.5906,23.4991,DOWN,0
2000-08-17,22.9688,23.1875,22.336,22.7781,23.4804,UP,1
2000-08-18,23.0313,22.9688,22.3556,22.8969,23.4641,DOWN,0
2000-08-21,22.875,22.9063,22.3731,22.9844,23.4398,UP,1
2000-08-22,22.9844,22.75,22.3931,23.0094,23.4226,DOWN,0
2000-08-23,22.5313,22.9063,22.4105,22.8781,23.4001,UP,1
