ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-06,5.9219,5.5313,4.7378,5.7063,5.8278,DOWN,0
2000-04-07,5.7344,5.875,4.7392,5.6875,5.8644,DOWN,0
2000-04-10,5.4844,5.7813,4.7405,5.6375,5.8941,DOWN,0
2000-04-11,5.3281,5.4844,4.7422,5.6031,5.9253,UP,1
2000-04-12,5.4375,5.4375,4.744,5.5813,5.9528,UP,1
2000-04-13,5.5625,5.4688,4.7427,5.5094,5.9819,UP,1
2000-04-14,5.9219,5.5625,4.7455,5.5469,6.0128,UP,1
2000-04-17,6.3438,5.875,4.7504,5.7188,6.0512,DOWN,0
2000-04-18,6.2031,6.25,4.7546,5.8938,6.0856,DOWN,0
2000-04-19,6.1563,6.2188,4.7587,6.0375,6.1144,UP,1
2000-04-20,6.4375,6.1563,4.7632,6.2125,6.1534,DOWN,0
2000-04-24,6.2188,6.2188,4.7663,6.2719,6.1878,UP,1
2000-04-25,6.2344,6.2188,4.7695,6.25,6.2227,UP,1
2000-04-26,6.3125,6.1875,4.7748,6.2719,6.2573,UP,1
2000-04-27,6.3438,6.1875,4.7817,6.3094,6.2936,UP,1
2000-04-28,6.5625,6.2813,4.7893,6.3344,6.3236,UP,1
2000-05-01,7.0313,7.3438,4.7975,6.4969,6.3611,DOWN,0
2000-05-02,6.6406,7.0078,4.8049,6.5781,6.3945,DOWN,0
2000-05-03,6.3281,6.6953,4.8116,6.5813,6.4192,UP,1
2000-05-04,6.375,6.2656,4.8172,6.5875,6.4317,UP,1
2000-05-05,6.4688,6.3438,4.8245,6.5688,6.4395,UP,1
2000-05-08,6.75,6.4688,4.8335,6.5125,6.4336,DOWN,0
2000-05-09,6.7188,6.75,4.8429,6.5281,6.4252,DOWN,0
2000-05-10,6.4531,6.7344,4.8506,6.5531,6.4064,UP,1
2000-05-11,6.7344,6.5,4.8605,6.625,6.3955,DOWN,0
2000-05-12,6.6875,6.6719,4.8701,6.6688,6.3858,UP,1
