ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-10-17,34.8,35.0,36.8289,35.006,34.3742,UP,1
2006-10-18,35.25,35.07,36.7914,35.106,34.4318,DOWN,0
2006-10-19,34.93,35.17,36.7535,35.034,34.4724,UP,1
2006-10-20,35.08,35.05,36.7195,35.072,34.511,UP,1
2006-10-23,35.92,35.19,36.6777,35.196,34.5828,UP,1
2006-10-24,36.54,36.05,36.6422,35.544,34.6666,UP,1
2006-10-25,36.87,36.74,36.6139,35.868,34.7274,UP,1
2006-10-26,37.28,37.11,36.5906,36.338,34.7846,DOWN,0
2006-10-27,36.21,37.07,36.5632,36.564,34.809,UP,1
2006-10-30,37.13,36.44,36.5344,36.806,34.8594,DOWN,0
2006-10-31,36.75,37.0,36.5053,36.848,34.9188,DOWN,0
2006-11-01,36.26,36.94,36.4711,36.726,34.9758,DOWN,0
2006-11-02,36.02,36.33,36.4313,36.474,35.0222,DOWN,0
2006-11-03,36.01,36.06,36.3995,36.434,35.0774,UP,1
2006-11-06,36.04,36.03,36.3695,36.216,35.128,DOWN,0
2006-11-07,35.44,35.64,36.336,35.954,35.159,UP,1
2006-11-08,35.52,35.11,36.3058,35.806,35.1978,DOWN,0
2006-11-09,34.74,35.47,36.274,35.55,35.2072,DOWN,0
2006-11-10,34.68,34.88,36.2423,35.284,35.2056,UP,1
2006-11-13,35.34,34.64,36.2158,35.144,35.2326,UP,1
2006-11-14,36.03,35.52,36.193,35.262,35.269,UP,1
2006-11-15,36.62,36.28,36.1791,35.482,35.337,UP,1
2006-11-16,37.0,36.77,36.1788,35.934,35.4474,UP,1
2006-11-17,40.55,39.86,36.2037,37.108,35.5886,UP,1
2006-11-20,40.8,40.55,36.2312,38.2,35.7338,UP,1
2006-11-21,40.93,40.94,36.2576,39.18,35.8664,UP,1
