ticker,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2019-07-30,85.43,82.77,76.4913,80.758,81.5238,DOWN,0
2019-07-31,84.92,85.5,76.6071,81.912,81.6856,DOWN,0
2019-08-01,84.85,84.52,76.7186,83.122,81.809,DOWN,0
2019-08-02,83.47,84.73,76.8258,83.786,81.898,DOWN,0
2019-08-05,80.92,82.32,76.9058,83.918,81.9064,UP,1
2019-08-06,82.63,81.2,76.9938,83.358,81.924,DOWN,0
2019-08-07,80.46,81.78,77.0739,82.466,81.898,UP,1
2019-08-08,81.26,80.66,77.1499,81.748,81.9714,UP,1
2019-08-09,81.79,80.97,77.2329,81.412,82.0324,UP,1
2019-08-12,82.48,81.66,77.3201,81.724,82.1094,UP,1
2019-08-13,82.89,82.3,77.43,81.776,82.176,DOWN,0
2019-08-14,81.06,82.14,77.5138,81.896,82.166,DOWN,0
2019-08-15,80.61,80.96,77.5971,81.766,82.1578,UP,1
2019-08-16,83.12,81.42,77.6961,82.032,82.223,UP,1
2019-08-19,84.52,84.08,77.8136,82.44,82.2968,DOWN,0
2019-08-20,84.1,84.23,77.91,82.682,82.4428,UP,1
2019-08-21,86.07,84.75,77.9982,83.684,82.653,DOWN,0
2019-08-22,85.56,86.32,78.0889,84.674,82.8482,DOWN,0
2019-08-23,81.91,85.56,78.1536,84.432,82.959,UP,1
2019-08-26,82.81,82.29,78.225,84.09,83.061,DOWN,0
2019-08-27,80.26,83.51,78.2812,83.322,83.0294,UP,1
2019-08-28,81.35,79.87,78.3446,82.378,82.9708,UP,1
2019-08-29,82.44,82.06,78.4266,81.754,82.9222,DOWN,0
2019-08-30,81.82,82.77,78.5214,81.736,82.8272,DOWN,0
2019-09-03,80.06,81.73,78.6031,81.186,82.6544,DOWN,0
2019-09-04,77.62,81.0,78.6704,80.658,82.4684,UP,1
2019-09-05,79.27,79.92,78.7416,80.242,82.3016,DOWN,0
2019-09-06,79.24,79.45,78.8053,79.602,82.1738,DOWN,0
2019-09-09,78.97,78.53,78.8789,79.032,82.0588,DOWN,0
2019-09-10,77.91,78.37,78.9505,78.602,81.9178,UP,1
2019-09-11,78.48,77.85,79.0225,78.774,81.779,DOWN,0
2019-09-12,76.07,78.75,79.0795,78.134,81.6002,UP,1
2019-09-13,76.43,76.4,79.1248,77.572,81.3984,UP,1
2019-09-16,78.34,76.19,79.1805,77.446,81.2596,UP,1
2019-09-17,79.1,77.71,79.2472,77.684,81.1814,DOWN,0
2019-09-18,78.54,79.52,79.316,77.696,81.0758,DOWN,0
2019-09-19,78.12,78.5,79.3853,78.106,80.9628,UP,1
2019-09-20,81.21,78.52,79.4498,79.062,80.9624,DOWN,0
2019-09-23,77.64,81.01,79.5104,78.922,80.9132,DOWN,0
2019-09-24,76.95,78.38,79.5696,78.492,80.8244,DOWN,0
2019-09-25,75.07,76.62,79.6224,77.798,80.7282,DOWN,0
2019-09-26,73.76,75.19,79.6641,76.926,80.5988,DOWN,0
2019-09-27,72.82,74.27,79.7002,75.248,80.429,UP,1
2019-09-30,74.23,72.93,79.733,74.566,80.3028,DOWN,0
2019-10-01,73.96,73.53,79.7664,73.968,80.1478,DOWN,0
2019-10-02,73.04,73.97,79.8003,73.562,80.0384,UP,1
2019-10-03,74.88,73.64,79.8506,73.786,79.953,DOWN,0
2019-10-04,74.87,74.91,79.9037,74.196,79.8744,DOWN,0
2019-10-07,74.76,73.01,79.9637,74.302,79.7666,DOWN,0
2019-10-08,74.44,74.44,80.0273,74.398,79.6502,UP,1
2019-10-09,74.68,75.13,80.1073,74.726,79.4352,UP,1
2019-10-10,75.77,74.55,80.1937,74.904,79.2522,UP,1
2019-10-11,76.12,76.28,80.2642,75.154,79.0776,UP,1
2019-10-14,77.46,76.39,80.3398,75.694,78.9574,UP,1
