ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-05-05,61.68,62.27,62.864,62.2982,58.4248,UP,1
2016-05-06,62.51,61.05,62.882,62.3914,58.5007,DOWN,0
2016-05-09,61.85,62.51,62.55,62.4536,58.5639,UP,1
2016-05-10,62.4,61.94,62.14,62.5204,58.6343,DOWN,0
2016-05-11,62.33,62.25,62.154,62.5618,58.7071,DOWN,0
2016-05-12,60.93,62.5,62.004,62.5702,58.7628,UP,1
2016-05-13,61.45,60.56,61.792,62.59,58.8212,UP,1
2016-05-16,62.86,61.67,61.994,62.6112,58.8801,DOWN,0
2016-05-17,62.09,62.97,61.932,62.6228,58.932,UP,1
2016-05-18,63.01,61.7,62.068,62.7058,58.9914,DOWN,0
2016-05-19,62.12,62.75,62.306,62.7528,59.0494,UP,1
2016-05-20,64.12,62.65,62.84,62.8422,59.1137,UP,1
2016-05-23,65.37,64.18,63.342,62.928,59.186,UP,1
2016-05-24,66.89,65.87,64.302,63.0592,59.2638,DOWN,0
2016-05-25,66.89,67.52,65.078,63.2034,59.3377,UP,1
2016-05-26,67.86,66.91,66.226,63.3522,59.4228,UP,1
2016-05-27,68.52,67.66,67.106,63.5108,59.5095,DOWN,0
2016-05-31,68.33,68.6,67.698,63.6266,59.5976,UP,1
2016-06-01,68.72,67.56,68.064,63.772,59.6867,DOWN,0
2016-06-02,68.69,68.58,68.424,63.9152,59.7731,UP,1
2016-06-03,68.7,68.85,68.592,64.0706,59.8662,UP,1
2016-06-06,68.77,68.8,68.642,64.2218,59.9627,UP,1
2016-06-07,70.22,69.19,69.02,64.4078,60.0758,UP,1
2016-06-08,70.63,70.4,69.402,64.577,60.1943,UP,1
2016-06-09,70.75,70.03,69.814,64.741,60.3206,DOWN,0
2016-06-10,69.07,69.78,69.888,64.8496,60.4395,DOWN,0
2016-06-13,68.6,68.33,69.854,64.9326,60.5467,UP,1
2016-06-14,68.75,68.6,69.56,65.0382,60.6488,UP,1
2016-06-15,68.96,69.15,69.226,65.1606,60.7514,DOWN,0
2016-06-16,68.91,68.43,68.858,65.261,60.8555,DOWN,0
2016-06-17,67.9,69.08,68.624,65.3496,60.9614,UP,1
2016-06-20,68.38,68.51,68.58,65.4442,61.0636,DOWN,0
2016-06-21,68.23,68.61,68.476,65.5384,61.1621,DOWN,0
2016-06-22,68.17,68.33,68.318,65.631,61.2619,UP,1
2016-06-23,69.89,68.95,68.514,65.711,61.3604,DOWN,0
2016-06-24,66.2,66.4,68.174,65.7298,61.4431,DOWN,0
2016-06-27,63.3,65.42,67.158,65.702,61.5112,UP,1
2016-06-28,66.35,63.91,66.782,65.7306,61.5898,UP,1
2016-06-29,66.92,67.22,66.532,65.7902,61.6716,UP,1
2016-06-30,68.32,66.81,66.218,65.8814,61.7575,DOWN,0
2016-07-01,67.6,68.18,66.498,65.9652,61.8404,DOWN,0
2016-07-05,66.11,67.26,67.06,66.0036,61.9151,UP,1
2016-07-06,66.52,65.45,67.094,66.06,61.9955,UP,1
2016-07-07,67.43,66.97,67.196,66.1098,62.0811,UP,1
2016-07-08,68.83,68.1,67.298,66.1792,62.179,UP,1
2016-07-11,69.81,69.25,67.74,66.2916,62.2819,UP,1
2016-07-12,70.71,70.34,68.66,66.4574,62.3886,DOWN,0
2016-07-13,70.33,70.89,69.422,66.5938,62.4877,UP,1
2016-07-14,70.61,71.1,70.058,66.717,62.5948,UP,1
2016-07-15,70.92,70.96,70.476,66.8902,62.7017,DOWN,0
2016-07-18,70.85,71.39,70.684,67.0736,62.8,UP,1
2016-07-19,70.98,70.85,70.738,67.243,62.9028,UP,1
2016-07-20,72.31,71.47,71.134,67.4522,63.0067,DOWN,0
2016-07-21,71.54,72.42,71.32,67.635,63.0982,UP,1
2016-07-22,72.08,71.42,71.552,67.83,63.1877,UP,1
