ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-03-16,27.4462,25.5394,30.2766,24.326,26.7748,DOWN,0
2000-03-17,25.4816,27.3884,30.2125,24.8114,26.6927,UP,1
2000-03-20,25.8861,25.5394,30.1446,25.4239,26.5795,UP,1
2000-03-21,26.3484,25.655,30.0793,26.0941,26.4316,DOWN,0
2000-03-22,25.0194,25.655,30.0114,26.0363,26.2987,UP,1
2000-03-23,26.175,25.5394,29.9528,25.7821,26.2178,UP,1
2000-03-24,26.7528,25.655,29.897,26.0363,26.138,DOWN,0
2000-03-27,25.8283,26.3484,29.834,26.0248,26.0444,UP,1
2000-03-28,25.9439,25.7705,29.7629,25.9439,25.9647,UP,1
2000-03-29,26.2906,25.8283,29.6887,26.1981,25.9208,UP,1
2000-03-30,26.5795,26.3484,29.6179,26.279,25.8815,DOWN,0
2000-03-31,26.2906,26.6951,29.5411,26.1866,25.8549,UP,1
2000-04-03,27.8507,26.5217,29.47,26.591,25.8769,DOWN,0
2000-04-04,27.504,28.1974,29.3934,26.9031,25.8688,DOWN,0
2000-04-05,27.4462,27.5618,29.3221,27.1342,25.8434,DOWN,0
2000-04-06,27.3306,27.3306,29.2519,27.2844,25.8075,DOWN,0
2000-04-07,27.0417,27.2151,29.1976,27.4347,25.7775,UP,1
2000-04-10,27.2151,27.0995,29.1441,27.3075,25.7705,UP,1
2000-04-11,28.6018,27.2151,29.0967,27.5271,25.7948,UP,1
2000-04-12,29.2952,29.0063,29.0511,27.8969,25.8145,DOWN,0
2000-04-13,27.7929,29.0063,29.004,27.9894,25.8087,DOWN,0
2000-04-14,26.7528,27.7929,28.948,27.9316,25.7752,UP,1
2000-04-17,27.6196,26.8684,28.8876,28.0125,25.7567,DOWN,0
2000-04-18,27.1573,27.6196,28.8278,27.7236,25.7301,DOWN,0
2000-04-19,25.7705,27.2151,28.7607,27.0186,25.6873,UP,1
2000-04-20,27.6196,25.7128,28.7038,26.984,25.7105,UP,1
2000-04-24,29.1797,26.8106,28.651,27.4693,25.7752,UP,1
2000-04-25,30.2775,29.5841,28.6117,28.0009,25.8826,DOWN,0
