ticker,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-01-12,153.57,152.0,151.786,142.0886,,UP,1
2021-01-13,155.02,154.0,153.028,142.8534,,DOWN,0
2021-01-14,149.05,156.79,152.266,143.4548,,UP,1
2021-01-15,150.85,149.07,152.078,144.0392,,DOWN,0
2021-01-19,146.14,151.5,150.926,144.3882,,UP,1
2021-01-20,147.63,147.26,149.738,144.6414,,DOWN,0
2021-01-21,144.49,148.59,147.632,144.88,,DOWN,0
2021-01-22,141.0,143.0,146.022,144.9556,,DOWN,0
2021-01-25,139.42,141.59,143.736,145.0996,,DOWN,0
2021-01-26,138.42,139.42,142.192,145.1998,,DOWN,0
2021-01-27,131.55,135.74,138.976,145.2056,,UP,1
2021-01-28,141.52,132.39,138.382,145.404,,DOWN,0
2021-01-29,139.86,141.18,138.154,145.5046,,UP,1
2021-02-01,145.95,142.41,139.46,145.7966,,UP,1
2021-02-02,150.09,149.2,141.794,146.1714,,DOWN,0
2021-02-03,138.12,146.0,143.108,146.2876,,UP,1
2021-02-04,150.63,141.77,144.93,146.6888,,UP,1
2021-02-05,159.82,151.46,148.922,147.1206,,DOWN,0
2021-02-08,159.0,160.17,151.532,147.5272,,DOWN,0
2021-02-09,158.87,159.0,153.288,147.9244,,UP,1
2021-02-10,171.07,165.6,159.878,148.5532,,UP,1
2021-02-11,172.13,171.02,164.178,149.2116,,DOWN,0
2021-02-12,169.53,172.16,166.12,149.736,,DOWN,0
2021-02-16,164.86,170.65,167.292,150.2546,,DOWN,0
2021-02-17,160.8,162.15,167.678,150.6678,,UP,1
2021-02-18,162.24,159.04,165.912,151.0048,,DOWN,0
2021-02-19,160.95,164.022,163.676,151.3024,,DOWN,0
2021-02-22,156.71,159.83,161.112,151.5282,,UP,1
2021-02-23,161.33,155.43,160.406,151.8844,,DOWN,0
2021-02-24,160.79,160.01,160.404,152.1538,,DOWN,0
2021-02-25,151.72,159.75,158.3,152.226,,UP,1
2021-02-26,152.85,152.92,156.68,152.3868,,UP,1
2021-03-01,156.52,157.87,156.642,152.5004,,DOWN,0
2021-03-02,152.51,156.99,154.878,152.4726,,DOWN,0
2021-03-03,147.34,151.48,152.188,152.4444,,DOWN,0
2021-03-04,143.66,146.23,150.576,152.2162,,UP,1
2021-03-05,146.29,149.01,149.264,152.059,,DOWN,0
2021-03-08,145.56,146.3,147.072,151.8478,,UP,1
2021-03-09,152.11,148.85,146.992,151.8222,,DOWN,0
2021-03-10,146.85,152.87,146.894,151.7176,,UP,1
2021-03-11,155.35,150.97,149.232,151.823,,DOWN,0
2021-03-12,153.38,154.23,150.65,151.8862,,UP,1
2021-03-15,153.93,152.5,152.324,151.9248,,UP,1
2021-03-16,154.19,155.72,152.74,151.9848,,UP,1
2021-03-17,154.41,151.43,154.252,152.0746,,DOWN,0
2021-03-18,147.14,151.41,152.61,152.0116,,UP,1
2021-03-19,152.7,147.88,152.474,152.0894,,UP,1
2021-03-22,154.89,153.37,152.666,152.13,,DOWN,0
2021-03-23,145.89,154.54,151.006,152.012,,DOWN,0
2021-03-24,139.8,146.79,148.084,151.77,,DOWN,0
2021-03-25,134.6,138.14,145.576,151.3906,,UP,1
2021-03-26,138.27,134.51,142.69,151.0556,,DOWN,0
2021-03-29,133.15,137.6,138.342,150.7376,,DOWN,0
2021-03-30,131.48,132.44,135.46,150.3502,,UP,1
2021-03-31,137.38,133.32,134.976,150.175,,UP,1
2021-04-01,142.66,139.54,136.588,150.0756,,UP,1
2021-04-05,144.15,142.23,137.764,150.0688,,DOWN,0
2021-04-06,143.14,144.39,139.762,150.1116,,DOWN,0
2021-04-07,141.86,142.89,141.838,150.1604,,UP,1
2021-04-08,145.55,143.95,143.472,150.303,,DOWN,0
2021-04-09,143.87,144.33,143.714,150.5494,,UP,1
2021-04-12,144.53,145.56,143.79,150.6096,,UP,1
2021-04-13,146.15,142.36,144.392,150.7354,,DOWN,0
2021-04-14,144.18,146.0,144.856,150.7,,UP,1
2021-04-15,146.47,146.645,145.04,150.6276,,DOWN,0
2021-04-16,145.3,145.92,145.326,150.7712,129.9982,UP,1
2021-04-19,146.0,145.29,145.62,150.6786,130.1999,DOWN,0
2021-04-20,139.72,145.33,144.334,150.2766,130.4039,UP,1
2021-04-21,141.05,138.3,143.708,149.9176,130.6352,UP,1
2021-04-22,143.48,141.29,143.11,149.6098,130.8926,UP,1
2021-04-23,149.01,142.81,143.852,149.1686,131.1667,UP,1
2021-04-26,152.5,150.885,145.152,148.776,131.4475,UP,1
2021-04-27,157.8,153.47,148.768,148.5414,131.7346,UP,1
2021-04-28,159.13,155.44,152.384,148.4268,132.0457,DOWN,0
2021-04-29,156.55,160.14,154.998,148.3418,132.3388,DOWN,0
2021-04-30,155.63,154.26,156.322,148.2096,132.6348,DOWN,0
2021-05-03,148.44,156.26,155.51,147.9594,132.9047,DOWN,0
2021-05-04,138.93,146.68,151.736,147.6038,133.1406,UP,1
2021-05-05,143.67,147.0,148.644,147.2506,133.3731,DOWN,0
2021-05-06,139.96,142.16,145.326,146.834,133.6032,UP,1
2021-05-07,146.19,142.74,143.438,146.7234,133.8673,DOWN,0
2021-05-10,141.81,144.15,142.112,146.5026,134.1206,UP,1
2021-05-11,146.4,137.5,143.606,146.3002,134.4008,DOWN,0
2021-05-12,141.62,142.88,143.196,146.0824,134.6501,DOWN,0
2021-05-13,138.4,142.945,142.884,145.9036,134.8499,UP,1
2021-05-14,142.19,140.13,142.084,145.8742,135.0469,DOWN,0
2021-05-17,139.99,140.35,141.72,145.7482,135.2351,DOWN,0
2021-05-18,136.86,141.7,139.812,145.5742,135.4059,UP,1
2021-05-19,138.84,132.69,139.256,145.3088,135.548,UP,1
2021-05-20,142.78,137.24,140.132,145.2274,135.7241,UP,1
2021-05-21,143.32,144.08,140.358,144.9868,135.8371,UP,1
2021-05-24,147.3,144.18,141.82,144.8652,136.0038,DOWN,0
2021-05-25,144.26,148.49,143.3,144.6718,136.1457,UP,1
2021-05-26,144.64,144.98,144.46,144.4808,136.2906,DOWN,0
2021-05-27,143.01,143.87,144.506,144.2528,136.4282,UP,1
2021-05-28,143.38,142.6299,144.518,144.1776,136.5655,DOWN,0
2021-06-01,143.22,143.87,143.702,143.988,136.6944,DOWN,0
2021-06-02,139.43,143.22,142.736,143.6788,136.7975,DOWN,0
2021-06-03,136.81,137.83,141.17,143.4972,136.9111,UP,1
2021-06-04,137.93,136.595,140.154,143.4598,137.0247,UP,1
2021-06-07,143.48,138.02,140.174,143.6374,137.1713,DOWN,0
2021-06-08,142.85,144.1,140.1,143.729,137.3201,DOWN,0
2021-06-09,141.77,144.88,140.568,143.9014,137.4663,UP,1
2021-06-10,141.88,141.0,141.582,144.1094,137.6162,DOWN,0
2021-06-11,141.57,141.69,142.31,144.1932,137.7626,UP,1
2021-06-14,143.86,141.85,142.386,144.2172,137.9193,DOWN,0
2021-06-15,142.34,143.59,142.284,144.181,138.0733,UP,1
2021-06-16,143.02,142.6,142.534,144.1786,138.2309,UP,1
2021-06-17,150.25,141.89,144.208,144.3464,138.4238,UP,1
2021-06-18,153.92,151.12,146.678,144.5138,138.6263,UP,1
