ticker,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-22,14.7031,15.0156,11.1986,15.0914,13.2543,DOWN,0
2000-08-23,14.4375,14.8594,11.2348,14.9664,13.3087,UP,1
2000-08-24,14.875,14.3438,11.274,14.8883,13.3709,UP,1
2000-08-25,15.4375,14.875,11.3121,14.9195,13.4455,DOWN,0
2000-08-28,14.75,15.3438,11.3463,14.8406,13.5043,UP,1
2000-08-29,14.8438,14.8281,11.3807,14.8688,13.5712,DOWN,0
2000-08-30,14.8281,14.7813,11.4148,14.9469,13.6474,DOWN,0
2000-08-31,14.7969,14.875,11.4488,14.9313,13.7309,DOWN,0
2000-09-01,14.6563,14.8594,11.4828,14.775,13.8165,DOWN,0
2000-09-05,14.5469,14.6875,11.5136,14.7344,13.8987,DOWN,0
2000-09-06,14.5469,14.5313,11.5457,14.675,13.9809,UP,1
2000-09-07,14.6875,14.5313,11.5773,14.6469,14.0668,DOWN,0
2000-09-08,14.6094,14.6875,11.6069,14.6094,14.1465,DOWN,0
2000-09-11,14.2188,14.5781,11.6344,14.5219,14.223,UP,1
2000-09-12,14.3281,14.0,11.6629,14.4781,14.2621,UP,1
2000-09-13,14.7578,14.4063,11.694,14.5203,14.3201,UP,1
2000-09-14,14.8906,14.75,11.7249,14.5609,14.3791,DOWN,0
2000-09-15,14.875,14.75,11.7549,14.6141,14.4416,DOWN,0
2000-09-18,14.0313,14.9063,11.7812,14.5766,14.4848,UP,1
2000-09-19,14.0469,14.0781,11.8069,14.5203,14.5157,UP,1
2000-09-20,14.125,14.1563,11.8336,14.3938,14.5407,UP,1
2000-09-21,14.5625,14.3125,11.8625,14.3281,14.566,DOWN,0
2000-09-22,14.4531,14.5625,11.8909,14.2438,14.5895,DOWN,0
2000-09-25,14.4063,14.375,11.9197,14.3188,14.6066,DOWN,0
2000-09-26,14.0781,14.4531,11.9483,14.325,14.6113,DOWN,0
2000-09-27,13.9102,14.1406,11.9754,14.282,14.6114,UP,1
2000-09-28,14.1406,13.8125,12.0027,14.1977,14.628,DOWN,0
2000-09-29,14.0898,14.25,12.0292,14.125,14.6279,DOWN,0
2000-10-02,13.3906,13.9688,12.0518,13.9219,14.6123,DOWN,0
2000-10-03,13.125,13.5313,12.0722,13.7313,14.5954,UP,1
2000-10-04,13.7344,13.125,12.093,13.6961,14.5851,DOWN,0
2000-10-05,13.7031,13.5625,12.1128,13.6086,14.5607,DOWN,0
2000-10-06,13.2031,13.9531,12.1313,13.4313,14.5301,DOWN,0
2000-10-09,11.9844,13.1211,12.143,13.15,14.4701,UP,1
2000-10-10,13.1563,12.2734,12.1588,13.1563,14.4144,UP,1
2000-10-11,13.5469,13.5781,12.1739,13.1188,14.3863,DOWN,0
2000-10-12,13.3281,13.625,12.1899,13.0438,14.3603,UP,1
2000-10-13,13.9063,13.1875,12.2098,13.1844,14.3481,UP,1
2000-10-16,14.125,13.75,12.2307,13.6125,14.3416,DOWN,0
2000-10-17,14.0,13.9688,12.2518,13.7813,14.3313,DOWN,0
2000-10-18,12.7813,13.6719,12.2685,13.6281,14.303,DOWN,0
2000-10-19,12.6602,12.7656,12.2851,13.4945,14.2656,UP,1
2000-10-20,13.0,12.6836,12.3032,13.3133,14.23,DOWN,0
2000-10-23,12.7656,13.0313,12.3196,13.0414,14.1847,UP,1
2000-10-24,12.8086,12.875,12.334,12.8031,14.1402,UP,1
2000-10-25,12.9063,12.875,12.3497,12.8281,14.1102,UP,1
2000-10-26,14.1875,12.9375,12.3714,13.1336,14.0927,DOWN,0
2000-10-27,13.8945,14.3711,12.3912,13.3125,14.0653,DOWN,0
2000-10-30,13.7656,13.75,12.41,13.5125,14.035,DOWN,0
2000-10-31,13.6719,13.75,12.4288,13.6852,14.0055,UP,1
2000-11-01,13.8906,13.7813,12.4471,13.882,13.9893,UP,1
2000-11-02,14.0,13.625,12.4666,13.8445,13.9805,DOWN,0
2000-11-03,13.7188,14.0313,12.4861,13.8094,13.9574,DOWN,0
2000-11-06,13.7188,13.7188,12.5032,13.8,13.923,DOWN,0
2000-11-07,13.5,13.8438,12.52,13.7656,13.898,UP,1
2000-11-08,13.75,13.5469,12.5379,13.7375,13.8762,DOWN,0
2000-11-09,13.7188,13.8086,12.5565,13.6813,13.854,DOWN,0
2000-11-10,13.2969,13.75,12.5711,13.5969,13.824,UP,1
2000-11-13,13.4219,13.2813,12.5874,13.5375,13.7993,UP,1
2000-11-14,13.7188,13.625,12.6044,13.5813,13.7827,UP,1
2000-11-15,13.8438,13.7188,12.6204,13.6,13.7687,UP,1
2000-11-16,13.9063,13.875,12.6368,13.6375,13.753,UP,1
2000-11-17,14.1875,14.125,12.6543,13.8156,13.7446,UP,1
2000-11-20,14.25,14.2148,12.6711,13.9813,13.7452,UP,1
2000-11-21,14.5313,14.5,12.6886,14.1438,13.7493,UP,1
2000-11-22,15.0,14.3594,12.7037,14.375,13.7541,UP,1
2000-11-24,15.125,14.9688,12.7204,14.6188,13.7588,UP,1
2000-11-27,15.2656,15.1211,12.7422,14.8344,13.7666,DOWN,0
2000-11-28,14.8906,15.0625,12.7626,14.9625,13.7838,DOWN,0
2000-11-29,14.7344,14.8477,12.7841,15.0031,13.7976,DOWN,0
2000-11-30,14.1563,14.6289,12.8016,14.8344,13.7982,UP,1
2000-12-01,14.5625,14.0938,12.8218,14.7219,13.7982,UP,1
2000-12-04,15.0938,14.8672,12.8463,14.6875,13.811,DOWN,0
2000-12-05,15.0938,15.3047,12.8699,14.7281,13.8248,UP,1
2000-12-06,15.4375,15.4375,12.8912,14.8688,13.852,UP,1
2000-12-07,15.9375,15.3125,12.9143,15.225,13.8925,UP,1
2000-12-08,16.25,15.8984,12.9382,15.5625,13.9347,DOWN,0
2000-12-11,16.25,16.3438,12.9576,15.7938,13.9779,DOWN,0
2000-12-12,15.1875,16.0703,12.9698,15.8125,14.0138,DOWN,0
2000-12-13,14.7188,15.5625,12.9805,15.6688,14.0457,DOWN,0
2000-12-14,14.6875,14.6719,12.9919,15.4188,14.0648,DOWN,0
2000-12-15,13.75,14.3438,12.9986,14.9188,14.0657,UP,1
2000-12-18,14.7813,13.75,13.0106,14.625,14.0973,UP,1
2000-12-19,14.9688,14.9375,13.0218,14.5813,14.157,DOWN,0
2000-12-20,14.7813,15.0781,13.0321,14.5938,14.1895,DOWN,0
2000-12-21,14.75,15.0313,13.0429,14.6063,14.2135,DOWN,0
2000-12-22,14.75,15.0938,13.0548,14.8063,14.242,DOWN,0
2000-12-26,14.5,14.9375,13.0665,14.75,14.2538,UP,1
2000-12-27,16.0625,14.8438,13.0893,14.9688,14.2926,DOWN,0
2000-12-28,15.9063,15.875,13.112,15.1938,14.3307,DOWN,0
2000-12-29,15.7188,16.0,13.1355,15.3875,14.3895,DOWN,0
2001-01-02,14.9375,15.9375,13.1581,15.425,14.435,UP,1
2001-01-03,15.9688,14.875,13.1878,15.7188,14.4944,DOWN,0
2001-01-04,15.8125,15.9688,13.2155,15.6688,14.5553,DOWN,0
2001-01-05,15.625,15.5,13.2411,15.6125,14.6116,DOWN,0
2001-01-08,15.0313,15.4766,13.2636,15.475,14.6541,DOWN,0
2001-01-09,14.875,15.125,13.2855,15.4625,14.6679,DOWN,0
2001-01-10,14.7188,15.0,13.3068,15.2125,14.6844,DOWN,0
2001-01-11,14.0,14.6484,13.3244,14.85,14.6891,DOWN,0
2001-01-12,13.6563,14.5938,13.3421,14.4563,14.6888,UP,1
2001-01-16,13.9063,13.625,13.3621,14.2313,14.6891,UP,1
2001-01-17,14.0313,14.0313,13.3857,14.0625,14.6897,UP,1
2001-01-18,14.1875,13.9688,13.4129,13.9563,14.6991,DOWN,0
2001-01-19,14.0313,14.2188,13.4326,13.9625,14.7053,UP,1
2001-01-22,14.0625,14.0,13.4537,14.0438,14.7166,UP,1
2001-01-23,14.25,14.1875,13.4745,14.1125,14.7266,DOWN,0
2001-01-24,13.4063,14.2969,13.4872,13.9875,14.7203,UP,1
2001-01-25,13.9063,13.4063,13.5046,13.9313,14.7325,DOWN,0
2001-01-26,13.7188,13.9219,13.5206,13.8688,14.7384,UP,1
2001-01-29,13.9453,14.0,13.5328,13.8453,14.743,DOWN,0
2001-01-30,13.875,14.0547,13.5471,13.7703,14.7436,UP,1
2001-01-31,14.9688,14.0,13.5704,14.0828,14.7648,DOWN,0
2001-02-01,14.0,14.6875,13.5888,14.1016,14.7611,UP,1
2001-02-02,14.6875,14.75,13.6059,14.2953,14.7698,DOWN,0
2001-02-05,14.4375,14.7813,13.6195,14.3938,14.768,UP,1
2001-02-06,14.7813,14.5,13.6334,14.575,14.7636,DOWN,0
2001-02-07,14.7656,14.7734,13.6461,14.5344,14.7564,DOWN,0
2001-02-08,14.6563,14.75,13.6576,14.6656,14.7442,DOWN,0
2001-02-09,14.625,14.6563,13.6705,14.6531,14.7389,DOWN,0
2001-02-12,14.5313,14.4375,13.6816,14.6719,14.7348,UP,1
2001-02-13,14.875,14.5313,13.6935,14.6906,14.7492,DOWN,0
2001-02-14,14.8125,14.8438,13.7046,14.7,14.7542,UP,1
2001-02-15,15.0938,14.9688,13.7168,14.7875,14.7542,DOWN,0
2001-02-16,15.0078,15.0625,13.7326,14.8641,14.7525,UP,1
2001-02-20,15.125,15.0,13.7477,14.9828,14.7463,DOWN,0
2001-02-21,14.7813,15.1875,13.7568,14.9641,14.7231,UP,1
2001-02-22,14.8125,14.8438,13.7663,14.9641,14.6944,UP,1
2001-02-23,14.8438,14.6563,13.7758,14.9141,14.6663,UP,1
2001-02-26,14.9063,14.9063,13.786,14.8938,14.6606,DOWN,0
2001-02-27,14.8125,14.7813,13.7954,14.8313,14.6625,UP,1
2001-02-28,14.9375,14.875,13.8054,14.8625,14.6675,UP,1
2001-03-01,15.0,15.0,13.8158,14.9,14.6925,DOWN,0
2001-03-02,14.875,14.9375,13.8293,14.9063,14.6944,DOWN,0
2001-03-05,14.7813,15.0,13.8461,14.8813,14.6906,UP,1
2001-03-06,15.1641,14.8125,13.8664,14.9516,14.6983,UP,1
2001-03-07,15.5,15.0,13.8888,15.0641,14.7133,DOWN,0
2001-03-08,15.25,15.375,13.9095,15.1141,14.7233,DOWN,0
2001-03-09,15.1875,15.1875,13.9259,15.1766,14.737,DOWN,0
2001-03-12,14.2813,15.1875,13.9381,15.0766,14.7014,DOWN,0
2001-03-13,14.125,14.2891,13.9513,14.8688,14.6658,DOWN,0
2001-03-14,13.1953,13.875,13.9597,14.4078,14.6153,DOWN,0
2001-03-15,12.7188,13.4063,13.9666,13.9016,14.5709,DOWN,0
2001-03-16,11.8125,12.5,13.9695,13.2266,14.4878,UP,1
2001-03-19,12.9375,12.3125,13.9744,12.9578,14.4303,UP,1
2001-03-20,13.6563,13.0,13.9852,12.8641,14.3909,DOWN,0
2001-03-21,13.6328,13.6484,13.9964,12.9516,14.363,DOWN,0
2001-03-22,13.5313,13.8125,14.0078,13.1141,14.3361,UP,1
2001-03-23,13.8828,13.5,14.0211,13.5281,14.3194,UP,1
2001-03-26,13.9688,13.875,14.037,13.7344,14.3188,DOWN,0
2001-03-27,13.5313,14.0,14.0507,13.7094,14.3163,DOWN,0
2001-03-28,12.8047,13.5,14.0567,13.5438,14.2942,UP,1
2001-03-29,13.1563,12.9297,14.0639,13.4688,14.2767,UP,1
2001-03-30,13.6875,13.375,14.0735,13.4297,14.2667,DOWN,0
2001-04-02,13.2188,13.8125,14.0811,13.2797,14.2505,DOWN,0
2001-04-03,12.4063,13.1875,14.0841,13.0547,14.2173,UP,1
2001-04-04,12.6875,12.5625,14.09,13.0313,14.1861,UP,1
2001-04-05,12.75,13.0,14.0987,12.95,14.173,DOWN,0
2001-04-06,12.5938,12.7188,14.1085,12.7313,14.1467,DOWN,0
2001-04-09,12.115,12.75,14.1172,12.5105,14.1146,UP,1
2001-04-10,12.525,12.145,14.1277,12.5343,14.0862,DOWN,0
2001-04-11,12.15,12.525,14.1362,12.4268,14.0517,DOWN,0
2001-04-12,11.79,12.13,14.1432,12.2348,13.9882,UP,1
2001-04-16,12.075,11.78,14.1505,12.131,13.9497,UP,1
2001-04-17,12.265,12.005,14.1598,12.161,13.9012,DOWN,0
2001-04-18,12.15,12.55,14.1587,12.086,13.8555,UP,1
2001-04-19,12.69,12.0275,14.1629,12.194,13.8136,UP,1
2001-04-20,12.995,12.68,14.1682,12.435,13.7782,DOWN,0
2001-04-23,12.89,12.965,14.1738,12.598,13.7429,UP,1
2001-04-24,13.35,12.87,14.1812,12.815,13.7174,UP,1
2001-04-25,13.71,13.345,14.1873,13.127,13.701,DOWN,0
2001-04-26,13.67,13.725,14.1912,13.323,13.6769,UP,1
2001-04-27,13.695,13.7,14.1932,13.463,13.6545,DOWN,0
2001-04-30,13.53,13.665,14.1945,13.591,13.6233,UP,1
2001-05-01,13.75,13.48,14.1955,13.671,13.5981,UP,1
2001-05-02,14.115,13.75,14.1969,13.752,13.5779,DOWN,0
2001-05-03,13.87,13.995,14.1967,13.792,13.5597,UP,1
2001-05-04,14.085,13.78,14.2005,13.87,13.5451,DOWN,0
2001-05-07,13.975,14.04,14.1999,13.959,13.5277,UP,1
2001-05-08,14.12,14.055,14.1997,14.033,13.512,DOWN,0
2001-05-09,14.005,14.125,14.1999,14.011,13.4959,UP,1
