ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-06-01,47.32,46.48,46.238,42.9688,,UP,1
2017-06-02,47.38,47.56,46.588,43.0676,,DOWN,0
2017-06-05,46.71,47.15,46.798,43.1416,,DOWN,0
2017-06-06,46.67,46.65,46.898,43.2216,,UP,1
2017-06-07,46.91,46.76,46.998,43.3006,,DOWN,0
2017-06-08,46.5,46.9,46.834,43.3722,,DOWN,0
2017-06-09,46.03,46.58,46.564,43.44,,DOWN,0
2017-06-12,45.43,46.16,46.308,43.5068,,UP,1
2017-06-13,45.98,45.6,46.17,43.5852,,DOWN,0
2017-06-14,45.59,45.8,45.906,43.657,,DOWN,0
2017-06-15,45.32,45.46,45.67,43.7196,,DOWN,0
2017-06-16,45.07,45.18,45.478,43.7862,,UP,1
2017-06-19,45.55,44.96,45.502,43.8344,,UP,1
2017-06-20,45.73,45.86,45.452,43.8892,,UP,1
2017-06-21,45.82,45.91,45.498,43.9504,,DOWN,0
2017-06-22,45.59,45.83,45.552,44.0046,,DOWN,0
2017-06-23,45.56,45.54,45.65,44.0726,,DOWN,0
2017-06-26,45.34,45.62,45.608,44.142,,DOWN,0
2017-06-27,44.69,45.28,45.4,44.1912,,UP,1
2017-06-28,45.37,44.86,45.31,44.251,,DOWN,0
2017-06-29,44.13,45.3,45.018,44.2896,,DOWN,0
2017-06-30,44.04,44.29,44.714,44.3184,,DOWN,0
2017-07-03,43.86,44.02,44.418,44.3504,,DOWN,0
2017-07-05,43.27,43.67,44.134,44.3624,,DOWN,0
2017-07-06,42.9,43.13,43.64,44.3712,,UP,1
2017-07-07,43.1,43.01,43.434,44.3884,,DOWN,0
2017-07-10,42.74,43.2,43.174,44.3904,,UP,1
2017-07-11,43.79,42.81,43.16,44.4312,,UP,1
2017-07-12,44.0,44.0,43.306,44.4752,,DOWN,0
2017-07-13,43.77,44.03,43.48,44.5228,,DOWN,0
2017-07-14,43.65,43.8,43.59,44.5778,,UP,1
2017-07-17,43.99,43.67,43.84,44.6324,,UP,1
2017-07-18,44.13,44.02,43.908,44.6836,,UP,1
2017-07-19,44.38,44.2,43.984,44.7396,,DOWN,0
2017-07-20,44.28,44.44,44.086,44.7902,,UP,1
2017-07-21,45.0,44.3,44.356,44.8408,,DOWN,0
2017-07-24,44.75,44.81,44.508,44.8918,,UP,1
2017-07-25,45.68,47.38,44.818,44.9614,,DOWN,0
2017-07-26,44.28,45.51,44.798,44.9884,,DOWN,0
2017-07-27,43.86,44.29,44.714,44.9762,,DOWN,0
2017-07-28,43.82,43.69,44.478,44.9692,,UP,1
2017-07-31,43.98,43.65,44.324,44.97,,UP,1
2017-08-01,44.04,44.21,43.996,44.9632,,DOWN,0
2017-08-02,43.76,43.86,43.892,44.9468,,DOWN,0
2017-08-03,43.22,43.74,43.764,44.9268,,UP,1
2017-08-04,43.62,43.41,43.724,44.8894,,UP,1
2017-08-07,43.86,43.62,43.7,44.854,,DOWN,0
2017-08-08,43.56,43.74,43.604,44.812,,DOWN,0
2017-08-09,43.51,43.45,43.554,44.7588,,UP,1
2017-08-10,44.34,43.43,43.778,44.7174,,UP,1
2017-08-11,44.81,44.33,44.016,44.6672,,DOWN,0
2017-08-14,44.81,44.87,44.206,44.6158,,UP,1
2017-08-15,45.02,44.9,44.498,44.582,,UP,1
2017-08-16,45.36,45.11,44.868,44.5558,,UP,1
2017-08-17,45.37,45.29,45.074,44.525,,DOWN,0
2017-08-18,45.27,45.21,45.166,44.5004,40.5325,UP,1
2017-08-21,45.45,45.14,45.294,44.4888,40.5898,UP,1
2017-08-22,45.66,45.5,45.422,44.4934,40.6481,DOWN,0
