ticker,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-06-21,38.8,39.52,39.11,37.7282,,UP,1
2005-06-22,39.19,38.7,39.248,37.633,,DOWN,0
2005-06-23,37.5,39.23,38.988,37.503,,UP,1
2005-06-24,37.7,37.5,38.538,37.391,,DOWN,0
2005-06-27,36.94,37.7,38.026,37.3128,,UP,1
2005-06-28,37.4,37.44,37.746,37.2638,,DOWN,0
2005-06-29,36.56,37.6,37.22,37.199,,DOWN,0
2005-06-30,35.75,36.7,36.87,37.1566,,UP,1
2005-07-01,36.25,36.0,36.58,37.134,,UP,1
2005-07-05,36.65,36.02,36.522,37.127,,DOWN,0
2005-07-06,36.53,36.75,36.348,37.1124,,UP,1
2005-07-07,36.64,35.7,36.364,37.0702,,UP,1
2005-07-08,37.71,36.74,36.756,37.0554,,UP,1
2005-07-11,37.85,37.8,37.076,37.0524,,UP,1
2005-07-12,38.06,37.85,37.358,37.0646,,DOWN,0
2005-07-13,37.9,38.1,37.632,37.0566,,DOWN,0
2005-07-14,37.42,38.01,37.788,37.083,,UP,1
2005-07-15,37.91,37.41,37.828,37.1186,,DOWN,0
2005-07-18,37.9,37.85,37.838,37.1658,,UP,1
2005-07-19,38.88,37.95,38.002,37.2234,,UP,1
2005-07-20,39.0,38.55,38.222,37.2764,,UP,1
2005-07-21,40.31,39.35,38.8,37.3672,,DOWN,0
2005-07-22,40.3,40.06,39.278,37.455,,DOWN,0
2005-07-25,39.0,40.3,39.498,37.533,,DOWN,0
2005-07-26,37.99,39.0,39.32,37.6188,,UP,1
2005-07-27,38.46,37.3,39.212,37.709,,UP,1
2005-07-28,39.6,38.46,39.07,37.8006,,UP,1
2005-07-29,40.22,39.7,39.054,37.875,,UP,1
2005-08-01,40.27,40.22,39.308,37.9364,,UP,1
2005-08-02,40.42,40.48,39.794,38.0024,,DOWN,0
2005-08-03,38.12,39.6,39.726,38.0208,,DOWN,0
2005-08-04,37.6,37.25,39.326,38.0376,,UP,1
2005-08-05,37.94,37.66,38.87,38.084,,DOWN,0
2005-08-08,37.29,37.94,38.274,38.0954,,UP,1
2005-08-09,37.85,37.45,37.76,38.1086,,DOWN,0
2005-08-10,37.84,37.97,37.704,38.1402,,UP,1
2005-08-11,37.89,37.89,37.762,38.1502,,DOWN,0
2005-08-12,37.8,37.85,37.734,38.1302,,UP,1
2005-08-15,37.91,37.7,37.858,38.1084,,DOWN,0
2005-08-16,37.22,37.9,37.732,38.0888,,UP,1
2005-08-17,37.8,36.9,37.724,38.0948,,DOWN,0
2005-08-18,37.73,37.75,37.692,38.1118,,DOWN,0
2005-08-19,37.01,37.75,37.534,38.113,,DOWN,0
2005-08-22,36.24,37.0,37.2,38.0942,,DOWN,0
2005-08-23,35.65,36.3,36.886,38.0572,,DOWN,0
2005-08-24,35.23,35.45,36.372,37.9796,,UP,1
2005-08-25,35.92,35.18,36.01,37.928,,DOWN,0
2005-08-26,35.87,35.99,35.782,37.8694,,UP,1
2005-08-29,36.25,35.52,35.784,37.7954,,DOWN,0
2005-08-30,35.71,36.15,35.796,37.7196,,DOWN,0
2005-08-31,35.29,35.58,35.808,37.6494,,UP,1
2005-09-01,35.68,35.19,35.76,37.5792,,UP,1
2005-09-02,35.74,35.64,35.734,37.544,,UP,1
2005-09-06,36.08,35.75,35.7,37.5116,,UP,1
2005-09-07,38.49,36.22,36.256,37.5426,,DOWN,0
2005-09-08,38.45,38.04,36.888,37.5636,,DOWN,0
2005-09-09,37.92,38.46,37.336,37.5908,,DOWN,0
2005-09-12,37.0,38.17,37.588,37.6158,,DOWN,0
2005-09-13,36.01,36.84,37.574,37.611,,DOWN,0
2005-09-14,35.3,35.25,36.936,37.584,,DOWN,0
2005-09-15,34.89,35.3,36.224,37.5512,,UP,1
2005-09-16,34.99,35.0,35.638,37.5182,,DOWN,0
2005-09-19,33.66,34.99,34.97,37.4372,,UP,1
2005-09-20,33.83,33.66,34.534,37.3568,,DOWN,0
2005-09-21,31.98,33.82,33.87,37.2352,,UP,1
2005-09-22,32.3,32.0,33.352,37.1232,,UP,1
2005-09-23,32.38,32.14,32.83,37.0224,,DOWN,0
2005-09-26,31.68,32.63,32.434,36.8978,,DOWN,0
2005-09-27,31.65,31.68,31.998,36.7728,,UP,1
2005-09-28,32.62,31.86,32.126,36.6476,40.9045,UP,1
2005-09-29,33.11,32.7,32.288,36.5298,40.9251,DOWN,0
2005-09-30,32.91,33.05,32.394,36.3818,40.8568,UP,1
2005-10-03,33.08,32.91,32.674,36.2374,40.7767,UP,1
2005-10-04,33.52,33.1,33.048,36.1278,40.6793,DOWN,0
2005-10-05,32.97,33.52,33.118,36.0274,40.6011,DOWN,0
2005-10-06,31.83,32.88,32.862,35.8948,40.5234,UP,1
2005-10-07,32.55,31.97,32.79,35.7538,40.4436,DOWN,0
2005-10-10,31.32,33.5,32.438,35.5758,40.3577,DOWN,0
2005-10-11,30.98,31.33,31.93,35.39,40.2743,DOWN,0
2005-10-12,30.09,31.21,31.354,35.1834,40.1843,DOWN,0
2005-10-13,29.87,30.09,30.962,35.0184,40.0942,UP,1
2005-10-14,31.37,29.9,30.726,34.8938,40.0118,DOWN,0
2005-10-17,30.98,31.7,30.658,34.7546,39.9267,DOWN,0
2005-10-18,29.69,30.98,30.4,34.6026,39.8326,UP,1
2005-10-19,31.5,29.62,30.682,34.4756,39.7427,DOWN,0
2005-10-20,31.5,31.5,31.008,34.3488,39.656,UP,1
2005-10-21,32.35,31.67,31.204,34.238,39.5778,UP,1
2005-10-24,34.4,33.0,31.888,34.17,39.522,DOWN,0
2005-10-25,33.76,34.4,32.702,34.087,39.4652,DOWN,0
2005-10-26,32.55,33.76,32.912,33.9936,39.4043,DOWN,0
2005-10-27,31.9,32.55,32.992,33.8756,39.3483,UP,1
2005-10-28,33.11,31.9,33.144,33.7832,39.3014,UP,1
2005-10-31,34.3,33.45,33.124,33.729,39.2559,DOWN,0
2005-11-01,33.89,34.3,33.15,33.682,39.1993,UP,1
2005-11-02,34.75,33.89,33.59,33.664,39.1513,UP,1
2005-11-03,36.42,36.0,34.494,33.6878,39.1146,UP,1
2005-11-04,37.66,36.6,35.404,33.7226,39.0876,UP,1
