ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-18,42.688,40.625,33.13,40.6125,39.3188,UP,1
2000-04-19,44.375,42.438,33.2188,41.425,39.4588,DOWN,0
2000-04-20,44.0,44.375,33.3088,42.0375,39.5975,DOWN,0
2000-04-24,38.25,44.0,33.3681,41.9375,39.615,UP,1
2000-04-25,43.813,40.0,33.4519,42.625,39.745,DOWN,0
2000-04-26,41.75,43.938,33.5238,42.4375,39.8225,DOWN,0
2000-04-27,41.0,41.5,33.5869,41.7625,39.8787,DOWN,0
2000-04-28,34.5,39.75,33.6109,39.8625,39.8013,UP,1
2000-05-01,34.813,35.0,33.6331,39.175,39.7388,DOWN,0
2000-05-02,34.0,34.688,33.6513,37.2125,39.6888,UP,1
2000-05-03,35.563,35.25,33.6794,35.975,39.675,DOWN,0
2000-05-04,35.313,36.25,33.7078,34.8375,39.6425,UP,1
2000-05-05,35.938,36.0,33.74,35.125,39.625,DOWN,0
2000-05-08,34.188,36.0,33.7647,35.0,39.5688,DOWN,0
2000-05-09,33.375,34.438,33.7841,34.875,39.4625,UP,1
2000-05-10,35.313,33.625,33.8138,34.825,39.3963,UP,1
2000-05-11,39.938,35.313,33.8672,35.75,39.4263,DOWN,0
2000-05-12,37.938,39.688,33.9125,36.15,39.4388,DOWN,0
2000-05-15,36.938,38.188,33.9525,36.7,39.4313,UP,1
2000-05-16,38.625,37.0,33.9978,37.75,39.4663,DOWN,0
2000-05-17,36.625,38.5,34.0341,38.0125,39.4288,DOWN,0
2000-05-18,36.438,36.875,34.0737,37.3125,39.4075,DOWN,0
2000-05-19,34.938,35.75,34.1031,36.7125,39.3663,DOWN,0
2000-05-22,34.438,35.438,34.1328,36.2125,39.305,UP,1
2000-05-23,35.5,34.25,34.1672,35.5875,39.2513,UP,1
2000-05-24,37.313,35.5,34.2156,35.725,39.2288,UP,1
2000-05-25,38.563,37.313,34.2703,36.15,39.215,DOWN,0
2000-05-26,37.0,38.625,34.3134,36.5625,39.1025,UP,1
2000-05-30,38.438,37.188,34.3616,37.3625,39.0225,UP,1
2000-05-31,39.188,38.313,34.4131,38.1,38.9487,UP,1
2000-06-01,39.938,39.063,34.4697,38.625,38.8888,UP,1
2000-06-02,40.375,40.375,34.535,38.9875,38.8063,DOWN,0
2000-06-05,39.75,40.188,34.5956,39.5375,38.72,UP,1
2000-06-06,40.313,39.5,34.6584,39.9125,38.6925,UP,1
2000-06-07,41.0,40.438,34.7216,40.275,38.7013,UP,1
2000-06-08,42.063,40.75,34.7856,40.7,38.7525,DOWN,0
2000-06-09,41.813,42.063,34.8516,40.9875,38.7788,UP,1
2000-06-12,42.313,41.688,34.9228,41.5,38.815,UP,1
2000-06-13,43.938,42.313,35.0063,42.225,38.875,DOWN,0
2000-06-14,39.313,43.688,35.0703,41.8875,38.8575,DOWN,0
2000-06-15,38.563,39.5,35.13,41.1875,38.8288,DOWN,0
2000-06-16,37.25,38.563,35.1859,40.275,38.7713,DOWN,0
2000-06-19,36.438,37.438,35.245,39.1,38.6987,UP,1
2000-06-20,37.5,36.563,35.305,37.8125,38.6375,UP,1
2000-06-21,37.938,37.75,35.3694,37.5375,38.5925,UP,1
2000-06-22,38.188,38.5,35.4353,37.4625,38.5563,DOWN,0
2000-06-23,37.688,38.313,35.4975,37.55,38.5037,UP,1
2000-06-26,39.563,37.563,35.5653,38.175,38.4763,DOWN,0
2000-06-27,39.5,39.375,35.6322,38.575,38.4913,UP,1
2000-06-28,40.0,39.438,35.7028,38.9875,38.4838,DOWN,0
2000-06-29,39.563,40.0,35.7697,39.2625,38.4213,UP,1
2000-06-30,40.016,39.813,35.842,39.7281,38.3341,DOWN,0
2000-07-03,38.813,40.0,35.9041,39.5781,38.2303,DOWN,0
2000-07-05,37.75,38.813,35.9535,39.2281,38.2203,UP,1
2000-07-06,39.063,38.0,36.0151,39.0406,38.1253,UP,1
2000-07-07,39.875,38.875,36.0845,39.1031,38.0878,UP,1
2000-07-10,40.938,39.875,36.1582,39.2875,38.0866,UP,1
2000-07-11,42.063,40.938,36.2316,39.9375,38.2378,UP,1
2000-07-12,43.313,42.313,36.3063,41.05,38.4078,DOWN,0
2000-07-13,42.563,43.125,36.3754,41.75,38.5791,DOWN,0
2000-07-14,42.25,42.75,36.4441,42.225,38.7128,DOWN,0
2000-07-17,41.5,42.25,36.5035,42.3375,38.8366,DOWN,0
2000-07-18,40.75,41.875,36.5673,42.075,38.9328,DOWN,0
2000-07-19,39.25,40.813,36.6198,41.2625,39.0341,UP,1
2000-07-20,41.0,39.438,36.6798,40.95,39.1866,UP,1
2000-07-21,41.375,41.25,36.7398,40.775,39.3078,UP,1
2000-07-24,41.5,41.438,36.7995,40.775,39.3391,DOWN,0
2000-07-25,40.938,41.75,36.8557,40.8125,39.3991,UP,1
2000-07-26,41.188,40.875,36.9104,41.2,39.4841,DOWN,0
2000-07-27,39.5,41.188,36.9613,40.9,39.5016,DOWN,0
2000-07-28,39.125,39.75,37.011,40.45,39.5516,UP,1
2000-07-31,40.5,39.188,37.0676,40.25,39.6328,DOWN,0
