ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-07-13,30.6,30.4,30.378,32.1581,,DOWN,0
2011-07-14,29.82,30.58,30.23,32.1287,,UP,1
2011-07-15,29.88,29.87,30.154,32.1003,,DOWN,0
2011-07-18,29.12,29.76,29.968,32.0585,,DOWN,0
2011-07-19,28.95,29.31,29.674,32.0159,,DOWN,0
2011-07-20,28.86,29.39,29.326,31.9655,,UP,1
2011-07-21,29.13,28.96,29.188,31.9085,,DOWN,0
2011-07-22,28.94,29.01,29.0,31.8685,,DOWN,0
2011-07-25,28.85,28.74,28.946,31.8165,,UP,1
2011-07-26,29.23,28.79,29.002,31.7736,,DOWN,0
2011-07-27,28.6,28.98,28.95,31.7068,,DOWN,0
2011-07-28,28.59,28.63,28.842,31.6448,,DOWN,0
2011-07-29,28.32,28.35,28.718,31.5764,,UP,1
2011-08-01,28.51,28.47,28.65,31.5166,,DOWN,0
2011-08-02,27.81,28.5,28.366,31.445,,DOWN,0
2011-08-03,27.76,27.7,28.198,31.3858,,DOWN,0
2011-08-04,27.28,27.71,27.936,31.2958,,DOWN,0
2011-08-05,27.01,27.33,27.674,31.212,,DOWN,0
2011-08-08,25.11,26.55,26.994,31.0778,,UP,1
2011-08-09,26.42,25.37,26.716,30.9142,,DOWN,0
2011-08-10,24.96,25.93,26.156,30.7684,,UP,1
2011-08-11,26.11,24.98,25.922,30.653,,DOWN,0
2011-08-12,25.3,26.2,25.58,30.516,,UP,1
2011-08-15,26.17,25.51,25.792,30.3818,,DOWN,0
2011-08-16,25.74,26.0,25.656,30.23,,UP,1
2011-08-17,25.83,25.86,25.83,30.0672,,DOWN,0
2011-08-18,24.4,25.46,25.488,29.8734,,DOWN,0
2011-08-19,23.94,24.08,25.216,29.6746,,DOWN,0
2011-08-22,23.74,24.42,24.73,29.4854,,UP,1
2011-08-23,24.58,23.76,24.498,29.313,,UP,1
2011-08-24,25.04,24.64,24.34,29.1386,,DOWN,0
2011-08-25,24.23,25.47,24.306,28.9526,,UP,1
2011-08-26,24.69,24.11,24.456,28.7698,,UP,1
2011-08-29,25.24,24.85,24.756,28.5896,,UP,1
2011-08-30,25.25,25.05,24.89,28.4136,,UP,1
2011-08-31,25.5,25.42,24.982,28.2426,,DOWN,0
2011-09-01,24.71,25.41,25.078,28.048,,DOWN,0
2011-09-02,24.15,24.35,24.97,27.8548,,DOWN,0
2011-09-06,24.0,23.53,24.722,27.6756,,UP,1
2011-09-07,25.04,24.4,24.68,27.5214,,DOWN,0
2011-09-08,24.0,24.79,24.38,27.3764,,UP,1
2011-09-09,24.05,23.9,24.248,27.2286,,UP,1
2011-09-12,24.82,23.79,24.382,27.0794,,UP,1
