ticker,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-07-02,52.13,53.43,44.6862,53.416,51.7513,DOWN,0
2012-07-03,52.02,51.8,44.7574,52.722,51.8028,UP,1
2012-07-05,54.02,52.03,44.8368,52.83,51.9157,UP,1
2012-07-06,54.29,54.09,44.919,53.252,52.0131,DOWN,0
2012-07-09,53.0,53.01,44.994,53.092,52.0738,DOWN,0
2012-07-10,52.83,52.9,45.0724,53.232,52.1109,DOWN,0
2012-07-11,51.8,53.01,45.1416,53.188,52.1303,UP,1
2012-07-12,52.03,51.55,45.208,52.79,52.1504,UP,1
2012-07-13,52.77,52.21,45.2826,52.486,52.167,DOWN,0
2012-07-16,52.51,52.5,45.3538,52.388,52.1834,UP,1
2012-07-17,53.3,53.02,45.4321,52.482,52.2307,DOWN,0
2012-07-18,52.89,53.26,45.5087,52.7,52.26,DOWN,0
2012-07-19,52.67,52.92,45.5878,52.828,52.2974,DOWN,0
2012-07-20,51.38,52.62,45.657,52.55,52.3063,DOWN,0
2012-07-23,50.65,50.8,45.7188,52.178,52.2968,DOWN,0
2012-07-24,50.63,50.72,45.7809,51.644,52.2823,DOWN,0
2012-07-25,50.14,50.62,45.8374,51.094,52.2879,UP,1
2012-07-26,51.02,50.86,45.8942,50.764,52.2971,UP,1
2012-07-27,51.96,51.24,45.9534,50.88,52.3233,DOWN,0
2012-07-30,51.44,51.78,46.0106,51.038,52.4008,DOWN,0
2012-07-31,50.34,51.2,46.064,50.98,52.4557,DOWN,0
2012-08-01,50.02,50.38,46.1135,50.956,52.4872,UP,1
2012-08-02,50.64,49.82,46.1669,50.88,52.5189,UP,1
2012-08-03,51.12,51.42,46.2221,50.712,52.548,DOWN,0
2012-08-06,50.99,51.1,46.2759,50.622,52.5507,UP,1
2012-08-07,51.97,51.29,46.3351,50.948,52.5681,UP,1
2012-08-08,52.95,51.75,46.3998,51.534,52.6051,DOWN,0
2012-08-09,51.66,52.86,46.4537,51.738,52.6115,DOWN,0
2012-08-10,50.72,51.82,46.5046,51.658,52.5941,DOWN,0
2012-08-13,50.15,50.36,46.5559,51.49,52.5977,UP,1
2012-08-14,50.62,50.52,46.6099,51.22,52.5902,DOWN,0
2012-08-15,50.0,50.55,46.6627,50.63,52.5788,DOWN,0
2012-08-16,49.11,47.73,46.7083,50.12,52.513,DOWN,0
2012-08-17,48.9,49.2,46.7548,49.756,52.4427,DOWN,0
2012-08-20,48.67,48.86,46.8015,49.46,52.3489,DOWN,0
2012-08-21,48.3,48.58,46.8447,48.996,52.2576,UP,1
2012-08-22,48.95,48.12,46.8914,48.786,52.1651,DOWN,0
2012-08-23,48.5,48.68,46.937,48.664,52.0698,UP,1
2012-08-24,49.29,48.47,46.9837,48.742,51.9765,DOWN,0
2012-08-27,48.38,49.37,47.0287,48.684,51.8407,UP,1
2012-08-28,48.4,48.45,47.076,48.704,51.6819,UP,1
2012-08-29,48.46,48.52,47.1216,48.606,51.5162,DOWN,0
2012-08-30,48.09,48.23,47.1646,48.524,51.3666,UP,1
2012-08-31,48.17,48.25,47.2097,48.3,51.2474,UP,1
2012-09-04,48.19,48.05,47.2605,48.262,51.1158,DOWN,0
2012-09-05,47.33,48.4,47.3065,48.048,50.967,UP,1
2012-09-06,48.0,47.44,47.3566,47.956,50.8172,DOWN,0
2012-09-07,47.71,48.07,47.4059,47.88,50.7018,DOWN,0
2012-09-10,47.41,47.57,47.4502,47.728,50.6064,DOWN,0
2012-09-11,46.42,47.3,47.4908,47.374,50.4588,DOWN,0
2012-09-12,46.07,46.54,47.5296,47.122,50.3376,UP,1
2012-09-13,46.85,45.97,47.5709,46.892,50.2342,UP,1
2012-09-14,47.2,46.87,47.6076,46.79,50.0978,DOWN,0
2012-09-17,46.93,47.2,47.6385,46.694,49.9506,DOWN,0
2012-09-18,46.82,46.5,47.6675,46.774,49.827,UP,1
2012-09-19,47.06,46.8,47.6984,46.972,49.7116,UP,1
2012-09-20,49.41,47.0,47.7368,47.484,49.6638,DOWN,0
2012-09-21,48.55,49.51,47.7728,47.754,49.5942,UP,1
2012-09-24,49.03,48.45,47.8125,48.174,49.5194,DOWN,0
2012-09-25,48.719,49.04,47.8499,48.5538,49.4436,DOWN,0
2012-09-26,48.38,48.85,47.8854,48.8178,49.3452,UP,1
2012-09-27,48.57,48.37,47.9209,48.6498,49.2588,DOWN,0
2012-09-28,48.29,48.23,47.9587,48.5978,49.1712,UP,1
2012-10-01,48.3,48.31,47.9973,48.4518,49.1096,DOWN,0
2012-10-02,47.63,48.56,48.0303,48.234,49.0492,DOWN,0
2012-10-03,47.02,47.83,48.0584,47.962,48.977,DOWN,0
2012-10-04,46.85,47.2,48.0893,47.618,48.9112,UP,1
2012-10-05,48.07,47.84,48.1251,47.574,48.8522,DOWN,0
2012-10-08,47.27,47.96,48.1545,47.368,48.7584,DOWN,0
2012-10-09,45.79,47.08,48.1793,47.0,48.6454,UP,1
2012-10-10,46.91,46.94,48.2057,46.978,48.5768,DOWN,0
2012-10-11,43.28,47.46,48.2113,46.264,48.442,DOWN,0
2012-10-12,41.1096,42.17,48.2071,44.8719,48.2514,DOWN,0
2012-10-15,40.52,41.2,48.1995,43.5219,48.0394,UP,1
2012-10-16,40.5217,40.52,48.1944,42.4683,47.83,DOWN,0
2012-10-17,40.37,40.47,48.1901,41.1603,47.598,DOWN,0
2012-10-18,39.355,40.35,48.1804,40.3753,47.3261,DOWN,0
2012-10-19,39.15,39.2,48.1686,39.9833,47.0759,DOWN,0
2012-10-22,38.98,38.88,48.1571,39.6753,46.8411,UP,1
2012-10-23,39.19,38.47,48.145,39.409,46.6219,UP,1
2012-10-24,40.26,40.3,48.1395,39.387,46.4147,DOWN,0
2012-10-25,40.05,40.75,48.1348,39.526,46.2157,DOWN,0
2012-10-26,39.85,40.02,48.1266,39.666,46.0305,UP,1
2012-10-31,39.87,39.21,48.119,39.844,45.8499,UP,1
2012-11-01,40.38,39.84,48.111,40.082,45.6841,DOWN,0
2012-11-02,39.59,40.59,48.0952,39.948,45.5099,DOWN,0
2012-11-05,39.53,39.58,48.0782,39.844,45.3215,DOWN,0
2012-11-06,39.03,39.45,48.0622,39.68,45.1321,DOWN,0
2012-11-07,38.83,39.0,48.0419,39.472,44.9229,DOWN,0
2012-11-08,38.13,38.71,48.0176,39.022,44.7179,DOWN,0
2012-11-09,37.74,38.03,47.993,38.652,44.5047,UP,1
