ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2017-07-27,27.445,28.44,21.9694,27.8712,26.399,27.421
2017-07-28,27.421,27.464,22.0021,27.8154,26.4458,27.555
2017-07-31,27.555,27.456,22.0355,27.75,26.4934,27.525
2017-08-01,27.525,27.68,22.0696,27.6156,26.5364,27.357
2017-08-02,27.357,27.55,22.1021,27.4606,26.5668,27.503
2017-08-03,27.503,27.35,22.1356,27.4722,26.6048,27.473
2017-08-04,27.473,27.478,22.1681,27.4826,26.6383,27.821
2017-08-07,27.821,27.469,22.2019,27.5358,26.6757,27.954
2017-08-08,27.954,27.821,22.2374,27.6216,26.7168,28.118
2017-08-09,28.118,27.975,22.2731,27.7738,26.7604,27.917
2017-08-10,27.917,28.05,22.3065,27.8566,26.7956,27.988
2017-08-11,27.988,27.952,22.3406,27.9596,26.831,28.465
2017-08-14,28.465,28.167,22.3785,28.0884,26.8759,28.2
2017-08-15,28.2,28.451,22.4233,28.1376,26.917,28.33
2017-08-16,28.33,28.328,22.4696,28.18,26.967,28.087
2017-08-17,28.087,28.378,22.5165,28.214,27.0093,27.896
2017-08-18,27.896,28.172,22.5637,28.1956,27.0413,27.833
2017-08-21,27.833,27.821,22.6113,28.0692,27.0928,28.305
2017-08-22,28.305,27.82,22.6613,28.0902,27.1617,28.4
2017-08-23,28.4,28.156,22.7116,28.1042,27.2297,28.414
2017-08-24,28.414,28.485,22.7612,28.1696,27.292,28.355
2017-08-25,28.355,28.534,22.8109,28.2614,27.3564,28.137
2017-08-28,28.137,28.401,22.8582,28.3222,27.4065,28.246
2017-08-29,28.246,28.124,22.9076,28.3104,27.4505,28.437
2017-08-30,28.437,28.241,22.9567,28.3178,27.4971,28.662
2017-08-31,28.662,28.405,23.0032,28.3674,27.553,28.702
