ticker,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2022-11-28,13.04,12.78,13.164,13.6122,17.1763,13.89
2022-11-29,13.89,13.7,13.34,13.5659,17.1473,13.7
2022-11-30,13.7,13.83,13.52,13.5083,17.1177,13.56
2022-12-01,13.56,13.64,13.578,13.4615,17.0879,14.01
2022-12-02,14.01,13.44,13.64,13.4277,17.0564,13.8
2022-12-05,13.8,14.21,13.792,13.3969,17.0227,13.63
2022-12-06,13.63,13.54,13.74,13.3553,16.9943,13.36
2022-12-07,13.36,13.17,13.672,13.3153,16.9697,14.13
2022-12-08,14.13,13.98,13.786,13.2905,16.9487,14.25
2022-12-09,14.25,14.11,13.834,13.2801,16.9271,X
