ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-04-13,14.683,14.327,14.2976,13.8291,13.1621,14.739
2010-04-14,14.739,14.766,14.425,13.8571,13.1825,14.897
2010-04-15,14.897,14.819,14.5642,13.8893,13.204,13.767
2010-04-16,13.767,14.089,14.4838,13.8939,13.22,13.766
2010-04-19,13.766,13.732,14.3705,13.9056,13.2364,13.889
2010-04-20,13.889,13.868,14.2117,13.9175,13.2548,13.871
2010-04-21,13.871,13.925,14.038,13.9279,13.2729,13.69
2010-04-22,13.69,13.813,13.7966,13.9332,13.2917,13.638
2010-04-23,13.638,13.695,13.7708,13.9385,13.3095,13.304
2010-04-26,13.304,13.637,13.6784,13.9361,13.3247,13.239
2010-04-27,13.239,13.236,13.5484,13.9341,13.339,13.243
2010-04-28,13.243,13.315,13.4227,13.928,13.3522,13.313
2010-04-29,13.313,13.347,13.3473,13.9249,13.3656,13.155
2010-04-30,13.155,13.291,13.2508,13.9161,13.3766,13.278
2010-05-03,13.278,13.175,13.2456,13.9111,13.3876,12.672
2010-05-04,12.672,13.176,13.132,13.8928,13.3971,12.756
2010-05-05,12.756,12.537,13.0348,13.8802,13.407,12.479
2010-05-06,12.479,12.731,12.8679,13.8637,13.4159,12.34
2010-05-07,12.34,12.511,12.705,13.8471,13.4241,13.054
2010-05-10,13.054,12.862,12.6602,13.8445,13.4346,12.739
2010-05-11,12.739,12.904,12.6736,13.8327,13.4424,12.647
2010-05-12,12.647,12.813,12.6518,13.8148,13.45,12.784
2010-05-13,12.784,12.925,12.7129,13.7976,13.4589,12.701
2010-05-14,12.701,12.757,12.7849,13.774,13.4678,12.712
2010-05-17,12.712,12.682,12.7164,13.7459,13.4756,12.471
2010-05-18,12.471,12.762,12.663,13.7138,13.4825,12.373
2010-05-19,12.373,12.419,12.6081,13.6809,13.4878,11.887
2010-05-20,11.887,12.139,12.4286,13.6301,13.4905,11.813
2010-05-21,11.813,11.738,12.251,13.5755,13.4931,11.941
2010-05-24,11.941,12.03,12.0968,13.5243,13.4965,11.938
2010-05-25,11.938,11.715,11.9902,13.4812,13.499,11.898
2010-05-26,11.898,12.063,11.8953,13.4363,13.5013,12.273
2010-05-27,12.273,12.133,11.9727,13.3987,13.5059,12.153
2010-05-28,12.153,12.33,12.0406,13.3583,13.5093,12.071
2010-06-01,12.071,12.022,12.0667,13.3194,13.5118,12.346
2010-06-02,12.346,12.179,12.1483,13.2873,13.516,12.652
2010-06-03,12.652,12.39,12.2991,13.2656,13.5236,12.48
