ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2004-02-18,8.0238,8.0413,6.7175,8.0505,7.4978,8.0875
2004-02-19,8.0875,8.0313,6.7224,8.049,7.5144,8.0087
2004-02-20,8.0087,8.0875,6.7267,8.0285,7.5276,7.9863
2004-02-23,7.9863,8.01,6.7315,8.0233,7.5409,8.0438
2004-02-24,8.0438,7.9863,6.7372,8.03,7.5577,8.0125
2004-02-25,8.0125,8.0438,6.7423,8.0278,7.5728,8.0175
2004-02-26,8.0175,7.9875,6.7478,8.0138,7.5889,8.0712
2004-02-27,8.0712,8.0125,6.7543,8.0263,7.6084,8.1563
2004-03-01,8.1563,8.1125,6.7616,8.0603,7.628,8.1063
2004-03-02,8.1063,8.1375,6.7685,8.0728,7.6443,8.125
2004-03-03,8.125,8.1275,6.7757,8.0953,7.6606,8.135
2004-03-04,8.135,8.1625,6.7836,8.1188,7.6762,8.2688
2004-03-05,8.2688,8.1225,6.7922,8.1583,7.6928,8.3025
2004-03-08,8.3025,8.3,6.8013,8.1875,7.7108,8.2825
2004-03-09,8.2825,8.3025,6.8099,8.2228,7.7291,8.2587
2004-03-10,8.2587,8.2813,6.8186,8.2495,7.7467,8.1488
2004-03-11,8.1488,8.1938,6.8272,8.2523,7.7628,8.2338
2004-03-12,8.2338,8.1488,6.8378,8.2453,7.781,8.1125
2004-03-15,8.1125,8.2088,6.8475,8.2073,7.7943,8.1375
2004-03-16,8.1375,8.125,6.8573,8.1783,7.8109,8.1488
2004-03-17,8.1488,8.1388,6.8668,8.1563,7.8263,8.0688
2004-03-18,8.0688,8.1475,6.8768,8.1403,7.8418,8.1638
2004-03-19,8.1638,8.025,6.888,8.1263,7.8601,7.9063
2004-03-22,7.9063,8.1625,6.8977,8.085,7.8716,8.085
2004-03-23,8.085,7.9375,6.9087,8.0745,7.8892,8.1413
2004-03-24,8.1413,8.0538,6.9198,8.073,7.9087,8.3125
2004-03-25,8.3125,8.1463,6.9319,8.1218,7.932,8.3863
2004-03-26,8.3863,8.3,6.9435,8.1663,7.9554,8.475
2004-03-29,8.475,8.4125,6.9551,8.28,7.9811,8.5563
2004-03-30,8.5563,8.4813,6.9679,8.3743,8.0063,8.4725
2004-03-31,8.4725,8.5813,6.9795,8.4405,8.0294,8.565
2004-04-01,8.565,8.4725,6.992,8.491,8.054,8.6738
2004-04-02,8.6738,8.5763,7.005,8.5485,8.0804,8.7
2004-04-05,8.7,8.7125,7.019,8.5935,8.1074,8.8125
2004-04-06,8.8125,8.7438,7.0339,8.6448,8.1361,8.725
2004-04-07,8.725,8.7938,7.0489,8.6953,8.1596,8.74
2004-04-08,8.74,8.7513,7.0639,8.7303,8.1849,8.84
2004-04-12,8.84,8.7413,7.0795,8.7635,8.2094,8.765
2004-04-13,8.765,8.8563,7.0945,8.7765,8.2282,8.6938
2004-04-14,8.6938,8.6875,7.1092,8.7528,8.2418,8.7238
2004-04-15,8.7238,8.7188,7.1244,8.7525,8.2577,8.7125
2004-04-16,8.7125,8.7375,7.1399,8.747,8.2726,8.7063
2004-04-19,8.7063,8.725,7.1552,8.7203,8.2867,8.7063
2004-04-20,8.7063,8.81,7.1705,8.7085,8.2994,8.6438
2004-04-21,8.6438,8.7063,7.185,8.6985,8.3109,8.8363
2004-04-22,8.8363,8.675,7.2009,8.721,8.3262,8.7638
2004-04-23,8.7638,8.8313,7.2168,8.7313,8.3395,8.7238
2004-04-26,8.7238,8.7125,7.2329,8.7348,8.3518,8.7063
2004-04-27,8.7063,8.7488,7.2489,8.7348,8.3657,8.5275
2004-04-28,8.5275,8.7075,7.2645,8.7115,8.376,8.215
2004-04-29,8.215,8.4375,7.279,8.5873,8.3798,8.25
2004-04-30,8.25,8.215,7.2919,8.4845,8.3831,8.3563
2004-05-03,8.3563,8.2688,7.3056,8.411,8.39,8.305
2004-05-04,8.305,8.3575,7.3185,8.3308,8.3964,8.2188
2004-05-05,8.2188,8.305,7.3318,8.269,8.3999,8.05
2004-05-06,8.05,8.175,7.3433,8.236,8.4007,7.6663
2004-05-07,7.6663,7.975,7.3513,8.1193,8.3936,7.8325
2004-05-10,7.8325,7.5938,7.3593,8.0145,8.3889,7.9013
2004-05-11,7.9013,7.8313,7.3674,7.9338,8.3838,8.0913
2004-05-12,8.0913,7.9125,7.3764,7.9083,8.3835,8.1925
2004-05-13,8.1925,8.09,7.3863,7.9368,8.3848,8.17
2004-05-14,8.17,8.2238,7.3962,8.0375,8.3855,7.9713
2004-05-17,7.9713,8.075,7.405,8.0653,8.3796,8.13
2004-05-18,8.13,8.0,7.4154,8.111,8.3761,8.07
2004-05-19,8.07,8.2063,7.4252,8.1068,8.3719,8.1313
2004-05-20,8.1313,8.0875,7.4356,8.0945,8.3693,8.1288
2004-05-21,8.1288,8.1875,7.446,8.0863,8.3689,8.2
2004-05-24,8.2,8.175,7.4564,8.132,8.3682,8.2438
2004-05-25,8.2438,8.2,7.467,8.1548,8.3709,8.2925
2004-05-26,8.2925,8.2688,7.4778,8.1993,8.374,8.39
2004-05-27,8.39,8.2788,7.4891,8.251,8.3788,8.5388
2004-05-28,8.5388,8.4063,7.5011,8.333,8.3882,8.445
2004-06-01,8.445,8.5388,7.512,8.382,8.3938,8.5063
2004-06-02,8.5063,8.4625,7.5232,8.4345,8.4058,8.4575
2004-06-03,8.4575,8.5238,7.5342,8.4675,8.4133,8.5638
2004-06-04,8.5638,8.475,7.5457,8.5023,8.4217,8.7762
2004-06-07,8.7762,8.5638,7.5585,8.5498,8.431,8.75
2004-06-08,8.75,8.75,7.571,8.6108,8.4383,8.6863
2004-06-09,8.6863,8.7438,7.5836,8.6468,8.4425,8.7238
2004-06-10,8.7238,8.7163,7.5969,8.7,8.4458,8.6588
