ticker,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2019-09-26,31.45,32.18,31.918,34.302,,31.44
2019-09-27,31.44,31.65,31.752,34.1998,,31.535
2019-09-30,31.535,31.63,31.605,34.1019,,31.24
2019-10-01,31.24,31.73,31.535,34.0047,,30.42
2019-10-02,30.42,31.17,31.217,33.8887,,30.46
2019-10-03,30.46,30.34,31.019,33.7659,,30.57
2019-10-04,30.57,30.6,30.845,33.6339,,30.6
2019-10-07,30.6,30.75,30.658,33.5017,,30.055
2019-10-08,30.055,30.27,30.421,33.3526,,30.23
2019-10-09,30.23,30.36,30.383,33.2008,,30.52
2019-10-10,30.52,30.24,30.395,33.0648,,31.46
2019-10-11,31.46,30.99,30.573,32.9562,,31.39
2019-10-14,31.39,31.27,30.731,32.8514,,31.7
2019-10-15,31.7,31.33,31.06,32.7644,,31.99
2019-10-16,31.99,31.61,31.412,32.6752,,31.98
2019-10-17,31.98,32.1,31.704,32.574,,32.21
2019-10-18,32.21,32.04,31.854,32.5156,,32.74
2019-10-21,32.74,32.36,32.124,32.4624,,33.45
2019-10-22,33.45,32.73,32.474,32.4324,,33.24
2019-10-23,33.24,33.33,32.724,32.396,,32.3
2019-10-24,32.3,33.18,32.788,32.3682,,32.41
2019-10-25,32.41,32.39,32.828,32.3614,,32.99
2019-10-28,32.99,32.54,32.878,32.3614,,32.84
2019-10-29,32.84,32.82,32.756,32.3408,,32.08
2019-10-30,32.08,32.66,32.524,32.3106,,32.04
2019-10-31,32.04,32.0,32.472,32.2832,,32.39
2019-11-01,32.39,32.17,32.468,32.27,,32.55
2019-11-04,32.55,32.5,32.38,32.286,,32.835
2019-11-05,32.835,32.58,32.379,32.3011,,33.1
2019-11-06,33.1,32.84,32.583,32.3245,,34.94
2019-11-07,34.94,33.95,33.163,32.3875,,35.14
2019-11-08,35.14,35.0,33.713,32.4355,,34.99
2019-11-11,34.99,34.95,34.201,32.4719,,34.485
2019-11-12,34.485,35.07,34.531,32.5062,,34.26
2019-11-13,34.26,34.37,34.763,32.5202,,34.22
2019-11-14,34.22,34.14,34.619,32.5196,,34.27
2019-11-15,34.27,34.39,34.445,32.5204,,35.19
2019-11-18,35.19,34.31,34.485,32.5382,,36.26
2019-11-19,36.26,35.22,34.84,32.5774,,35.89
2019-11-20,35.89,35.66,35.166,32.6152,,35.7
2019-11-21,35.7,35.93,35.462,32.6534,,35.66
2019-11-22,35.66,35.77,35.74,32.69,,35.68
2019-11-25,35.68,35.7,35.838,32.7316,,35.93
2019-11-26,35.93,35.67,35.772,32.793,,35.78
2019-11-27,35.78,36.06,35.75,32.8558,,35.76
2019-11-29,35.76,35.81,35.762,32.9302,,35.6
2019-12-02,35.6,35.75,35.75,32.9968,,35.19
2019-12-03,35.19,35.41,35.652,33.0552,,35.5
2019-12-04,35.5,35.53,35.566,33.1334,,35.5
2019-12-05,35.5,35.65,35.51,33.2032,,35.42
2019-12-06,35.42,35.71,35.442,33.2826,,35.62
2019-12-09,35.62,35.5,35.446,33.3662,,35.81
2019-12-10,35.81,35.51,35.57,33.4517,,36.16
2019-12-11,36.16,35.75,35.702,33.5501,,36.85
2019-12-12,36.85,36.32,35.972,33.6787,,36.77
2019-12-13,36.77,36.73,36.242,33.8049,,36.81
2019-12-16,36.81,36.95,36.48,33.9297,,37.16
2019-12-17,37.16,36.71,36.75,34.0609,,36.93
2019-12-18,36.93,37.19,36.904,34.1984,,37.0
2019-12-19,37.0,36.76,36.934,34.3338,,37.17
2019-12-20,37.17,37.29,37.014,34.4668,,37.455
2019-12-23,37.455,37.17,37.143,34.5867,35.3969,37.3
2019-12-24,37.3,37.44,37.171,34.7049,35.3934,37.57
2019-12-26,37.57,37.26,37.299,34.8223,35.3825,37.41
2019-12-27,37.41,37.65,37.381,34.9307,35.3663,37.08
2019-12-30,37.08,37.42,37.363,35.0327,35.3432,37.07
2019-12-31,37.07,36.94,37.286,35.1299,35.32,37.07
2020-01-02,37.07,37.41,37.24,35.2165,35.3037,36.665
2020-01-03,36.665,36.69,37.059,35.2808,35.2939,36.57
2020-01-06,36.57,36.66,36.891,35.3474,35.2767,37.07
2020-01-07,37.07,36.56,36.889,35.4428,35.2684,37.11
2020-01-08,37.11,37.13,36.897,35.5368,35.2668,37.18
2020-01-09,37.18,37.18,36.919,35.6206,35.265,36.72
2020-01-10,36.72,37.12,36.93,35.6982,35.264,36.99
2020-01-13,36.99,36.72,37.014,35.7964,35.2669,37.26
2020-01-14,37.26,36.79,37.052,35.9008,35.2697,37.48
2020-01-15,37.48,37.36,37.126,36.0026,35.2728,39.11
2020-01-16,39.11,37.71,37.512,36.1338,35.287,39.34
2020-01-17,39.34,39.28,38.036,36.2639,35.3033,39.1
2020-01-21,39.1,39.0,38.458,36.3839,35.315,39.08
2020-01-22,39.08,39.15,38.822,36.4667,35.322,37.49
2020-01-23,37.49,38.77,38.824,36.5137,35.3221,36.61
2020-01-24,36.61,37.3,38.324,36.5461,35.3186,36.88
2020-01-27,36.88,36.44,37.832,36.594,35.3206,37.14
2020-01-28,37.14,37.35,37.44,36.6516,35.3208,36.58
2020-01-29,36.58,36.95,36.94,36.6988,35.3161,37.03
2020-01-30,37.03,36.17,36.848,36.754,35.3136,37.08
2020-01-31,37.08,37.0,36.942,36.7918,35.3102,37.59
2020-02-03,37.59,37.3,37.084,36.8184,35.304,38.03
2020-02-04,38.03,37.96,37.262,36.8612,35.3019,38.67
