ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-11-02,1.417,1.445,1.4225,1.3748,,1.451
2010-11-03,1.451,1.419,1.4328,1.3782,,1.66
2010-11-04,1.66,1.507,1.4823,1.3849,,1.629
2010-11-05,1.629,1.658,1.5169,1.3911,,1.665
2010-11-08,1.665,1.633,1.5645,1.3982,,1.642
2010-11-09,1.642,1.667,1.6096,1.4045,,1.957
2010-11-10,1.957,1.632,1.7108,1.4177,,1.869
2010-11-11,1.869,1.907,1.7526,1.4278,,1.989
2010-11-12,1.989,1.883,1.8246,1.4395,,2.053
2010-11-15,2.053,2.015,1.9022,1.4525,,1.978
2010-11-16,1.978,2.067,1.9694,1.4647,,1.966
2010-11-17,1.966,2.013,1.9711,1.4761,,1.993
2010-11-18,1.993,2.045,1.9959,1.4884,,2.066
2010-11-19,2.066,2.011,2.0112,1.5028,,2.227
2010-11-22,2.227,2.105,2.0459,1.5197,,2.305
2010-11-23,2.305,2.219,2.1112,1.5376,,2.365
2010-11-24,2.365,2.351,2.1909,1.5556,,2.355
2010-11-26,2.355,2.373,2.2633,1.5748,,2.289
2010-11-29,2.289,2.361,2.3079,1.5936,,2.355
2010-11-30,2.355,2.249,2.3336,1.6126,,2.29
2010-12-01,2.29,2.391,2.3307,1.6307,,2.157
2010-12-02,2.157,2.267,2.2891,1.6474,,2.099
2010-12-03,2.099,2.134,2.238,1.6633,,2.021
2010-12-06,2.021,2.09,2.1844,1.6769,,2.104
2010-12-07,2.104,2.033,2.1341,1.6916,,2.158
2010-12-08,2.158,2.165,2.1077,1.7062,,2.137
2010-12-09,2.137,2.167,2.1037,1.7197,,2.101
2010-12-10,2.101,2.137,2.1041,1.7345,,2.037
2010-12-13,2.037,2.109,2.1073,1.7477,,1.902
2010-12-14,1.902,2.019,2.0669,1.7578,,1.973
2010-12-15,1.973,1.911,2.03,1.7691,,2.054
2010-12-16,2.054,2.0,2.0135,1.7829,,2.091
2010-12-17,2.091,2.089,2.0113,1.7975,,2.113
2010-12-20,2.113,2.109,2.0267,1.8125,,2.151
2010-12-21,2.151,2.12,2.0764,1.8285,,2.175
2010-12-22,2.175,2.15,2.1168,1.845,,2.006
2010-12-23,2.006,2.084,2.1072,1.8578,,1.703
2010-12-27,1.703,1.868,2.0297,1.8642,,1.761
2010-12-28,1.761,1.723,1.9592,1.872,,1.849
2010-12-29,1.849,1.802,1.8988,1.882,,1.767
2010-12-30,1.767,1.847,1.8171,1.8906,,1.775
2010-12-31,1.775,1.771,1.7709,1.8986,,1.775
2011-01-03,1.775,1.789,1.7852,1.9064,,1.778
2011-01-04,1.778,1.777,1.7887,1.9143,,1.789
2011-01-05,1.789,1.765,1.7767,1.9223,,1.859
2011-01-06,1.859,1.789,1.7951,1.931,,1.883
2011-01-07,1.883,1.867,1.8165,1.9407,,1.897
2011-01-10,1.897,1.878,1.8409,1.9503,,1.797
2011-01-11,1.797,1.906,1.8448,1.9572,,1.797
2011-01-12,1.797,1.801,1.8465,1.9646,,1.748
2011-01-13,1.748,1.797,1.8244,1.9712,,1.717
2011-01-14,1.717,1.743,1.7912,1.9765,,1.709
2011-01-18,1.709,1.699,1.7537,1.9775,,1.602
2011-01-19,1.602,1.685,1.7147,1.9769,,1.508
2011-01-20,1.508,1.602,1.6568,1.9738,,1.536
2011-01-21,1.536,1.541,1.6144,1.9717,,1.633
2011-01-24,1.633,1.569,1.5976,1.9652,,1.645
2011-01-25,1.645,1.643,1.5848,1.9607,,1.65
2011-01-26,1.65,1.647,1.5944,1.9539,,1.661
2011-01-27,1.661,1.649,1.6251,1.9461,,1.601
2011-01-28,1.601,1.659,1.638,1.9385,,1.607
2011-01-31,1.607,1.603,1.6328,1.9313,,1.594
2011-02-01,1.594,1.621,1.6225,1.9234,,1.596
2011-02-02,1.596,1.611,1.6117,1.914,,1.575
2011-02-03,1.575,1.588,1.5945,1.9009,,1.564
2011-02-04,1.564,1.563,1.5872,1.8861,,1.538
2011-02-07,1.538,1.551,1.5735,1.8696,,1.633
2011-02-08,1.633,1.585,1.5812,1.8552,,1.547
2011-02-09,1.547,1.609,1.5715,1.8403,,1.548
2011-02-10,1.548,1.551,1.5659,1.8242,,1.55
2011-02-11,1.55,1.55,1.5631,1.8094,,1.539
2011-02-14,1.539,1.576,1.5633,1.797,,1.523
2011-02-15,1.523,1.534,1.5413,1.7855,,1.649
2011-02-16,1.649,1.54,1.5615,1.778,,1.573
2011-02-17,1.573,1.642,1.5667,1.7674,,1.545
2011-02-18,1.545,1.555,1.5657,1.7552,,1.458
2011-02-22,1.458,1.525,1.5496,1.7416,,1.455
2011-02-23,1.455,1.479,1.5361,1.7287,,1.502
2011-02-24,1.502,1.452,1.5068,1.718,,1.574
2011-02-25,1.574,1.521,1.5069,1.7114,,1.593
2011-02-28,1.593,1.583,1.5164,1.7038,,1.596
2011-03-01,1.596,1.603,1.544,1.6947,,1.601
2011-03-02,1.601,1.588,1.5732,1.6849,,1.624
2011-03-03,1.624,1.632,1.5976,1.6751,,1.663
2011-03-04,1.663,1.632,1.6155,1.6653,,1.663
2011-03-07,1.663,1.662,1.6295,1.6551,,1.644
2011-03-08,1.644,1.64,1.6391,1.6478,,1.648
2011-03-09,1.648,1.644,1.6484,1.6467,,1.601
2011-03-10,1.601,1.629,1.6437,1.6435,,1.605
2011-03-11,1.605,1.59,1.632,1.6387,,1.55
2011-03-14,1.55,1.588,1.6095,1.6343,,1.53
2011-03-15,1.53,1.48,1.5867,1.6294,,1.521
2011-03-16,1.521,1.524,1.5613,1.6244,,1.521
2011-03-17,1.521,1.549,1.5453,1.6192,,1.531
2011-03-18,1.531,1.546,1.5305,1.614,,1.515
2011-03-21,1.515,1.537,1.5236,1.6072,,1.479
2011-03-22,1.479,1.515,1.5135,1.5991,,1.481
2011-03-23,1.481,1.474,1.5053,1.5908,,1.489
2011-03-24,1.489,1.476,1.4989,1.5846,,1.517
2011-03-25,1.517,1.495,1.4961,1.579,,1.55
2011-03-28,1.55,1.513,1.5031,1.575,,1.595
2011-03-29,1.595,1.553,1.5261,1.5726,,1.581
2011-03-30,1.581,1.607,1.5461,1.57,,1.85
2011-03-31,1.85,1.77,1.6184,1.575,,1.777
2011-04-01,1.777,1.83,1.6705,1.5804,,1.722
2011-04-04,1.722,1.789,1.7049,1.5841,,1.78
2011-04-05,1.78,1.727,1.742,1.587,,1.766
2011-04-06,1.766,1.799,1.7791,1.5895,,1.816
2011-04-07,1.816,1.79,1.7723,1.5928,,1.766
2011-04-08,1.766,1.839,1.77,1.5949,,1.685
2011-04-11,1.685,1.765,1.7625,1.5966,1.5792,1.643
2011-04-12,1.643,1.672,1.7352,1.5973,1.5817,1.662
2011-04-13,1.662,1.675,1.7144,1.5986,1.5821,1.676
2011-04-14,1.676,1.658,1.6864,1.6002,1.5825,1.705
2011-04-15,1.705,1.71,1.6743,1.6028,1.5837,1.669
2011-04-18,1.669,1.675,1.6711,1.6049,1.5857,1.677
2011-04-19,1.677,1.684,1.6779,1.6077,1.5887,1.717
2011-04-20,1.717,1.713,1.6888,1.6094,1.592,1.783
2011-04-21,1.783,1.723,1.7101,1.6141,1.5951,1.759
2011-04-25,1.759,1.78,1.7209,1.6183,1.5981,1.795
2011-04-26,1.795,1.777,1.7463,1.6233,1.6014,1.805
2011-04-27,1.805,1.795,1.7719,1.6286,1.6044,1.844
2011-04-28,1.844,1.805,1.7973,1.635,1.607,1.84
2011-04-29,1.84,1.846,1.8088,1.6388,1.6096,1.83
2011-05-02,1.83,1.84,1.8229,1.644,1.6118,1.791
2011-05-03,1.791,1.825,1.8221,1.6489,1.6135,1.779
2011-05-04,1.779,1.785,1.8169,1.6553,1.6156,1.763
2011-05-05,1.763,1.813,1.8007,1.6615,1.6177,1.808
2011-05-06,1.808,1.793,1.7943,1.6676,1.6197,1.861
2011-05-09,1.861,1.8,1.8004,1.6733,1.6219,1.889
2011-05-10,1.889,1.883,1.8199,1.6792,1.6244,1.805
2011-05-11,1.805,1.88,1.8249,1.6834,1.6266,1.845
2011-05-12,1.845,1.805,1.8413,1.6883,1.6289,1.837
2011-05-13,1.837,1.867,1.8471,1.6925,1.6313,1.773
2011-05-16,1.773,1.866,1.8296,1.6947,1.6335,1.731
2011-05-17,1.731,1.8,1.798,1.6961,1.6352,1.757
2011-05-18,1.757,1.74,1.7884,1.6983,1.6366,1.88
2011-05-19,1.88,1.802,1.7955,1.703,1.639,1.865
2011-05-20,1.865,1.884,1.8011,1.7083,1.6415,1.788
2011-05-23,1.788,1.841,1.804,1.7119,1.6439,1.781
2011-05-24,1.781,1.801,1.8141,1.7166,1.6462,1.932
2011-05-25,1.932,1.793,1.8492,1.7246,1.6496,1.965
2011-05-26,1.965,1.921,1.8663,1.7335,1.6534,1.97
2011-05-27,1.97,1.969,1.8873,1.7425,1.6574,2.009
2011-05-31,2.009,1.979,1.9316,1.752,1.6613,1.901
2011-06-01,1.901,2.0,1.9556,1.7598,1.6646,1.917
2011-06-02,1.917,1.901,1.9526,1.7685,1.6678,2.009
2011-06-03,2.009,1.997,1.9613,1.7791,1.6716,1.913
2011-06-06,1.913,2.007,1.95,1.7876,1.6749,1.891
2011-06-07,1.891,1.929,1.9264,1.7951,1.678,1.808
2011-06-08,1.808,1.896,1.9077,1.8002,1.6803,1.841
2011-06-09,1.841,1.829,1.8925,1.8052,1.6831,1.857
2011-06-10,1.857,1.835,1.8623,1.8107,1.6858,1.895
2011-06-13,1.895,1.871,1.8587,1.8116,1.6887,1.907
2011-06-14,1.907,1.903,1.8617,1.8142,1.6916,1.821
2011-06-15,1.821,1.896,1.8644,1.8162,1.6941,1.767
2011-06-16,1.767,1.845,1.8495,1.8159,1.6965,1.767
2011-06-17,1.767,1.791,1.8313,1.8159,1.6985,1.734
2011-06-20,1.734,1.753,1.7991,1.8143,1.7001,1.835
2011-06-21,1.835,1.749,1.7848,1.8157,1.7023,1.814
2011-06-22,1.814,1.825,1.7833,1.8182,1.7045,1.847
2011-06-23,1.847,1.813,1.7995,1.8223,1.7068,1.838
2011-06-24,1.838,1.843,1.8137,1.8258,1.7091,1.831
2011-06-27,1.831,1.849,1.833,1.8289,1.7115,1.874
2011-06-28,1.874,1.853,1.8407,1.8323,1.714,1.886
2011-06-29,1.886,1.9,1.8551,1.8367,1.7163,1.942
2011-06-30,1.942,1.9,1.8741,1.8419,1.7187,1.935
2011-07-01,1.935,1.938,1.8935,1.8463,1.7214,1.943
2011-07-05,1.943,1.935,1.9159,1.8495,1.7244,1.931
2011-07-06,1.931,1.943,1.9272,1.8529,1.727,1.982
2011-07-07,1.982,1.943,1.9464,1.8567,1.73,1.921
2011-07-08,1.921,1.993,1.9421,1.859,1.733,1.89
2011-07-11,1.89,1.893,1.9332,1.8599,1.7359,1.878
2011-07-12,1.878,1.891,1.9203,1.8607,1.7386,1.909
2011-07-13,1.909,1.895,1.916,1.8622,1.7413,1.841
2011-07-14,1.841,1.902,1.8877,1.8632,1.7434,1.839
2011-07-15,1.839,1.853,1.8713,1.8644,1.7452,1.815
2011-07-18,1.815,1.823,1.8564,1.8655,1.7475,1.859
2011-07-19,1.859,1.839,1.8527,1.8665,1.75,1.913
2011-07-20,1.913,1.867,1.8533,1.8675,1.7525,1.913
2011-07-21,1.913,1.927,1.8679,1.868,1.755,1.953
2011-07-22,1.953,1.913,1.8907,1.871,1.758,1.899
2011-07-25,1.899,1.934,1.9075,1.8721,1.7607,1.867
2011-07-26,1.867,1.887,1.9089,1.8727,1.7632,1.843
2011-07-27,1.843,1.9,1.8949,1.8741,1.7657,1.878
2011-07-28,1.878,1.84,1.8879,1.877,1.7683,1.878
2011-07-29,1.878,1.853,1.8729,1.8794,1.7709,1.918
2011-08-01,1.918,1.911,1.8767,1.8802,1.7735,1.823
2011-08-02,1.823,1.913,1.8679,1.8794,1.7758,1.813
2011-08-03,1.813,1.833,1.862,1.8799,1.7781,1.65
2011-08-04,1.65,1.767,1.8164,1.8772,1.7797,1.616
2011-08-05,1.616,1.666,1.764,1.8709,1.7809,1.576
2011-08-08,1.576,1.54,1.6956,1.8631,1.7818,1.671
2011-08-09,1.671,1.61,1.6652,1.8571,1.7833,1.588
2011-08-10,1.588,1.696,1.6201,1.8487,1.7843,1.687
2011-08-11,1.687,1.603,1.6275,1.8444,1.7856,1.754
2011-08-12,1.754,1.707,1.6551,1.8412,1.7874,1.749
2011-08-15,1.749,1.775,1.6896,1.836,1.789,1.74
2011-08-16,1.74,1.742,1.7035,1.8325,1.7905,1.722
2011-08-17,1.722,1.759,1.7303,1.8291,1.7919,1.617
2011-08-18,1.617,1.667,1.7164,1.8253,1.7929,1.487
2011-08-19,1.487,1.591,1.6629,1.8182,1.7931,1.463
2011-08-22,1.463,1.541,1.6059,1.8103,1.7921,1.531
2011-08-23,1.531,1.462,1.564,1.803,1.7916,1.591
2011-08-24,1.591,1.54,1.5379,1.7967,1.7913,1.541
2011-08-25,1.541,1.591,1.5225,1.7911,1.7908,1.582
2011-08-26,1.582,1.514,1.5416,1.7874,1.7889,1.647
2011-08-29,1.647,1.615,1.5784,1.785,1.7878,1.642
2011-08-30,1.642,1.633,1.6007,1.7832,1.786,1.649
2011-08-31,1.649,1.653,1.6123,1.7795,1.784,1.6
2011-09-01,1.6,1.644,1.6241,1.7752,1.7821,1.538
2011-09-02,1.538,1.577,1.6153,1.769,1.78,1.529
2011-09-06,1.529,1.5,1.5917,1.7628,1.7777,1.589
2011-09-07,1.589,1.559,1.5812,1.758,1.7753,1.574
2011-09-08,1.574,1.572,1.5661,1.752,1.772,1.531
2011-09-09,1.531,1.558,1.5524,1.7449,1.7682,1.525
2011-09-12,1.525,1.5,1.5499,1.7366,1.764,1.605
2011-09-13,1.605,1.534,1.5651,1.73,1.7602,1.623
2011-09-14,1.623,1.617,1.5717,1.7236,1.7569,1.655
2011-09-15,1.655,1.639,1.5879,1.7181,1.7534,1.72
2011-09-16,1.72,1.652,1.6256,1.7128,1.7505,1.718
2011-09-19,1.718,1.663,1.6641,1.7088,1.7483,1.734
2011-09-20,1.734,1.732,1.6899,1.7057,1.7465,1.723
2011-09-21,1.723,1.73,1.71,1.7026,1.745,1.709
2011-09-22,1.709,1.709,1.7208,1.6986,1.7431,1.759
2011-09-23,1.759,1.699,1.7285,1.6969,1.7411,1.701
2011-09-26,1.701,1.768,1.7252,1.6942,1.7389,1.746
2011-09-27,1.746,1.733,1.7276,1.6928,1.7371,1.639
2011-09-28,1.639,1.733,1.7108,1.6884,1.7351,1.608
2011-09-29,1.608,1.715,1.6907,1.6823,1.7336,1.626
2011-09-30,1.626,1.653,1.6641,1.6765,1.7319,1.582
2011-10-03,1.582,1.663,1.6403,1.6691,1.7295,1.577
2011-10-04,1.577,1.553,1.6065,1.6627,1.727,1.691
2011-10-05,1.691,1.602,1.6169,1.6592,1.7249,1.797
2011-10-06,1.797,1.691,1.6548,1.6583,1.7231,1.799
2011-10-07,1.799,1.799,1.6895,1.6567,1.7212,1.859
2011-10-10,1.859,1.821,1.7448,1.6563,1.7205,1.841
2011-10-11,1.841,1.834,1.7975,1.6548,1.7212,1.853
2011-10-12,1.853,1.817,1.8299,1.6554,1.7216,1.863
2011-10-13,1.863,1.842,1.8429,1.6564,1.7217,1.87
2011-10-14,1.87,1.867,1.8571,1.6608,1.7222,1.828
2011-10-17,1.828,1.857,1.8509,1.665,1.7225,1.889
2011-10-18,1.889,1.82,1.8607,1.6713,1.7231,1.838
2011-10-19,1.838,1.868,1.8576,1.6746,1.7234,1.823
2011-10-20,1.823,1.829,1.8496,1.6793,1.7235,1.869
2011-10-21,1.869,1.827,1.8493,1.683,1.7236,1.903
2011-10-24,1.903,1.858,1.8644,1.6859,1.7237,1.883
2011-10-25,1.883,1.882,1.8632,1.6886,1.7236,1.865
2011-10-26,1.865,1.879,1.8687,1.6911,1.724,1.917
2011-10-27,1.917,1.889,1.8876,1.6951,1.7246,1.991
2011-10-28,1.991,1.9,1.9121,1.7025,1.7258,1.958
2011-10-31,1.958,1.967,1.9231,1.712,1.727,1.925
2011-11-01,1.925,1.893,1.9315,1.7212,1.7281,1.914
2011-11-02,1.914,1.933,1.9412,1.7289,1.7296,2.164
2011-11-03,2.164,2.0,1.9905,1.7403,1.7329,2.154
2011-11-04,2.154,2.097,2.0231,1.7526,1.736,2.085
2011-11-07,2.085,2.109,2.0484,1.7626,1.7383,2.123
2011-11-08,2.123,2.091,2.0879,1.7721,1.7406,2.059
2011-11-09,2.059,2.058,2.1168,1.7805,1.7427,2.089
2011-11-10,2.089,2.063,2.1017,1.7893,1.7448,2.243
2011-11-11,2.243,2.127,2.1195,1.8021,1.748,2.215
2011-11-14,2.215,2.2,2.1455,1.8157,1.7511,2.262
2011-11-15,2.262,2.195,2.1733,1.8303,1.7544,2.329
2011-11-16,2.329,2.232,2.2275,1.8451,1.7581,2.245
2011-11-17,2.245,2.3,2.2588,1.8585,1.7614,2.173
2011-11-18,2.173,2.243,2.2449,1.8714,1.7645,2.117
2011-11-21,2.117,2.163,2.2255,1.8832,1.7674,2.138
2011-11-22,2.138,2.117,2.2007,1.8939,1.7699,2.097
2011-11-23,2.097,2.117,2.1541,1.9033,1.7726,2.111
2011-11-25,2.111,2.103,2.1272,1.9125,1.7755,2.171
2011-11-28,2.171,2.133,2.1267,1.9215,1.7786,2.117
2011-11-29,2.117,2.166,2.1265,1.9295,1.7815,2.183
2011-11-30,2.183,2.167,2.1355,1.9384,1.7848,2.173
2011-12-01,2.173,2.171,2.1508,1.9474,1.7874,2.22
2011-12-02,2.22,2.189,2.1727,1.9577,1.7906,2.295
2011-12-05,2.295,2.235,2.1975,1.9684,1.7944,2.325
2011-12-06,2.325,2.28,2.2391,1.9808,1.7987,2.279
2011-12-07,2.279,2.309,2.2584,1.9915,1.8028,2.059
2011-12-08,2.059,2.056,2.2356,1.9999,1.8056,2.069
2011-12-09,2.069,2.036,2.2055,2.0091,1.8081,2.027
2011-12-12,2.027,2.029,2.152,2.0172,1.8102,1.963
2011-12-13,1.963,2.038,2.0797,2.0248,1.8121,1.902
2011-12-14,1.902,1.967,2.0043,2.0313,1.8136,1.908
2011-12-15,1.908,1.911,1.974,2.0356,1.815,1.867
2011-12-16,1.867,1.919,1.9335,2.037,1.816,1.85
2011-12-19,1.85,1.873,1.898,2.038,1.817,1.86
2011-12-20,1.86,1.87,1.8773,2.038,1.818,1.838
2011-12-21,1.838,1.861,1.8645,2.038,1.819,1.851
2011-12-22,1.851,1.84,1.8532,2.0379,1.8202,1.86
2011-12-23,1.86,1.867,1.8519,2.0379,1.8215,1.905
2011-12-27,1.905,1.844,1.8628,2.0386,1.8233,1.901
2011-12-28,1.901,1.933,1.8709,2.04,1.8251,1.915
2011-12-29,1.915,1.906,1.8864,2.0406,1.8271,1.904
2011-12-30,1.904,1.899,1.8969,2.0419,1.829,1.872
2012-01-03,1.872,1.929,1.8993,2.0429,1.8307,1.847
2012-01-04,1.847,1.881,1.8879,2.0424,1.8324,1.808
2012-01-05,1.808,1.851,1.8693,2.0405,1.834,1.794
2012-01-06,1.794,1.813,1.8451,2.0387,1.8356,1.817
2012-01-09,1.817,1.8,1.8276,2.0378,1.8372,1.841
2012-01-10,1.841,1.829,1.8215,2.0363,1.8389,1.882
2012-01-11,1.882,1.841,1.8284,2.0341,1.8405,1.883
2012-01-12,1.883,1.899,1.8435,2.0326,1.842,1.519
2012-01-13,1.519,1.893,1.7885,2.0245,1.8417,1.773
2012-01-17,1.773,1.775,1.7799,2.0216,1.8413,1.787
2012-01-18,1.787,1.779,1.7691,2.0141,1.8413,1.784
2012-01-19,1.784,1.813,1.7495,2.0067,1.8416,1.773
2012-01-20,1.773,1.793,1.7275,2.0005,1.8416,1.785
2012-01-23,1.785,1.787,1.7805,1.9937,1.8417,1.828
2012-01-24,1.828,1.775,1.7915,1.9891,1.8418,1.865
2012-01-25,1.865,1.818,1.8069,1.9846,1.8423,1.929
2012-01-26,1.929,1.871,1.836,1.9784,1.8435,1.955
2012-01-27,1.955,1.9,1.8724,1.9732,1.845,1.971
2012-01-30,1.971,1.966,1.9097,1.9674,1.8466,1.938
2012-01-31,1.938,1.993,1.9317,1.9595,1.8479,1.972
2012-02-01,1.972,1.938,1.9532,1.9541,1.8492,2.017
2012-02-02,2.017,1.981,1.9707,1.9509,1.851,2.077
2012-02-03,2.077,2.027,1.9949,1.9501,1.853,2.12
2012-02-06,2.12,2.073,2.0247,1.9498,1.855,2.107
2012-02-07,2.107,2.12,2.0584,1.95,1.8566,2.129
2012-02-08,2.129,2.107,2.0897,1.9503,1.8585,2.172
2012-02-09,2.172,2.133,2.1208,1.9503,1.8603,2.073
2012-02-10,2.073,2.151,2.1201,1.9495,1.8617,2.099
2012-02-13,2.099,2.103,2.116,1.9478,1.863,2.211
2012-02-14,2.211,2.116,2.1369,1.9486,1.8648,2.24
2012-02-15,2.24,2.207,2.1592,1.949,1.8669,2.279
2012-02-16,2.279,2.233,2.1805,1.9487,1.8693,2.331
2012-02-17,2.331,2.266,2.2321,1.9488,1.8721,2.3
2012-02-21,2.3,2.325,2.2723,1.9492,1.8747,2.281
2012-02-22,2.281,2.3,2.2863,1.9536,1.8771,2.302
2012-02-23,2.302,2.266,2.2987,1.9583,1.8793,2.25
2012-02-24,2.25,2.282,2.2929,1.9627,1.8811,2.241
2012-02-27,2.241,2.227,2.2749,1.9683,1.8833,2.254
2012-02-28,2.254,2.243,2.2657,1.9753,1.8854,2.227
2012-02-29,2.227,2.254,2.2549,1.9817,1.8873,2.294
2012-03-01,2.294,2.234,2.2533,1.9903,1.8899,2.269
2012-03-02,2.269,2.293,2.2572,1.9987,1.8926,2.251
2012-03-05,2.251,2.29,2.2592,2.0065,1.8951,2.207
2012-03-06,2.207,2.217,2.2499,2.0139,1.8967,2.208
2012-03-07,2.208,2.208,2.246,2.021,1.8984,2.205
2012-03-08,2.205,2.207,2.2281,2.0279,1.9005,2.316
2012-03-09,2.316,2.213,2.2375,2.0361,1.9032,2.401
2012-03-12,2.401,2.313,2.2673,2.0461,1.9055,2.406
2012-03-13,2.406,2.434,2.3071,2.0559,1.9077,2.353
2012-03-14,2.353,2.4,2.336,2.0649,1.9096,2.333
2012-03-15,2.333,2.352,2.3617,2.0741,1.9113,2.355
2012-03-16,2.355,2.327,2.3695,2.0843,1.9135,2.332
2012-03-19,2.332,2.351,2.3557,2.0948,1.9156,2.331
2012-03-20,2.331,2.332,2.3407,2.1055,1.9172,2.343
