ticker,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-11-06,18.0938,17.4063,18.6822,17.5625,17.3871,18.0625
2000-11-07,18.0625,17.8125,18.6635,17.6688,17.3764,18.2188
2000-11-08,18.2188,18.0,18.6422,17.8375,17.3602,18.2813
2000-11-09,18.2813,18.3125,18.6222,18.0125,17.3502,17.875
2000-11-10,17.875,18.1563,18.6029,18.1063,17.34,18.0938
2000-11-13,18.0938,17.5938,18.5872,18.1063,17.3287,18.0313
2000-11-14,18.0313,17.9688,18.5694,18.1,17.3087,18.3438
2000-11-15,18.3438,18.1563,18.5525,18.125,17.2887,18.1563
2000-11-16,18.1563,18.3438,18.5375,18.1,17.2712,18.4688
2000-11-17,18.4688,18.2813,18.5241,18.2188,17.2625,18.5938
2000-11-20,18.5938,18.3438,18.514,18.3188,17.2512,19.125
2000-11-21,19.125,18.625,18.5071,18.5375,17.2537,18.9063
2000-11-22,18.9063,19.0,18.5038,18.65,17.245,19.4375
2000-11-24,19.4375,18.9063,18.5058,18.9063,17.2412,19.8438
2000-11-27,19.8438,19.5625,18.515,19.1813,17.2637,19.5
2000-11-28,19.5,19.4688,18.516,19.3625,17.2931,20.0625
2000-11-29,20.0625,19.5,18.5163,19.55,17.3394,19.6563
2000-11-30,19.6563,19.75,18.5166,19.7,17.3806,20.3438
2000-12-01,20.3438,19.75,18.5216,19.8813,17.4394,21.6563
2000-12-04,21.6563,20.4063,18.5357,20.2438,17.5212,21.6875
2000-12-05,21.6875,21.4375,18.5483,20.6813,17.6,20.7813
2000-12-06,20.7813,21.2188,18.5577,20.825,17.6656,20.7813
2000-12-07,20.7813,21.25,18.571,21.05,17.7462,20.8125
2000-12-08,20.8125,20.9063,18.585,21.1438,17.8225,21.1875
2000-12-11,21.1875,20.9375,18.6021,21.05,17.9362,21.1875
2000-12-12,21.1875,20.9375,18.6204,20.95,18.0175,20.8438
2000-12-13,20.8438,21.5,18.6374,20.9625,18.0837,20.3438
2000-12-14,20.3438,20.0625,18.653,20.875,18.1394,20.4063
2000-12-15,20.4063,20.4688,18.6641,20.7938,18.1975,21.1563
2000-12-18,21.1563,20.2813,18.6782,20.7875,18.2756,21.4375
2000-12-19,21.4375,21.1875,18.7008,20.8375,18.3587,21.5313
2000-12-20,21.5313,21.125,18.7211,20.975,18.4556,22.375
2000-12-21,22.375,21.2813,18.7449,21.3813,18.5706,23.3125
2000-12-22,23.3125,22.125,18.7722,21.9625,18.7181,23.875
2000-12-26,23.875,23.3125,18.8025,22.5063,18.8787,23.75
2000-12-27,23.75,23.5938,18.8318,22.9688,19.0362,23.8125
2000-12-28,23.8125,23.5625,18.8552,23.425,19.2075,23.6563
2000-12-29,23.6563,23.5313,18.8718,23.6813,19.3825,23.1563
2001-01-02,23.1563,23.125,18.8885,23.65,19.5406,23.25
2001-01-03,23.25,22.375,18.9085,23.525,19.6987,24.3438
2001-01-04,24.3438,23.25,18.9307,23.6438,19.8712,22.9375
2001-01-05,22.9375,24.25,18.948,23.4688,20.0112,22.875
2001-01-08,22.875,22.6875,18.9635,23.3125,20.1556,22.8438
2001-01-09,22.8438,22.875,18.979,23.25,20.2944,22.5313
2001-01-10,22.5313,22.75,18.994,23.1063,20.4162,22.7188
2001-01-11,22.7188,22.6875,19.0118,22.7813,20.5212,21.8438
2001-01-12,21.8438,22.625,19.0235,22.5625,20.6075,22.3438
2001-01-16,22.3438,21.875,19.0333,22.4563,20.7069,22.5
2001-01-17,22.5,22.3438,19.0472,22.3875,20.8087,20.875
2001-01-18,20.875,20.9375,19.0469,22.0563,20.8781,20.3125
2001-01-19,20.3125,20.5,19.0399,21.575,20.9225,20.4375
2001-01-22,20.4375,20.3125,19.036,21.2938,20.97,20.8125
2001-01-23,20.8125,20.4375,19.0343,20.9875,21.0219,21.0938
2001-01-24,21.0938,20.5625,19.0363,20.7063,21.0781,21.6563
2001-01-25,21.6563,21.4375,19.041,20.8625,21.1537,21.625
2001-01-26,21.625,21.5625,19.044,21.125,21.2244,21.55
2001-01-29,21.55,21.5,19.0431,21.3475,21.2947,22.2
2001-01-30,22.2,21.61,19.0491,21.625,21.3719,22.11
2001-01-31,22.11,22.2,19.0584,21.8283,21.4509,22.165
2001-02-01,22.165,22.235,19.0669,21.93,21.5249,22.135
2001-02-02,22.135,22.125,19.0769,22.032,21.5957,21.885
2001-02-05,21.885,22.0,19.0923,22.099,21.6509,21.76
2001-02-06,21.76,21.935,19.1061,22.011,21.708,21.805
2001-02-07,21.805,21.775,19.1176,21.95,21.7553,21.59
2001-02-08,21.59,21.825,19.1253,21.835,21.7902,21.5
2001-02-09,21.5,21.54,19.1334,21.708,21.8302,21.565
2001-02-12,21.565,21.625,19.1409,21.644,21.8603,21.63
2001-02-13,21.63,21.575,19.1505,21.618,21.8998,21.46
2001-02-14,21.46,21.975,19.1607,21.549,21.9221,22.06
2001-02-15,22.06,21.76,19.172,21.643,21.9302,21.835
2001-02-16,21.835,21.96,19.184,21.71,21.9331,20.9
2001-02-20,20.9,21.7,19.1936,21.577,21.9355,20.48
2001-02-21,20.48,21.025,19.1984,21.347,21.9295,20.345
2001-02-22,20.345,20.7,19.2027,21.124,21.9201,20.045
2001-02-23,20.045,20.345,19.208,20.721,21.8973,20.815
2001-02-26,20.815,20.345,19.2161,20.517,21.8898,21.245
2001-02-27,21.245,20.775,19.2253,20.586,21.8978,20.8
2001-02-28,20.8,21.15,19.2309,20.65,21.907,21.0
