ticker,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2013-12-12,4.89,5.12,5.486,7.6327,7.1291,5.7
2013-12-13,5.7,5.05,5.426,7.5799,7.1338,5.56
2013-12-16,5.56,5.86,5.394,7.5125,7.1383,5.77
2013-12-17,5.77,5.58,5.418,7.4547,7.1427,5.8
2013-12-18,5.8,5.83,5.544,7.4095,7.1471,5.98
2013-12-19,5.98,5.76,5.762,7.3767,7.1532,5.7
2013-12-20,5.7,6.02,5.762,7.3269,7.1555,5.61
2013-12-23,5.61,5.71,5.772,7.2653,7.1576,5.83
2013-12-24,5.83,5.65,5.784,7.2069,7.1573,5.78
2013-12-26,5.78,5.86,5.78,7.1509,7.1587,5.87
2013-12-27,5.87,5.78,5.758,7.0965,7.1585,6.39
2013-12-30,6.39,5.89,5.896,7.0511,7.1611,6.34
2013-12-31,6.34,6.41,6.042,7.0011,7.1648,6.78
2014-01-02,6.78,6.36,6.232,6.9551,7.1697,6.92
2014-01-03,6.92,7.06,6.46,6.9135,7.1742,7.04
2014-01-06,7.04,6.89,6.694,6.8795,7.1792,7.54
2014-01-07,7.54,7.05,6.924,6.8558,7.1871,7.25
2014-01-08,7.25,7.56,7.106,6.8428,7.191,7.59
2014-01-09,7.59,7.5,7.268,6.8374,7.1964,7.79
2014-01-10,7.79,7.66,7.442,6.8356,7.2032,8.05
2014-01-13,8.05,7.7,7.644,6.8432,7.2125,7.87
2014-01-14,7.87,7.66,7.71,6.8496,7.2225,8.26
2014-01-15,8.26,8.09,7.912,6.8626,7.2343,8.28
2014-01-16,8.28,8.25,8.05,6.8696,7.2473,8.13
2014-01-17,8.13,8.3,8.118,6.8672,7.2572,8.22
2014-01-21,8.22,8.17,8.152,6.8716,7.2678,8.08
2014-01-22,8.08,8.19,8.194,6.8796,7.2793,7.83
2014-01-23,7.83,8.09,8.108,6.8794,7.2877,7.61
2014-01-24,7.61,7.72,7.974,6.8684,7.2953,7.33
2014-01-27,7.33,7.69,7.814,6.8506,7.3021,7.41
2014-01-28,7.41,7.34,7.652,6.8398,7.3097,7.32
2014-01-29,7.32,7.31,7.5,6.8294,7.3201,7.54
2014-01-30,7.54,7.37,7.442,6.8248,7.3281,7.4
2014-01-31,7.4,7.41,7.4,6.8192,7.3373,6.65
2014-02-03,6.65,7.4,7.264,6.81,7.3432,6.74
2014-02-04,6.74,6.68,7.13,6.8088,7.3491,6.6
2014-02-05,6.6,6.71,6.986,6.7994,7.3531,6.6
2014-02-06,6.6,6.6,6.798,6.7892,7.3562,6.69
2014-02-07,6.69,6.77,6.656,6.782,7.3587,7.03
2014-02-10,7.03,6.72,6.732,6.7798,7.3603,7.0
2014-02-11,7.0,7.07,6.784,6.775,7.3591,6.86
2014-02-12,6.86,6.98,6.836,6.7672,7.3578,7.3
2014-02-13,7.3,6.81,6.976,6.775,7.3591,7.3
2014-02-14,7.3,7.21,7.098,6.789,7.3609,7.58
2014-02-18,7.58,7.28,7.208,6.8124,7.3613,8.07
2014-02-19,8.07,7.7,7.422,6.8484,7.3629,7.91
2014-02-20,7.91,7.81,7.632,6.8866,7.3632,7.37
2014-02-21,7.37,7.98,7.646,6.9196,7.3619,7.63
2014-02-24,7.63,7.4,7.712,6.9592,7.3629,7.89
2014-02-25,7.89,7.65,7.774,7.0136,7.3629,8.21
2014-02-26,8.21,7.9,7.802,7.08,7.3643,8.25
2014-02-27,8.25,8.15,7.87,7.131,7.361,8.07
2014-02-28,8.07,8.16,8.01,7.1812,7.3531,8.02
2014-03-03,8.02,7.9,8.088,7.2262,7.3462,8.475
2014-03-04,8.475,8.18,8.205,7.2797,7.3438,8.64
2014-03-05,8.64,8.43,8.291,7.3329,7.3418,8.44
2014-03-06,8.44,8.59,8.329,7.3877,7.3385,8.52
2014-03-07,8.52,8.5,8.419,7.4459,7.3361,8.4
2014-03-10,8.4,8.43,8.495,7.4973,7.336,8.38
2014-03-11,8.38,8.39,8.476,7.5493,7.3368,8.51
2014-03-12,8.51,8.33,8.45,7.6021,7.3386,8.37
2014-03-13,8.37,8.55,8.436,7.6417,7.3385,8.26
2014-03-14,8.26,8.3,8.384,7.6801,7.3403,8.26
2014-03-17,8.26,8.33,8.356,7.7097,7.3427,8.53
2014-03-18,8.53,8.29,8.386,7.7419,7.3467,8.51
2014-03-19,8.51,8.48,8.386,7.7713,7.3522,8.34
2014-03-20,8.34,8.49,8.38,7.7873,7.3587,8.27
2014-03-21,8.27,8.67,8.382,7.8077,7.3653,8.23
2014-03-24,8.23,8.26,8.376,7.8205,7.3717,8.29
2014-03-25,8.29,8.31,8.328,7.8305,7.3782,7.78
2014-03-26,7.78,8.26,8.182,7.8251,7.3821,7.19
2014-03-27,7.19,7.82,7.952,7.8115,7.3841,7.22
2014-03-28,7.22,7.19,7.742,7.7907,7.3893,7.36
2014-03-31,7.36,7.3,7.568,7.7723,7.3928,7.9
2014-04-01,7.9,7.52,7.49,7.7677,7.3993,8.4
2014-04-02,8.4,7.95,7.614,7.7713,7.4078,7.99
2014-04-03,7.99,8.31,7.774,7.7695,7.4132,7.68
2014-04-04,7.68,8.01,7.866,7.7665,7.4184,7.74
2014-04-07,7.74,7.6,7.942,7.7691,7.4245,7.7
2014-04-08,7.7,7.75,7.902,7.7765,7.427,7.98
2014-04-09,7.98,7.77,7.818,7.7879,7.4337,7.37
2014-04-10,7.37,7.97,7.694,7.7889,7.4364,7.37
2014-04-11,7.37,7.31,7.632,7.7855,7.4386,7.21
2014-04-14,7.21,7.47,7.526,7.7817,7.4368,7.16
2014-04-15,7.16,7.25,7.418,7.7919,7.4339,7.23
2014-04-16,7.23,7.19,7.268,7.8017,7.4317,7.57
2014-04-17,7.57,7.23,7.308,7.8211,7.4329,7.665
2014-04-21,7.665,7.63,7.367,7.8424,7.4341,8.15
2014-04-22,8.15,7.71,7.555,7.8716,7.4374,7.94
2014-04-23,7.94,8.09,7.711,7.8898,7.437,8.11
2014-04-24,8.11,8.01,7.887,7.912,7.4368,7.65
2014-04-25,7.65,8.03,7.903,7.9278,7.4352,7.37
2014-04-28,7.37,7.66,7.844,7.9292,7.4325,7.32
2014-04-29,7.32,7.38,7.678,7.9296,7.431,7.55
2014-04-30,7.55,7.28,7.6,7.929,7.4283,7.44
2014-05-01,7.44,7.56,7.466,7.9164,7.4245,7.3
2014-05-02,7.3,7.49,7.396,7.9042,7.4213,7.27
2014-05-05,7.27,7.19,7.376,7.9022,7.4185,6.95
2014-05-06,6.95,7.18,7.302,7.8886,7.4162,7.8
2014-05-07,7.8,7.34,7.352,7.8868,7.4199,7.9
2014-05-08,7.9,7.61,7.444,7.8806,7.4232,8.02
2014-05-09,8.02,7.83,7.588,7.876,7.4313,8.44
2014-05-12,8.44,8.02,7.822,7.8834,7.4399,8.36
2014-05-13,8.36,8.45,8.104,7.8902,7.4487,8.21
2014-05-14,8.21,8.35,8.186,7.8849,7.4583,8.09
2014-05-15,8.09,8.15,8.224,7.8739,7.4672,8.39
2014-05-16,8.39,7.99,8.298,7.8729,7.4774,8.245
2014-05-19,8.245,8.37,8.259,7.8674,7.4873,8.08
2014-05-20,8.08,8.22,8.203,7.861,7.4963,8.54
2014-05-21,8.54,8.14,8.269,7.8642,7.506,8.67
2014-05-22,8.67,8.55,8.385,7.8674,7.5191,8.75
2014-05-23,8.75,8.61,8.457,7.875,7.5328,8.52
2014-05-27,8.52,8.83,8.512,7.8802,7.5452,8.42
2014-05-28,8.42,8.46,8.58,7.8834,7.5569,8.43
