ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-04-28,5.5263,5.4853,6.0474,5.581,5.3055,5.5674
2000-05-01,5.5674,5.4169,6.0404,5.581,5.3105,5.5674
2000-05-02,5.5674,5.5263,6.0325,5.5537,5.317,5.54
2000-05-03,5.54,5.5537,6.0251,5.5373,5.325,5.5263
2000-05-04,5.5263,5.54,6.0173,5.5455,5.334,5.6084
2000-05-05,5.6084,5.54,6.0096,5.5619,5.3479,5.5947
2000-05-08,5.5947,5.6494,6.0021,5.5674,5.3646,5.499
2000-05-09,5.499,5.5674,5.9947,5.5537,5.3767,5.5126
2000-05-10,5.5126,5.499,5.987,5.5482,5.3876,5.6494
2000-05-11,5.6494,5.5947,5.9811,5.5728,5.3999,5.6357
2000-05-12,5.6357,5.6357,5.9754,5.5783,5.4131,5.882
2000-05-15,5.882,5.6357,5.97,5.6357,5.4308,5.8956
2000-05-16,5.8956,5.9777,5.9653,5.7151,5.4503,5.7862
2000-05-17,5.7862,5.8683,5.9591,5.7698,5.4659,5.7452
2000-05-18,5.7452,5.7862,5.953,5.789,5.4776,5.7178
2000-05-19,5.7178,5.6905,5.9474,5.8054,5.488,5.8956
2000-05-22,5.8956,5.7452,5.9428,5.8081,5.5017,5.8136
2000-05-23,5.8136,5.8683,5.9373,5.7917,5.5132,6.0051
2000-05-24,6.0051,5.8136,5.9328,5.8355,5.534,5.923
2000-05-25,5.923,5.9914,5.9279,5.871,5.5512,6.0188
2000-05-26,6.0188,5.9504,5.9247,5.9312,5.5638,6.1419
2000-05-30,6.1419,6.0872,5.9213,5.9805,5.5802,6.3744
2000-05-31,6.3744,6.1556,5.9188,6.0926,5.5999,6.5796
2000-06-01,6.5796,6.4155,5.917,6.2075,5.6221,6.5933
2000-06-02,6.5933,6.648,5.916,6.3416,5.6481,6.3471
2000-06-05,6.3471,6.5796,5.9136,6.4072,5.6694,6.2239
2000-06-06,6.2239,6.3744,5.9102,6.4237,5.6869,6.1829
2000-06-07,6.1829,6.265,5.9064,6.3854,5.7036,6.0872
2000-06-08,6.0872,6.1829,5.9027,6.2869,5.7214,6.2239
2000-06-09,6.2239,6.1145,5.8995,6.213,5.7392,6.2513
2000-06-12,6.2513,6.2376,5.8964,6.1939,5.7561,6.306
2000-06-13,6.306,6.265,5.8939,6.2103,5.7728,6.265
2000-06-14,6.265,6.2787,5.8922,6.2267,5.7884,6.2239
2000-06-15,6.2239,6.2513,5.8894,6.254,5.8037,6.265
2000-06-16,6.265,6.2376,5.8869,6.2622,5.8212,6.2513
2000-06-19,6.2513,6.2787,5.8849,6.2622,5.8366,6.1692
2000-06-20,6.1692,6.2239,5.8824,6.2349,5.8511,6.1556
2000-06-21,6.1556,6.1829,5.8794,6.213,5.8661,6.0051
2000-06-22,6.0051,6.1829,5.8756,6.1692,5.8781,5.964
2000-06-23,5.964,5.9914,5.8716,6.109,5.8891,5.9914
2000-06-26,5.9914,6.0188,5.8675,6.0571,5.897,5.8683
2000-06-27,5.8683,6.0188,5.8629,5.9969,5.9036,6.0239
2000-06-28,6.0239,5.8956,5.8594,5.9705,5.9116,5.882
2000-06-29,5.882,6.0188,5.8552,5.9459,5.9179,5.6802
2000-06-30,5.6802,5.9093,5.8497,5.8892,5.9204,5.9367
2000-07-03,5.9367,5.5263,5.8449,5.8782,5.9256,5.8956
2000-07-05,5.8956,5.923,5.8401,5.8837,5.9322,5.8683
2000-07-06,5.8683,5.882,5.8361,5.8526,5.9355,5.8409
2000-07-07,5.8409,5.8409,5.8318,5.8444,5.9399,5.8546
2000-07-10,5.8546,5.882,5.8281,5.8792,5.9473,5.964
2000-07-11,5.964,5.8546,5.8253,5.8847,5.956,5.9777
2000-07-12,5.9777,6.0051,5.8217,5.9011,5.9642,5.9367
2000-07-13,5.9367,5.9504,5.8185,5.9148,5.9716,5.8546
2000-07-14,5.8546,5.9367,5.8148,5.9175,5.9779,5.8546
2000-07-17,5.8546,5.8546,5.8109,5.9175,5.9845,5.923
2000-07-18,5.923,5.8546,5.8082,5.9093,5.9908,6.0188
2000-07-19,6.0188,5.9504,5.8052,5.9175,5.9992,6.0324
2000-07-20,6.0324,6.0598,5.8023,5.9367,6.0099,5.9777
2000-07-21,5.9777,6.0051,5.799,5.9613,6.0192,5.8546
2000-07-24,5.8546,5.9914,5.7953,5.9613,6.0233,5.8956
2000-07-25,5.8956,5.882,5.7921,5.9558,6.0285,5.8956
2000-07-26,5.8956,5.882,5.7893,5.9312,6.0288,5.9367
2000-07-27,5.9367,5.8683,5.7865,5.9121,6.0296,5.7589
2000-07-28,5.7589,5.8273,5.7829,5.8683,6.0291,5.8409
2000-07-31,5.8409,5.7862,5.7793,5.8656,6.031,5.9367
2000-08-01,5.9367,5.8546,5.7763,5.8738,6.0353,6.2376
2000-08-02,6.2376,6.1282,5.775,5.9422,6.0422,6.3881
2000-08-03,6.3881,6.2376,5.7744,6.0324,6.0537,6.3607
2000-08-04,6.3607,6.3744,5.774,6.1528,6.0608,6.4189
2000-08-07,6.4189,6.4018,5.7742,6.2684,6.0707,6.5112
2000-08-08,6.5112,6.3744,5.7751,6.3833,6.0806,6.5249
2000-08-09,6.5249,6.4565,5.7762,6.4408,6.0882,6.5009
2000-08-10,6.5009,6.5386,5.7767,6.4633,6.0907,6.6343
2000-08-11,6.6343,6.4975,5.7775,6.518,6.0918,6.7301
2000-08-14,6.7301,6.6617,5.7788,6.5803,6.0946,6.9079
2000-08-15,6.9079,6.7848,5.7814,6.6596,6.1058,6.9489
2000-08-16,6.9489,6.9216,5.7844,6.7444,6.1203,6.9079
2000-08-17,6.9079,6.9626,5.7875,6.8258,6.1348,6.8258
2000-08-18,6.8258,6.8805,5.7902,6.8641,6.1496,6.7711
2000-08-21,6.7711,6.7574,5.7923,6.8723,6.1605,6.8805
2000-08-22,6.8805,6.7574,5.7955,6.8669,6.1731,6.9079
2000-08-23,6.9079,6.8942,5.7977,6.8587,6.1851,6.8805
2000-08-24,6.8805,6.9216,5.8003,6.8532,6.1974,6.7711
2000-08-25,6.7711,6.8395,5.8024,6.8422,6.2084,6.8258
2000-08-28,6.8258,6.7985,5.8046,6.8532,6.2196,6.8942
2000-08-29,6.8942,6.8532,5.8075,6.8559,6.2325,6.9763
2000-08-30,6.9763,6.9079,5.8102,6.8696,6.2486,6.9943
2000-08-31,6.9943,6.99,5.8125,6.8923,6.2654,7.031
2000-09-01,7.031,7.0173,5.8155,6.9443,6.2859,7.2225
2000-09-05,7.2225,7.072,5.8196,7.0237,6.3111,7.3183
2000-09-06,7.3183,7.2225,5.825,7.1085,6.3376,7.5371
2000-09-07,7.5371,7.3593,5.8326,7.2206,6.371,7.5696
