ticker,CME US Equity,CME US Equity,CME US Equity,CME US Equity,CME US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-01-09,15.06,14.9,15.1476,13.9348,13.3856,14.996
2004-01-12,14.996,15.09,15.0224,13.9588,13.4116,14.798
2004-01-13,14.798,14.996,14.9484,13.9854,13.437,14.688
2004-01-14,14.688,14.81,14.886,14.0074,13.4623,14.982
2004-01-15,14.982,14.72,14.9048,14.035,13.4892,15.94
2004-01-16,15.94,15.1,15.0808,14.0898,13.5207,16.4
2004-01-20,16.4,16.08,15.3616,14.1526,13.5545,16.444
2004-01-21,16.444,16.5,15.6908,14.2161,13.5883,17.36
2004-01-22,17.36,16.59,16.2252,14.2936,13.6284,17.122
2004-01-23,17.122,17.26,16.6532,14.3658,13.6675,17.09
2004-01-26,17.09,17.22,16.8832,14.4346,13.7062,17.15
2004-01-27,17.15,17.1,17.0332,14.5004,13.7449,17.002
2004-01-28,17.002,17.16,17.1448,14.5713,13.7831,16.998
2004-01-29,16.998,17.02,17.0724,14.6407,13.8206,17.484
2004-01-30,17.484,16.998,17.1448,14.727,13.8605,17.46
2004-02-02,17.46,17.544,17.2188,14.8108,13.9002,17.2
2004-02-03,17.2,17.3,17.2288,14.8819,13.9372,16.874
2004-02-04,16.874,17.15,17.2032,14.9478,13.9728,17.032
2004-02-05,17.032,16.874,17.21,15.0169,14.0082,17.12
2004-02-06,17.12,17.032,17.1372,15.0848,14.0433,17.3
2004-02-09,17.3,17.22,17.1052,15.157,14.0782,17.1
2004-02-10,17.1,17.3,17.0852,15.225,14.1112,17.0
2004-02-11,17.0,17.15,17.1104,15.2911,14.1408,16.89
2004-02-12,16.89,17.0,17.082,15.353,14.1696,16.62
2004-02-13,16.62,16.97,16.982,15.4082,14.1962,17.072
2004-02-17,17.072,16.82,16.9364,15.4762,14.2258,17.06
2004-02-18,17.06,17.272,16.9284,15.5414,14.2541,17.118
2004-02-19,17.118,17.13,16.952,15.6012,14.2829,16.998
2004-02-20,16.998,17.13,16.9736,15.6612,14.3113,17.37
2004-02-23,17.37,17.15,17.1236,15.7313,14.3426,17.3
2004-02-24,17.3,17.37,17.1692,15.806,14.3737,17.52
2004-02-25,17.52,17.3,17.2612,15.882,14.4056,18.29
2004-02-26,18.29,17.52,17.4956,15.9748,14.4403,18.65
2004-02-27,18.65,18.448,17.826,16.076,14.475,18.972
2004-03-01,18.972,18.7,18.1464,16.1807,14.5114,18.88
2004-03-02,18.88,18.972,18.4624,16.2832,14.5471,18.65
2004-03-03,18.65,18.83,18.6884,16.3749,14.5804,19.0
2004-03-04,19.0,18.69,18.8304,16.467,14.6168,19.438
2004-03-05,19.438,18.98,18.988,16.567,14.6555,19.09
2004-03-08,19.09,19.46,19.0116,16.6592,14.6918,19.39
2004-03-09,19.39,19.07,19.1136,16.7591,14.729,19.2
2004-03-10,19.2,19.38,19.2236,16.8571,14.7648,18.85
2004-03-11,18.85,19.15,19.1936,16.9445,14.7996,19.024
2004-03-12,19.024,18.82,19.1108,17.0342,14.8342,18.7
2004-03-15,18.7,19.03,19.0328,17.1188,14.8675,18.286
2004-03-16,18.286,18.55,18.812,17.1929,14.8974,18.82
2004-03-17,18.82,18.288,18.736,17.2569,14.9295,18.694
2004-03-18,18.694,18.82,18.7048,17.3274,14.9606,18.754
2004-03-19,18.754,18.696,18.6508,17.4025,14.9912,18.416
2004-03-22,18.416,18.6,18.594,17.473,15.0203,18.576
2004-03-23,18.576,18.556,18.652,17.5434,15.0522,18.45
2004-03-24,18.45,18.53,18.578,17.6124,15.0824,18.61
2004-03-25,18.61,18.5,18.5612,17.6887,15.1133,18.936
2004-03-26,18.936,18.6,18.5976,17.7736,15.1456,19.334
2004-03-29,19.334,18.986,18.7812,17.8607,15.1781,19.86
2004-03-30,19.86,19.384,19.038,17.9391,15.2129,19.348
2004-03-31,19.348,19.72,19.2176,17.998,15.244,20.1
2004-04-01,20.1,19.37,19.5156,18.0712,15.2751,20.6
2004-04-02,20.6,20.4,19.8484,18.136,15.3085,21.482
2004-04-05,21.482,20.8,20.278,18.2232,15.3479,21.6
2004-04-06,21.6,21.41,20.626,18.3134,15.3897,21.98
2004-04-07,21.98,21.68,21.1524,18.41,15.4336,21.91
2004-04-08,21.91,22.08,21.5144,18.5081,15.4746,22.004
2004-04-12,22.004,21.86,21.7952,18.6082,15.5176,21.066
2004-04-13,21.066,21.94,21.712,18.6799,15.5538,21.212
2004-04-14,21.212,21.066,21.6344,18.7549,15.5903,21.76
2004-04-15,21.76,21.212,21.5904,18.8461,15.6295,21.996
2004-04-16,21.996,21.8,21.6076,18.9486,15.6649,22.952
2004-04-19,22.952,22.196,21.7972,19.067,15.705,23.222
2004-04-20,23.222,23.0,22.2284,19.189,15.7472,22.904
2004-04-21,22.904,23.33,22.5668,19.3011,15.7875,23.44
2004-04-22,23.44,22.86,22.9028,19.4279,15.8303,23.77
2004-04-23,23.77,23.44,23.2576,19.5633,15.8726,23.462
2004-04-26,23.462,23.77,23.3596,19.6947,15.9124,24.198
2004-04-27,24.198,23.75,23.5548,19.8463,15.9577,23.7
2004-04-28,23.7,24.198,23.714,19.9788,15.9989,23.4
