ticker,APH US Equity,APH US Equity,APH US Equity,APH US Equity,APH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-04-18,3.5078,3.0938,2.0143,3.3156,2.7852,3.6035
2000-04-19,3.6035,3.6563,2.0261,3.316,2.8137,3.5313
2000-04-20,3.5313,3.5996,2.0376,3.3137,2.842,3.4414
2000-04-24,3.4414,3.4844,2.0487,3.423,2.8692,3.75
2000-04-25,3.75,3.5938,2.0612,3.5668,2.9028,3.6367
2000-04-26,3.6367,3.75,2.0732,3.5926,2.9243,3.75
2000-04-27,3.75,3.5742,2.0857,3.6219,2.9523,3.9844
2000-04-28,3.9844,3.75,2.0988,3.7125,2.9833,3.7383
2000-05-01,3.7383,3.8906,2.1104,3.7719,3.0107,3.6875
2000-05-02,3.6875,3.6992,2.1217,3.7594,3.039,3.2266
2000-05-03,3.2266,3.6094,2.1308,3.6773,3.0589,3.4219
2000-05-04,3.4219,3.3125,2.141,3.6117,3.0821,3.6836
2000-05-05,3.6836,3.4063,2.1527,3.5516,3.1095,3.7344
2000-05-08,3.7344,3.6836,2.1647,3.5508,3.138,3.3594
2000-05-09,3.3594,3.7031,2.1749,3.4852,3.1583,2.9766
2000-05-10,2.9766,3.3281,2.1831,3.4352,3.1679,3.1602
2000-05-11,3.1602,2.9922,2.1921,3.3828,3.1777,3.2305
2000-05-12,3.2305,3.25,2.2015,3.2922,3.1909,3.1367
2000-05-15,3.1367,3.1172,2.2105,3.1727,3.2023,3.0703
2000-05-16,3.0703,3.1953,2.2191,3.1148,3.2121,3.0664
2000-05-17,3.0664,3.0469,2.2278,3.1328,3.2244,3.2266
2000-05-18,3.2266,3.1094,2.2372,3.1461,3.2413,3.0898
2000-05-19,3.0898,3.2031,2.246,3.118,3.2551,2.9531
2000-05-22,2.9531,3.1016,2.254,3.0813,3.2603,2.9063
2000-05-23,2.9063,2.9688,2.2619,3.0484,3.2664,2.8125
2000-05-24,2.8125,2.9063,2.2694,2.9977,3.2722,2.7813
2000-05-25,2.7813,2.8086,2.2767,2.9086,3.274,2.8008
2000-05-26,2.8008,2.8281,2.2841,2.8508,3.2748,3.0
2000-05-30,3.0,2.7852,2.2925,2.8602,3.2754,2.8594
2000-05-31,2.8594,2.9531,2.3001,2.8508,3.2745,3.0742
2000-06-01,3.0742,2.9063,2.3089,2.9031,3.278,3.1914
2000-06-02,3.1914,3.3125,2.3182,2.9852,3.2832,3.0703
2000-06-05,3.0703,3.1758,2.3269,3.0391,3.2832,3.0977
2000-06-06,3.0977,3.082,2.3356,3.0586,3.2849,3.1328
2000-06-07,3.1328,3.0977,2.3446,3.1133,3.283,3.1289
2000-06-08,3.1289,3.1367,2.3537,3.1242,3.2831,3.2266
2000-06-09,3.2266,3.1797,2.363,3.1313,3.2874,3.1133
2000-06-12,3.1133,3.2305,2.3717,3.1398,3.2895,3.1055
2000-06-13,3.1055,3.2266,2.3798,3.1414,3.2877,3.0625
2000-06-14,3.0625,3.1055,2.3878,3.1273,3.286,3.5391
2000-06-15,3.5391,3.4297,2.3982,3.2094,3.2936,3.5898
2000-06-16,3.5898,3.6016,2.4088,3.282,3.3004,3.668
2000-06-19,3.668,3.6094,2.42,3.393,3.3047,3.6641
2000-06-20,3.6641,3.6094,2.4309,3.5047,3.3039,3.9141
2000-06-21,3.9141,3.6641,2.4431,3.675,3.3088,3.9063
2000-06-22,3.9063,3.9141,2.455,3.7484,3.3136,3.875
2000-06-23,3.875,3.9063,2.4668,3.8055,3.3191,3.8438
2000-06-26,3.8438,3.8906,2.4782,3.8406,3.3251,3.6953
2000-06-27,3.6953,3.8594,2.4885,3.8469,3.3411,3.9453
2000-06-28,3.9453,3.7188,2.5,3.8531,3.3594,3.8047
2000-06-29,3.8047,3.9492,2.5109,3.8328,3.3654,4.1304
2000-06-30,4.1304,3.8047,2.5232,3.8839,3.3759,4.2344
2000-07-03,4.2344,4.1367,2.5357,3.962,3.39,4.1445
2000-07-05,4.1445,4.2422,2.5478,4.0519,3.404,4.1016
2000-07-06,4.1016,4.1367,2.5598,4.0831,3.411,4.2813
2000-07-07,4.2813,4.1641,2.5728,4.1784,3.4239,4.2734
2000-07-10,4.2734,4.2852,2.5859,4.207,3.4344,4.2578
2000-07-11,4.2578,4.2734,2.5992,4.2117,3.4399,4.375
2000-07-12,4.375,4.2461,2.6133,4.2578,3.4526,4.2656
2000-07-13,4.2656,4.375,2.627,4.2906,3.4642,4.2422
2000-07-14,4.2422,4.2969,2.6405,4.2828,3.4845,4.2852
2000-07-17,4.2852,4.1563,2.6542,4.2852,3.5017,4.0938
2000-07-18,4.0938,4.3203,2.6667,4.2523,3.51,4.2227
2000-07-19,4.2227,4.0547,2.6798,4.2219,3.5197,4.125
2000-07-20,4.125,4.2578,2.6924,4.1938,3.535,4.0156
2000-07-21,4.0156,4.1094,2.7045,4.1484,3.5558,4.0469
2000-07-24,4.0469,4.0156,2.7168,4.1008,3.5735,3.9805
2000-07-25,3.9805,4.0703,2.7288,4.0781,3.5885,3.875
2000-07-26,3.875,4.0117,2.7404,4.0086,3.6033,3.4727
2000-07-27,3.4727,3.7188,2.7498,3.8781,3.6114,3.25
2000-07-28,3.25,3.457,2.7584,3.725,3.615,3.2773
2000-07-31,3.2773,3.2813,2.7673,3.5711,3.616,3.3359
2000-08-01,3.3359,3.3281,2.7766,3.4422,3.621,3.3398
2000-08-02,3.3398,3.2734,2.7859,3.3352,3.6287,3.2031
2000-08-03,3.2031,3.25,2.7943,3.2813,3.6346,3.3672
2000-08-04,3.3672,3.25,2.8034,3.3047,3.6457,3.5234
2000-08-07,3.5234,3.4063,2.8133,3.3539,3.6606,3.5586
2000-08-08,3.5586,3.6719,2.8231,3.3984,3.6757,3.5898
2000-08-09,3.5898,3.5938,2.8331,3.4484,3.6875,3.5938
2000-08-10,3.5938,3.5742,2.8429,3.5266,3.7022,3.5039
2000-08-11,3.5039,3.5625,2.852,3.5539,3.7108,3.5625
2000-08-14,3.5625,3.4688,2.8608,3.5617,3.7182,3.6836
2000-08-15,3.6836,3.5938,2.87,3.5867,3.7305,3.7852
2000-08-16,3.7852,3.7617,2.8796,3.6258,3.7442,3.8555
2000-08-17,3.8555,3.7422,2.8895,3.6781,3.7587,3.8828
2000-08-18,3.8828,3.8672,2.8995,3.7539,3.7738,3.9727
2000-08-21,3.9727,3.9297,2.9099,3.8359,3.7887,3.875
2000-08-22,3.875,3.9844,2.9196,3.8742,3.8039,3.875
2000-08-23,3.875,3.875,2.9292,3.8922,3.8193,3.8828
2000-08-24,3.8828,3.8828,2.9387,3.8977,3.8357,3.8555
2000-08-25,3.8555,3.8906,2.9479,3.8922,3.8421,3.8203
2000-08-28,3.8203,3.8281,2.957,3.8617,3.8467,3.8984
2000-08-29,3.8984,3.875,2.9665,3.8664,3.8513,4.0938
2000-08-30,4.0938,3.9531,2.9763,3.9102,3.8599,4.0
2000-08-31,4.0,4.1406,2.9857,3.9336,3.8616,4.1602
2000-09-01,4.1602,4.0313,2.9959,3.9945,3.8667,4.1523
2000-09-05,4.1523,4.1875,3.0061,4.0609,3.8722,4.0664
2000-09-06,4.0664,4.1563,3.016,4.0945,3.8767,4.0625
2000-09-07,4.0625,4.0742,3.0257,4.0883,3.884,3.9492
2000-09-08,3.9492,4.0625,3.0349,4.0781,3.8841,4.0625
2000-09-11,4.0625,3.9609,3.0448,4.0586,3.8892,3.9727
2000-09-12,3.9727,4.0938,3.0543,4.0227,3.8861,3.8594
2000-09-13,3.8594,3.9258,3.0631,3.9813,3.8786,3.875
2000-09-14,3.875,3.8594,3.0718,3.9438,3.8732,3.7539
2000-09-15,3.7539,3.8828,3.0799,3.9047,3.8663,3.6133
2000-09-18,3.6133,3.7188,3.0873,3.8148,3.8529,3.6797
2000-09-19,3.6797,3.6484,3.095,3.7563,3.841,3.6055
2000-09-20,3.6055,3.6719,3.1023,3.7055,3.828,3.5781
2000-09-21,3.5781,3.5859,3.1094,3.6461,3.812,3.4766
2000-09-22,3.4766,3.5313,3.1159,3.5906,3.7963,3.4336
2000-09-25,3.4336,3.5,3.1231,3.5547,3.7801,3.4141
2000-09-26,3.4141,3.4141,3.1299,3.5016,3.7627,3.3438
2000-09-27,3.3438,3.4688,3.1364,3.4492,3.7477,3.4492
2000-09-28,3.4492,3.4102,3.1435,3.4234,3.7322,3.5586
2000-09-29,3.5586,3.5313,3.1511,3.4398,3.7209,3.543
2000-10-02,3.543,3.625,3.1587,3.4617,3.7114,3.4766
2000-10-03,3.4766,3.5742,3.1659,3.4742,3.7,3.5781
2000-10-04,3.5781,3.4766,3.1736,3.5211,3.692,3.5469
2000-10-05,3.5469,3.5938,3.1811,3.5406,3.6854,3.5
2000-10-06,3.5,3.5469,3.1885,3.5289,3.6859,3.4805
2000-10-09,3.4805,3.5234,3.1956,3.5164,3.6905,3.3164
2000-10-10,3.3164,3.4375,3.2019,3.4844,3.6913,3.5
2000-10-11,3.5,3.2188,3.209,3.4688,3.6946,3.2578
2000-10-12,3.2578,3.5,3.2149,3.4109,3.693,3.6367
2000-10-13,3.6367,3.25,3.2227,3.4383,3.7016,3.6797
2000-10-16,3.6797,3.7461,3.2307,3.4781,3.7079,3.6563
2000-10-17,3.6563,3.8359,3.2385,3.5461,3.7105,3.5742
2000-10-18,3.5742,3.5703,3.2462,3.5609,3.7109,4.0703
2000-10-19,4.0703,3.7813,3.2567,3.7234,3.7205,4.0664
2000-10-20,4.0664,4.1328,3.2674,3.8094,3.7299,4.2266
2000-10-23,4.2266,4.0898,3.2787,3.9188,3.7444,4.1406
2000-10-24,4.1406,4.1875,3.2892,4.0156,3.7559,3.9063
2000-10-25,3.9063,4.0391,3.2983,4.082,3.7604,3.9531
2000-10-26,3.9531,3.8906,3.3062,4.0586,3.7638,3.9258
2000-10-27,3.9258,3.9531,3.3141,4.0305,3.7652,3.9688
2000-10-30,3.9688,3.8945,3.3219,3.9789,3.7669,4.0156
2000-10-31,4.0156,3.9531,3.3297,3.9539,3.7677,4.0352
2000-11-01,4.0352,4.0391,3.3377,3.9797,3.7709,4.0586
2000-11-02,4.0586,4.0625,3.3459,4.0008,3.7746,4.0625
2000-11-03,4.0625,4.0586,3.3545,4.0281,3.7782,4.0078
2000-11-06,4.0078,4.0625,3.363,4.0359,3.7813,3.9727
2000-11-07,3.9727,3.9922,3.3716,4.0273,3.7843,4.0078
2000-11-08,4.0078,3.9648,3.3803,4.0219,3.7865,3.8984
