ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2012-07-25,25.355,25.315,21.1426,25.192,24.4343,25.045
2012-07-26,25.045,25.6375,21.1725,25.124,24.4833,25.355
2012-07-27,25.355,25.08,21.2046,25.178,24.5365,25.21
2012-07-30,25.21,25.255,21.235,25.222,24.5846,24.89
2012-07-31,24.89,25.08,21.2646,25.171,24.6348,24.265
2012-08-01,24.265,25.005,21.2899,24.953,24.6602,24.05
2012-08-02,24.05,24.22,21.3175,24.754,24.6846,24.895
2012-08-03,24.895,24.45,21.348,24.662,24.7222,24.78
2012-08-06,24.78,24.865,21.3779,24.576,24.748,24.58
2012-08-07,24.58,24.93,21.4071,24.514,24.7695,24.34
2012-08-08,24.34,24.435,21.4321,24.529,24.7758,24.06
2012-08-09,24.06,24.2,21.453,24.531,24.7785,23.995
2012-08-10,23.995,24.03,21.4766,24.351,24.7804,23.905
2012-08-13,23.905,23.915,21.4986,24.176,24.7846,23.61
2012-08-14,23.61,24.025,21.5138,23.982,24.7823,23.845
2012-08-15,23.845,23.515,21.5311,23.883,24.7786,23.91
2012-08-16,23.91,23.875,21.5534,23.853,24.7726,24.415
2012-08-17,24.415,23.925,21.5819,23.937,24.7766,24.08
2012-08-20,24.08,24.33,21.6072,23.972,24.7773,24.015
2012-08-21,24.015,24.15,21.6293,24.053,24.7806,23.98
2012-08-22,23.98,23.96,21.6523,24.08,24.7764,23.82
2012-08-23,23.82,23.94,21.6738,24.062,24.7588,23.86
2012-08-24,23.86,23.705,21.6941,23.951,24.7433,23.695
2012-08-27,23.695,23.855,21.7183,23.874,24.7234,23.89
2012-08-28,23.89,23.685,21.7415,23.849,24.7084,23.95
2012-08-29,23.95,23.92,21.7633,23.843,24.6888,23.705
2012-08-30,23.705,23.815,21.7856,23.82,24.6659,23.675
2012-08-31,23.675,23.895,21.8067,23.783,24.649,23.99
2012-09-04,23.99,23.725,21.8317,23.842,24.6392,23.915
2012-09-05,23.915,23.965,21.8571,23.847,24.632,23.97
2012-09-06,23.97,24.005,21.8828,23.851,24.6265,24.0
2012-09-07,24.0,24.09,21.9102,23.91,24.6142,23.975
2012-09-10,23.975,23.97,21.9378,23.97,24.5999,24.0
2012-09-11,24.0,24.051,21.968,23.972,24.575,24.005
2012-09-12,24.005,24.035,21.999,23.99,24.5454,24.515
2012-09-13,24.515,23.985,22.0301,24.099,24.5259,24.705
2012-09-14,24.705,24.61,22.0619,24.24,24.5155,24.905
2012-09-17,24.905,24.59,22.0901,24.426,24.5117,25.065
2012-09-18,25.065,24.87,22.1199,24.639,24.5087,25.165
2012-09-19,25.165,25.06,22.1514,24.871,24.5048,25.275
2012-09-20,25.275,25.095,22.1828,25.023,24.4991,25.7
2012-09-21,25.7,25.54,22.2164,25.222,24.5092,26.065
2012-09-24,26.065,25.63,22.2517,25.454,24.5141,26.04
2012-09-25,26.04,26.0,22.2901,25.649,24.5255,26.165
2012-09-26,26.165,26.11,22.3275,25.849,24.5372,26.73
2012-09-27,26.73,26.205,22.3686,26.14,24.5593,26.535
2012-09-28,26.535,26.575,22.4096,26.307,24.5823,27.05
2012-10-01,27.05,26.59,22.4543,26.504,24.6216,27.075
2012-10-02,27.075,27.17,22.4987,26.711,24.6633,26.995
2012-10-03,26.995,27.075,22.5431,26.877,24.7003,27.01
2012-10-04,27.01,27.08,22.5879,26.933,24.7334,26.865
2012-10-05,26.865,27.09,22.6305,26.999,24.7698,26.895
2012-10-08,26.895,26.79,22.6722,26.968,24.8006,26.52
2012-10-09,26.52,26.835,22.7115,26.857,24.8268,26.53
2012-10-10,26.53,26.58,22.7503,26.764,24.8596,26.48
2012-10-11,26.48,26.705,22.7876,26.658,24.9039,26.32
2012-10-12,26.32,26.535,22.825,26.549,24.9493,26.58
2012-10-15,26.58,26.32,22.863,26.486,24.983,27.005
2012-10-16,27.005,26.725,22.9031,26.583,25.0275,26.93
2012-10-17,26.93,27.0,22.9424,26.663,25.0745,26.825
2012-10-18,26.825,26.855,22.9821,26.732,25.1242,26.84
2012-10-19,26.84,26.825,23.0217,26.836,25.1798,26.86
2012-10-22,26.86,26.845,23.0611,26.892,25.2371,26.81
2012-10-23,26.81,26.72,23.1001,26.853,25.2952,26.55
2012-10-24,26.55,26.985,23.1365,26.777,25.354,26.705
2012-10-25,26.705,26.76,23.1733,26.753,25.4112,26.705
2012-10-26,26.705,26.775,23.2094,26.726,25.4671,26.935
2012-10-31,26.935,26.74,23.2484,26.741,25.5175,26.75
2012-11-01,26.75,27.04,23.2859,26.729,25.5709,26.33
2012-11-02,26.33,27.055,23.3196,26.685,25.6172,26.93
2012-11-05,26.93,26.415,23.3551,26.73,25.6762,27.06
2012-11-06,27.06,26.975,23.3907,26.801,25.741,26.575
2012-11-07,26.575,26.815,23.424,26.729,25.7953,26.84
2012-11-08,26.84,26.465,23.4583,26.747,25.8582,26.74
2012-11-09,26.74,26.71,23.4902,26.829,25.9152,26.79
