ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2014-07-03,100.98,100.19,88.0223,100.108,98.1293,100.26
2014-07-07,100.26,101.2,88.1249,100.232,98.2287,100.09
2014-07-08,100.09,100.02,88.2232,100.3,98.3527,100.61
2014-07-09,100.61,100.54,88.3273,100.402,98.4856,99.61
2014-07-10,99.61,99.6,88.4273,100.31,98.5789,100.27
2014-07-11,100.27,99.66,88.5306,100.168,98.68,101.09
2014-07-14,101.09,100.74,88.6424,100.334,98.8138,101.37
2014-07-15,101.37,100.67,88.7544,100.59,98.9612,101.78
2014-07-16,101.78,101.88,88.8718,100.824,99.1193,100.45
2014-07-17,100.45,100.97,88.9857,100.992,99.2553,101.34
2014-07-18,101.34,100.7,89.1007,101.206,99.3986,101.64
2014-07-21,101.64,101.32,89.2186,101.316,99.5443,102.86
2014-07-22,102.86,101.87,89.3444,101.614,99.7083,102.51
2014-07-23,102.51,102.97,89.4722,101.76,99.8422,101.77
2014-07-24,101.77,101.39,89.5993,102.024,99.9486,101.66
2014-07-25,101.66,101.5,89.7271,102.088,100.0597,100.64
2014-07-28,100.64,101.46,89.8493,101.888,100.1613,99.6
2014-07-29,99.6,100.54,89.9545,101.236,100.2017,99.47
2014-07-30,99.47,100.15,90.0584,100.628,100.2352,98.31
2014-07-31,98.31,99.05,90.1568,99.936,100.2627,97.91
2014-08-01,97.91,98.22,90.2556,99.186,100.2684,98.29
2014-08-04,98.29,98.12,90.3541,98.716,100.2812,97.96
2014-08-05,97.96,97.87,90.466,98.388,100.2778,97.51
2014-08-06,97.51,97.13,90.5733,97.996,100.2571,97.48
2014-08-07,97.48,98.0,90.676,97.83,100.243,98.64
2014-08-08,98.64,97.4,90.7823,97.976,100.2378,99.57
2014-08-11,99.57,99.1,90.8929,98.232,100.2365,99.67
2014-08-12,99.67,99.82,91.0059,98.574,100.2382,100.57
2014-08-13,100.57,99.94,91.1279,99.186,100.2757,101.73
2014-08-14,101.73,100.92,91.2563,100.036,100.332,101.99
2014-08-15,101.99,102.16,91.3898,100.706,100.3684,103.79
2014-08-18,103.79,102.74,91.5323,101.55,100.4256,104.39
2014-08-19,104.39,104.39,91.6757,102.494,100.4706,105.57
2014-08-20,105.57,104.68,91.8217,103.494,100.5336,105.86
2014-08-21,105.86,106.11,91.9666,104.32,100.6072,105.77
2014-08-22,105.77,105.78,92.1124,105.076,100.7092,105.64
2014-08-25,105.64,106.2,92.255,105.446,100.804,105.56
2014-08-26,105.56,106.04,92.3974,105.68,100.919,105.3
2014-08-27,105.3,105.48,92.5363,105.626,101.0376,105.04
